Fuel,AnnualSum
No_fuel,0.0
AZ_coal,1.886841141225403e6
AZ_naturalgas,9.272086193347417e7
AZ_uranium,3.5563540858742523e8
CA_N_naturalgas,3.692942821692155e7
CA_N_uranium,-1.5915388900111774e-9
CA_S_naturalgas,2.2412456576862108e7
MT_WY_CO_coal,4.971201932115022e8
MT_WY_CO_naturalgas,44774.484212606985
NM_coal,2.044116762762675e7
NM_naturalgas,6.689507789992201e6
PNW_coal,0.0
PNW_naturalgas,6.673623611899008e8
PNW_uranium,1.0515401957828534e8
UT_NV_coal,2.985090390325523e8
UT_NV_naturalgas,1.037628317349595e9
CA_S_uranium,-1.674141758277279e-8
MT_WY_CO_uranium,-3.934352498974671e-8
NM_uranium,-3.732111786280967e-9
UT_NV_uranium,1.945479937191149e-7
None,0.0
