Resource,ELCC
BTM_Solar,0.05
CAM_CAM_RA_i,0.61
CAM_CAM_RA_ii,0.9
CAM_CAM_RA_iii,0.81
CAM_DR_RA,0.41
CAM_CPE_RA_i,0.81
CAM_CPE_RA_ii,0.87
Aramis,0.61
CALP01RA2027,0.81
CHEV01RA2024,0.81
CHEV01RA2025,0.9
DaggettSolarPower3,0.21
EBMUD01RA2024,0.46
EdwardsSolarII,0.06
FervoFECNevada1,0.93
GEN01RA2026,0.87
HDP01RA2027,0.87
HDP01RA2028,0.87
HDP01RA2030,0.87
HenriettaStorage,0.61
MRL01RA2030,0.81
NEXT01RA2026,0.81
Oberon,0.67
OhmConnect,0.41
RosamondCentral,0.06
Sanborn,0.61
Scarlet,0.24
SDGE01RA2024,0.87
SENA01RA2027,0.81
SummitWind,0.14
SUN01RA2031,0.41
Tecolote,0.0
TPS01RA2024,0.46
TulareSolarCenter,0.06
Tumbleweed,0.61
Generic_6hr_battery,0.7
Generic_8hr_battery,0.79
Generic_RA_Only,0.87
Arizona_Li_Battery,0.61
Arizona_Solar,0.06
CAISO_Advanced_CCGT_candidate,0.87
CAISO_Aero_CT_candidate,0.81
CAISO_New_Flow_Battery,0.61
CAISO_Reciprocating_Engine_candidate,0.89
CAISO_Shed_DR_Tranche1,0.41
Greater_Imperial_Geothermal,0.93
Humboldt_Bay_Offshore_Wind,0.38
InState_Biomass,0.84
Morro_Bay_Offshore_Wind,0.38
New_Mexico_Wind,0.24
Northern_California_Geothermal,0.93
Northern_California_Li_Battery,0.61
Northern_California_Solar,0.06
Northern_California_Wind,0.13
NW_Ext_Tx_Wind,0.16
Riverside_Li_Battery,0.61
Riverside_Palm_Springs_Wind,0.07
Riverside_Solar,0.06
Riverside_West_Pumped_Storage,0.83
Southern_Nevada_Geothermal,0.93
Tehachapi_Pumped_Storage,0.83
Wyoming_Wind,0.26
Hybrid_Solar_Test,0.24
Hybrid_Wind_Test,0.29
