Resource,NQC_derate
Arizona_Li_Battery_4hr_55,0.0
Arizona_Li_Battery_4hr_55_Generic,0.0
Arizona_Li_Battery_4hr_62,0.0
Arizona_Li_Battery_4hr_62_Generic,0.0
Arizona_Li_Battery_4hr_77,0.0
Arizona_Li_Battery_4hr_77_Generic,0.0
Arizona_Li_Battery_4hr_90,0.0
Arizona_Li_Battery_4hr_90_Generic,0.0
Arizona_Li_Battery_8hr_48,0.0
Arizona_Li_Battery_8hr_48_Generic,0.0
Arizona_Li_Battery_8hr_55,0.0
Arizona_Li_Battery_8hr_55_Generic,0.0
Arizona_Li_Battery_8hr_62,0.0
Arizona_Li_Battery_8hr_62_Generic,0.0
Arizona_Li_Battery_8hr_77,0.0
Arizona_Li_Battery_8hr_77_Generic,0.0
Arizona_Li_Battery_8hr_90,0.0
Arizona_Li_Battery_8hr_90_Generic,0.0
Arizona_Solar_48,0.0
Arizona_Solar_48_Generic,0.0
Arizona_Solar_55,0.0
Arizona_Solar_55_Generic,0.0
Arizona_Solar_62,0.0
Arizona_Solar_62_Generic,0.0
Arizona_Solar_77,0.0
Arizona_Solar_77_Generic,0.0
Arizona_Solar_90,0.0
Arizona_Solar_90_Generic,0.0
Baja_California_Wind_133,0.0
Baja_California_Wind_133_Generic,0.0
Cape_Mendocino_Offshore_Wind_Asset,0.0
Central_Nevada_Geothermal_42,0.9452270667
Central_Nevada_Geothermal_42_Generic,0.9452270667
Central_Valley_North_Los_Banos_Biomass_47,0.8673152353
Central_Valley_North_Los_Banos_Biomass_47_Generic,0.8673152353
Central_Valley_North_Los_Banos_Wind_125,0.0
Central_Valley_North_Los_Banos_Wind_125_Generic,0.0
Central_Valley_North_Los_Banos_Wind_154,0.0
Central_Valley_North_Los_Banos_Wind_154_Generic,0.0
Central_Valley_North_Los_Banos_Wind_162,0.0
Central_Valley_North_Los_Banos_Wind_162_Generic,0.0
Central_Valley_North_Los_Banos_Wind_17,0.0
Central_Valley_North_Los_Banos_Wind_17_Generic,0.0
Del_Norte_Offshore_Wind_Asset,0.0
Greater_Imperial_Biomass_20,0.8673152353
Greater_Imperial_Biomass_20_Generic,0.8673152353
Greater_Imperial_Flow_Battery_107,0.0
Greater_Imperial_Flow_Battery_107_Generic,0.0
Greater_Imperial_Flow_Battery_108,0.0
Greater_Imperial_Flow_Battery_108_Generic,0.0
Greater_Imperial_Flow_Battery_133,0.0
Greater_Imperial_Flow_Battery_133_Generic,0.0
Greater_Imperial_Flow_Battery_20,0.0
Greater_Imperial_Flow_Battery_20_Generic,0.0
Greater_Imperial_Flow_Battery_63,0.0
Greater_Imperial_Flow_Battery_63_Generic,0.0
Greater_Imperial_Geothermal_20,0.9452270667
Greater_Imperial_Geothermal_20_Generic,0.9452270667
Greater_Imperial_Geothermal_63,0.9452270667
Greater_Imperial_Geothermal_63_Generic,0.9452270667
Greater_Imperial_Li_Battery_4hr_107,0.0
Greater_Imperial_Li_Battery_4hr_107_Generic,0.0
Greater_Imperial_Li_Battery_4hr_108,0.0
Greater_Imperial_Li_Battery_4hr_108_Generic,0.0
Greater_Imperial_Li_Battery_4hr_133,0.0
Greater_Imperial_Li_Battery_4hr_133_Generic,0.0
Greater_Imperial_Li_Battery_4hr_20,0.0
Greater_Imperial_Li_Battery_4hr_20_Generic,0.0
Greater_Imperial_Li_Battery_4hr_63,0.0
Greater_Imperial_Li_Battery_4hr_63_Generic,0.0
Greater_Imperial_Li_Battery_8hr_107,0.0
Greater_Imperial_Li_Battery_8hr_107_Generic,0.0
Greater_Imperial_Li_Battery_8hr_108,0.0
Greater_Imperial_Li_Battery_8hr_108_Generic,0.0
Greater_Imperial_Li_Battery_8hr_133,0.0
Greater_Imperial_Li_Battery_8hr_133_Generic,0.0
Greater_Imperial_Li_Battery_8hr_20,0.0
Greater_Imperial_Li_Battery_8hr_20_Generic,0.0
Greater_Imperial_Li_Battery_8hr_63,0.0
Greater_Imperial_Li_Battery_8hr_63_Generic,0.0
Greater_Imperial_Solar_107,0.0
Greater_Imperial_Solar_107_Generic,0.0
Greater_Imperial_Solar_108,0.0
Greater_Imperial_Solar_108_Generic,0.0
Greater_Imperial_Solar_133,0.0
Greater_Imperial_Solar_133_Generic,0.0
Greater_Imperial_Solar_20,0.0
Greater_Imperial_Solar_20_Generic,0.0
Greater_Imperial_Solar_63,0.0
Greater_Imperial_Solar_63_Generic,0.0
Greater_Imperial_Wind_108,0.0
Greater_Imperial_Wind_108_Generic,0.0
Greater_Kramer_Flow_Battery_103,0.0
Greater_Kramer_Flow_Battery_103_Generic,0.0
Greater_Kramer_Flow_Battery_123,0.0
Greater_Kramer_Flow_Battery_123_Generic,0.0
Greater_Kramer_Flow_Battery_156,0.0
Greater_Kramer_Flow_Battery_156_Generic,0.0
Greater_Kramer_Flow_Battery_86,0.0
Greater_Kramer_Flow_Battery_86_Generic,0.0
Greater_Kramer_Li_Battery_4hr_103,0.0
Greater_Kramer_Li_Battery_4hr_103_Generic,0.0
Greater_Kramer_Li_Battery_4hr_123,0.0
Greater_Kramer_Li_Battery_4hr_123_Generic,0.0
Greater_Kramer_Li_Battery_4hr_156,0.0
Greater_Kramer_Li_Battery_4hr_156_Generic,0.0
Greater_Kramer_Li_Battery_4hr_86,0.0
Greater_Kramer_Li_Battery_4hr_86_Generic,0.0
Greater_Kramer_Li_Battery_8hr_103,0.0
Greater_Kramer_Li_Battery_8hr_103_Generic,0.0
Greater_Kramer_Li_Battery_8hr_123,0.0
Greater_Kramer_Li_Battery_8hr_123_Generic,0.0
Greater_Kramer_Li_Battery_8hr_156,0.0
