Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.303367464344986e8
AZ_naturalgas,2.0459596702217162e8
AZ_uranium,3.5331719177836585e8
CA_N_naturalgas,7.218445965661818e7
CA_N_uranium,-1.4078515422047352e-8
CA_S_naturalgas,5.959475505145334e7
MT_WY_CO_coal,4.7607626888998693e8
MT_WY_CO_naturalgas,468180.4931127491
NM_coal,2.065016233524652e7
NM_naturalgas,135961.8616208038
PNW_coal,0.0
PNW_naturalgas,2.85327716750753e8
PNW_uranium,1.0305657365399985e8
UT_NV_coal,2.7940543451222134e8
UT_NV_naturalgas,2.3875125185443673e8
CA_S_uranium,8.388169988834728e8
MT_WY_CO_uranium,5.3378008810012094e-8
NM_uranium,4.0748326271407975e-10
UT_NV_uranium,6.328676895696899e-8
None,0.0
