Fuel,AnnualSum
No_fuel,0.0
AZ_coal,1.8345220371156563e6
AZ_naturalgas,9.281504815331209e7
AZ_uranium,3.161471188343113e8
CA_N_naturalgas,3.5579415895310506e7
CA_N_uranium,7.175741209615485e-8
CA_S_naturalgas,1.1743529173746418e7
MT_WY_CO_coal,3.7575110335793805e8
MT_WY_CO_naturalgas,-1.3937662613844314e-10
NM_coal,1.8854082746923007e7
NM_naturalgas,5.33507438998051e6
PNW_coal,0.0
PNW_naturalgas,3.1347364703793573e8
PNW_uranium,9.992051193127339e7
UT_NV_coal,2.788896153904677e8
UT_NV_naturalgas,4.7392957213450325e8
CA_S_uranium,2.400299343522527e-8
MT_WY_CO_uranium,-3.214111980269036e-9
NM_uranium,4.14439548492851e-8
UT_NV_uranium,-1.47226904495758e-7
None,0.0
