Line,New_Trans_Capacity,Cost_Trans_Capacity
1,2300.0,1.37979621832075e9
2,0.0,0.0
3,81.13215773843052,1.049457858429759e8
4,10321.0,1.0751676017633438e10
5,919.0,9.692910360716753e8
6,0.0,0.0
7,5200.0,3.600442368043079e9
8,0.0,0.0
9,5261.0,5.732857939320713e9
10,2780.0,3.3838269417286954e9
11,1417.0,5.668118054455383e8
12,0.0,0.0
13,2387.0,2.5176253570218596e9
14,657.0,6.9416932051582e8
15,0.0,0.0
