Zone,1,2,3,4,5,6,7
t1,37.9971968085334,96.48019565721502,90.51539709160998,0.0,27.685081370849947,33.5009389411982,30.592773643559976
t2,37.9971968085334,96.48019565721502,90.51539709160998,0.0,27.685081370849947,33.50093894119825,30.592773643559976
t3,37.9971968085334,96.48019565721502,90.51539709161001,0.0,27.685081370849947,33.50093894119825,30.592773643559976
t4,37.9971968085334,96.48019565721502,90.51539709160998,0.0,27.685081370849947,33.50093894119825,30.592773643559976
t5,37.9971968085334,96.480195657215,90.51539709160998,0.0,27.685081370849947,26.65150505515355,30.592773643559976
t6,37.9971968085334,96.480195657215,90.19845893034368,0.0,13.785700474082915,26.65150505515355,30.592773643559976
t7,37.9971968085334,90.40890388626534,77.36423738981173,0.0,0.0,20.68253397289555,25.235512503725317
t8,21.254420370737662,22.81385713729488,23.285437908259954,10.906885496230299,11.323709145767761,20.68253397289555,21.3440549681367
t9,18.65684933042317,15.920771247293043,17.029549541847622,13.278251376877408,13.785700474082915,15.125944306051966,15.609740428152612
t10,18.65684933042317,15.920771247293038,17.02954954184762,14.188370535200656,13.785700474082915,15.125944306051966,15.609740428152609
t11,18.656849330423164,15.920771247293047,17.02954954184762,14.188370535200663,13.785700474082914,15.125944306051966,15.609740428152609
t12,18.65684933042317,15.920771247293047,17.029549541847622,14.18837053520066,13.785700474082915,15.125944306051966,15.609740428152612
t13,18.65684933042317,15.920771247293047,17.02954954184762,14.188370535200656,14.73060125629113,15.125944306051966,15.609740428152609
t14,22.091984234148605,21.80305184711682,23.321492773604078,19.430577426183575,20.173147264126897,20.68253397289555,21.377103821708005
t15,32.38648045802922,29.171910984554298,31.203545081165778,20.7307748578187,27.685081370849947,20.68253397289555,22.807553101477108
t16,34.44560620976404,35.280109000995594,37.73713941002649,21.114461914899834,27.685081370849947,20.68253397289555,23.22967735822803
t17,37.9971968085334,90.40890388626534,96.70529673724648,23.56054634775379,78.70275648945669,20.68253397289555,25.920806897555018
t18,37.9971968085334,92.90332377513552,99.37343676739158,23.56054634775379,27.685081370849947,20.68253397289555,25.920806897555018
t19,37.9971968085334,96.48019565721502,99.37343676739168,23.56054634775379,27.685081370849947,20.68253397289555,25.920806897555018
t20,37.9971968085334,96.48019565721502,99.37343676739158,23.56054634775379,27.685081370849947,20.68253397289555,25.920806897555018
t21,37.9971968085334,96.48019565721502,99.37343676739158,23.56054634775379,27.685081370849947,20.68253397289555,25.920806897555018
t22,37.9971968085334,96.48019565721502,99.37343676739158,23.71540738650812,27.685081370849947,20.68253397289555,26.091181685230016
t23,37.9971968085334,92.90332377513552,99.37343676739154,23.715407386508105,27.685081370849947,20.68253397289555,26.091181685230016
t24,37.9971968085334,92.90332377513555,99.37343676739158,23.715407386508108,27.685081370849947,20.68253397289555,26.09118168523002
t25,35.23485902772188,95.44433190386512,91.65192284638732,10.906885496230299,27.685081370849947,28.967381774801915,25.235512503725317
