Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
AnnualSum,2.679068283525962e6,2.0468034090832144e6,221291.7343206015,1.2798327378223086e7,1.0950965438716877e6,592155.7674940749,3.354585551843353e6,1.2358629618509067e6,5.865800987106597e6,3.238924294492491e6,501950.79229231866,5.013536112387725e6,3.2520190887768827e6,622277.1158263598,184926.91128113307,4.2702626932376385e7
t1,417.68,0.0,51.48378789390965,1795.8192434999999,175.3672374,0.0,621.7807862909683,305.82778219240566,1031.124052,571.8906520712072,24.82725948790961,930.7273338,455.46965100000006,128.0009859,0.0,6509.998771536401
t2,417.68,0.0,51.48378789390965,1795.8192434999999,175.3672374,0.0,459.72581667922213,177.98577755249988,1031.124052,584.9345636930223,47.238981127649346,930.7273338,455.46965100000006,128.0009859,0.0,6255.557430546302
t3,417.68,0.0,51.48378789390965,1795.8192434999999,175.3672374,0.0,581.9900431225554,213.84035370968283,1031.124052,291.4731849675558,51.17494192264692,930.7273338,455.46965100000006,128.0009859,0.0,6124.150815216351
t4,417.68,0.0,51.48378789390965,1795.8192434999999,175.3672374,0.0,504.02504308726407,144.8375100769998,1031.124052,629.7559867137438,46.43937725907824,930.7273338,455.46965100000006,128.0009859,0.0,6310.7302086309965
t5,417.68,0.0,51.48378789390965,1795.8192434999999,175.3672374,0.0,556.5091241714741,248.96976897823663,1031.124052,658.304,48.84149320702786,930.7273338,455.46965100000006,128.0009859,2.5520670969178996,6500.848744947566
t6,417.68,168.29489948202203,51.48378789390965,1795.8192434999999,175.3672374,125.34361166980567,572.594869525237,307.2,1031.124052,658.304,56.885181789084605,930.7273338,455.46965100000006,128.0009859,68.85,6943.14485396006
t7,417.68,520.28839225,51.48378789390964,1795.8192434999999,175.3672374,232.32461714999997,690.7129720316017,307.2,1031.124052,658.304,23.32243147760178,930.7273338,455.46965100000006,128.0009859,68.85,7486.6747044031135
t8,417.68,0.0,0.0,1204.8976415667894,175.3672374,0.0,23.110923665617413,0.0,1024.3231972259323,516.4626719796087,7.421258347468413,930.7273338,455.46965100000006,128.0009859,0.0,4883.460900885417
t9,417.68,120.40641386028825,0.0,1029.3225341459424,175.3672374,0.0,0.0,307.2,0.0,557.1690718080342,49.909301423785855,160.80086703432804,455.46965100000006,128.0009859,0.0,3401.326062572379
