Time_Index,DaggettSolarPower3,Scarlet,Hybrid_Solar_Test
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0.004
8,0.201,0,0.398
9,0.798,0.033,0.668
10,0.791,0.096,0.801
11,0.754,0.229,0.9
12,0.705,0.422,0.943
13,0.674,0.501,0.998
14,0.733,0.336,0.912
15,0.758,0.123,0.751
16,0.49,0.069,0.585
17,0.055,0.018,0.164
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0.004
32,0.16,0.006,0.399
33,0.769,0.107,0.663
34,0.823,0.28,0.844
35,0.787,0.508,0.973
36,0.748,0.324,0.989
37,0.756,0.353,0.979
38,0.794,0.36,0.941
39,0.846,0.148,0.768
40,0.662,0.088,0.514
41,0.059,0.025,0.142
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0.148,0.025,0.086
57,0.664,0.092,0.434
58,0.766,0.131,0.811
59,0.75,0.31,0.922
60,0.711,0.406,0.984
61,0.695,0.14,0.978
62,0.74,0.159,0.943
63,0.781,0.244,0.857
64,0.486,0.377,0.617
65,0.045,0.167,0.193
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0.003
80,0.162,0.025,0.396
81,0.806,0.057,0.675
82,0.851,0.083,0.831
83,0.778,0.158,0.887
84,0.74,0.149,0.926
85,0.722,0.144,0.984
86,0.735,0.128,0.96
87,0.848,0.123,0.87
88,0.669,0.104,0.609
89,0.062,0.043,0.191
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
