ELCC_Surface,Facet,Axis_0,Axis_1,Axis_2
In-State_Wind,1,0.0,0.136,0.0
In-State_Wind,2,191.8891984214,0.108,0.0
In-State_Wind,3,124.1635989785,0.114,0.0
Offshore_Wind,1,0.0,0.5,0.0
Offshore_Wind,2,248.3271979571,0.4266666667,0.0
Out-of-State_Wind,1,214.4643982357,0.1933333333,0.0
Out-of-State_Wind,2,0.0,0.2333333333,0.0
Out-of-State_Wind,3,56.4379995357,0.2166666667,0.0
Solar_Storage,1,22060.3474950511,0.0094897919,0.3571428571
Solar_Storage,10,0.0,0.2583225108,0.92
Solar_Storage,11,0.0,0.2706773308,0.8705807203
Solar_Storage,12,8162.869828089,0.2478321204,0.3251756155
Solar_Storage,13,6760.1883364565,0.015,0.9482254706
Solar_Storage,14,14374.6484031627,0.0419134846,0.5192613208
Solar_Storage,15,14363.2420541177,0.0421300247,0.5190808707
Solar_Storage,16,13909.7740106776,0.0593474535,0.4903851561
Solar_Storage,17,6068.8690121212,0.0324372141,0.8968044564
Solar_Storage,18,5942.2407464644,0.0436555658,0.8687585771
Solar_Storage,19,3111.538384935,0.132847393,0.8705807203
Solar_Storage,2,14666.3548126775,0.3969751652,0.0753333333
Solar_Storage,20,4988.3113377835,0.132847393,0.7043121629
Solar_Storage,21,3794.2512543201,0.0925250998,0.9109030135
Solar_Storage,22,21246.8083195595,0.1406666667,0.1092038492
Solar_Storage,23,21088.9991598403,0.0365354799,0.3202623735
Solar_Storage,24,21088.9991598403,0.1364724404,0.1203884525
Solar_Storage,25,5908.3879520322,0.030092675,0.9167098642
Solar_Storage,26,5888.6887665808,0.0306744103,0.9159826951
Solar_Storage,27,6005.1959747915,0.0306744103,0.9073812793
Solar_Storage,28,5966.8517498796,0.0290567808,0.9162782416
Solar_Storage,29,8726.0795581434,0.0421300247,0.7460863112
Solar_Storage,3,8819.3780607789,0.3969751652,0.2233333333
Solar_Storage,30,6664.224689523,0.0436555658,0.8332238138
Solar_Storage,31,8715.0805787072,0.0419134846,0.7471690116
Solar_Storage,32,8628.9078345491,0.0593474535,0.7030427393
Solar_Storage,33,5861.618062787,0.0472268602,0.8628064198
Solar_Storage,34,5328.1764715978,0.0472268602,0.9021889868
Solar_Storage,35,4813.3969052269,0.06242878,0.8958548536
Solar_Storage,36,8467.9943736636,0.1169729897,0.5733779591
Solar_Storage,37,5629.5898447894,0.1356169461,0.6618211385
Solar_Storage,38,5149.9681620345,0.1271187412,0.7043121629
Solar_Storage,39,6471.371926272,0.1169729897,0.6618211385
Solar_Storage,4,0.0,0.3122176909,0.7875
Solar_Storage,40,19502.2470450225,0.179,0.0876482936
Solar_Storage,41,19908.6006416796,0.173,0.0876482936
Solar_Storage,42,6959.7495615533,0.037788102,0.8366069679
Solar_Storage,43,7479.1021443143,0.0391413636,0.8095417351
Solar_Storage,44,6944.4744855898,0.0391413636,0.8332238138
Solar_Storage,45,5772.6332592394,0.0629936847,0.8233893585
Solar_Storage,46,6313.4890328929,0.0889984168,0.7317575708
Solar_Storage,47,19108.4774829183,0.0616011866,0.3202623735
Solar_Storage,48,17903.8778762934,0.0853164851,0.3033228746
Solar_Storage,49,13909.7740106776,0.0616011866,0.4847508234
Solar_Storage,5,3233.0740145784,0.2883487695,0.5488107864
Solar_Storage,50,13484.9796387037,0.0821286701,0.4505383508
Solar_Storage,51,13502.9710289015,0.0853164851,0.4425688133
Solar_Storage,52,17765.9222884051,0.1364724404,0.204502927
Solar_Storage,53,17562.5422234186,0.1004364245,0.2817229611
Solar_Storage,54,15734.4191792414,0.1878943073,0.1677730221
Solar_Storage,55,11083.0021411095,0.2090267189,0.2734350801
Solar_Storage,56,11227.7775900279,0.1577224735,0.3696305402
Solar_Storage,57,13275.413926985,0.1004364245,0.4173689143
Solar_Storage,58,5270.0491311424,0.1100974477,0.7362270882
Solar_Storage,59,5508.2065511476,0.0889984168,0.7713921398
Solar_Storage,6,5875.1957516665,0.3117560639,0.35375
Solar_Storage,60,5418.1341141645,0.0838589233,0.788704137
Solar_Storage,61,5420.2716467118,0.0838048176,0.788704137
Solar_Storage,62,6415.5670260296,0.086988778,0.7317575708
Solar_Storage,63,8573.0642477978,0.0602469697,0.7030427393
Solar_Storage,64,6570.5861249478,0.0602469697,0.7917453041
Solar_Storage,65,6415.5670260297,0.0629936847,0.7917453041
Solar_Storage,66,8573.0642477978,0.0821286701,0.6483384884
Solar_Storage,67,8298.7694810471,0.086988778,0.6483384884
Solar_Storage,7,6174.4573214684,0.3091048221,0.3404937909
Solar_Storage,8,18665.6188610925,0.1878943073,0.0935778318
Solar_Storage,9,3640.2265380183,0.0970735931,0.92
