Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t11,15041.521187305458,1160.0889372628,1053.0563682212,24431.973105833553,6757.609783252916,18768.01572482648,833.446819184,8190.660805010964,785.1,178.67477163479998,4024.449586078,3006.1246666275997,0.0,9239.887644239974,2534.095202409371,679.9324253862853,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,2335.8028793556023,328.7,2793.5,22844.287078978505,521.3143568548049,126027.76268449069
t12,18806.37662799985,1247.1167029471,1579.5845523318,26441.661561291454,9611.888552624316,20257.23699784148,902.2,8708.086935004465,785.1,238.23302884639998,4305.299724052,3741.2,0.0,12319.850192319966,3378.7936032124944,679.9324253862853,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,2758.7,328.7,2793.5,26397.01122947526,470.3925162302181,146678.4205726689
t13,20933.012726258825,1334.1444686314,1743.4,28451.350016749355,11163.7,21746.458270856478,902.2,8966.8,785.1,238.23302884639998,4586.149862026,3741.2,0.0,13362.753708462475,3664.8162150220755,679.9324253862853,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.1037432323096,2758.7,328.7,2793.5,28327.146642684558,521.3143568548049,158364.20222596187
t14,21040.7,1421.1722343157,1743.4,30461.038472207256,11163.7,23235.679543871476,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,13362.753708462475,3664.8162150220755,679.9324253862853,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,162990.03325422105
t15,21040.7,1508.2,1743.4,32470.726927665157,11163.7,24724.900816886475,902.2,8320.017337508247,785.1,258.2,4867.0,3741.2,0.0,13362.753708462475,3664.8162150220755,679.9324253862853,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,165929.1880858865
t16,21040.7,1508.2,1743.4,34480.41538312306,11163.7,25807.5,902.2,7673.234675016493,785.1,258.2,4867.0,3741.2,0.0,13362.753708462475,3664.8162150220755,679.9324253862853,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,168374.6930619662
t17,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,7026.45201252474,785.1,258.2,4515.937327532566,3741.2,0.0,13362.753708462475,3664.8162150220755,553.1176960555749,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,761.8430438060518,23768.541498402796,521.3143568548049,160735.66261961203
t18,19469.139939427507,1508.2,1743.4,34827.0,11163.7,23945.9734087316,902.2,6379.669350032987,785.1,258.2,4515.937327532566,3185.326643001415,0.0,10612.020143274833,2671.0533911314046,553.1176960555749,81.25566834255949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.123633000466,2758.7,328.7,1523.6860876121036,18415.22277729537,470.3925162302181,146959.1185816686
t19,18123.65448351881,1508.2,1238.8898442385732,32314.889430678097,8967.29164061077,22084.4468174632,735.3942517893124,5732.886687541233,572.1827557135073,258.2,4164.874655065132,2839.476912904671,0.0,9190.060234186134,2671.0533911314046,553.1176960555749,81.25566834255949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269.1582140779026,2758.7,148.30102066324497,2285.5291314181554,16848.76248840859,419.4706756056313,134765.7959994125
t20,17078.75659252995,1508.2,1238.8898442385732,29802.778861356193,6592.451357190803,20222.920226194798,735.3942517893124,5086.10402504948,572.1827557135073,210.20561356455565,4164.874655065132,2650.371697750259,0.0,8750.252849744515,1987.5256477813416,553.1176960555749,60.46218521676356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1980.099040214799,296.60204132648994,2487.6088236139767,15869.952524183609,406.2336812491736,123839.78436982882
