Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7
,,,,,,,,63,20184.0,21431.0,29081.0,15182.0,5080.0,25023.0,14856.0
,,,,,,,,64,19017.0,20528.0,27857.0,14519.0,4750.0,24644.0,14389.0
,,,,,,,,65,17465.0,18873.0,25611.0,13813.0,4388.0,23703.0,13532.0
,,,,,,,,66,16131.0,17169.0,23300.0,13226.0,4174.0,22533.0,12655.0
,,,,,,,,67,15110.0,15898.0,21573.0,12832.0,4012.0,21846.0,11854.0
,,,,,,,,68,14293.0,15016.0,20377.0,12692.0,3966.0,21361.0,11242.0
,,,,,,,,69,13666.0,14695.0,19942.0,12430.0,3959.0,21182.0,10844.0
,,,,,,,,70,13107.0,14418.0,19565.0,12215.0,4017.0,20899.0,10519.0
,,,,,,,,71,12910.0,14150.0,19202.0,12377.0,4119.0,20814.0,10385.0
,,,,,,,,72,13170.0,14609.0,19824.0,12506.0,4338.0,21336.0,10520.0
,,,,,,,,73,11084.0,13657.0,18533.0,12158.0,3729.0,24221.0,9846.0
,,,,,,,,74,11263.0,15027.0,20392.0,12279.0,3778.0,25838.0,10449.0
,,,,,,,,75,11349.0,15822.0,21473.0,12249.0,3813.0,26537.0,10714.0
,,,,,,,,76,11663.0,16151.0,21917.0,12250.0,3820.0,26640.0,10767.0
,,,,,,,,77,12032.0,16605.0,22535.0,12188.0,3858.0,26777.0,10800.0
,,,,,,,,78,12498.0,16954.0,23007.0,12115.0,3894.0,26565.0,10826.0
,,,,,,,,79,12971.0,17066.0,23159.0,12017.0,3895.0,26250.0,10779.0
,,,,,,,,80,13375.0,16942.0,22990.0,12036.0,3918.0,25794.0,10773.0
,,,,,,,,81,13690.0,16849.0,22865.0,12264.0,3957.0,25289.0,10711.0
,,,,,,,,82,13825.0,16681.0,22636.0,12443.0,4011.0,24714.0,10626.0
,,,,,,,,83,13797.0,16671.0,22622.0,12622.0,3999.0,24469.0,10648.0
,,,,,,,,84,13814.0,17018.0,23095.0,13091.0,3921.0,24943.0,10859.0
,,,,,,,,85,13972.0,18028.0,24465.0,13250.0,3882.0,25613.0,11303.0
,,,,,,,,86,13612.0,18157.0,24640.0,13148.0,3893.0,25661.0,11292.0
,,,,,,,,87,13029.0,17808.0,24168.0,12914.0,3719.0,25359.0,11107.0
,,,,,,,,88,12426.0,17268.0,23435.0,12516.0,3536.0,24947.0,10769.0
,,,,,,,,89,11538.0,16338.0,22173.0,12046.0,3344.0,24518.0,10256.0
,,,,,,,,90,10726.0,15122.0,20520.0,11565.0,3214.0,23922.0,9790.0
,,,,,,,,91,10271.0,13985.0,18977.0,11495.0,3188.0,23324.0,9430.0
,,,,,,,,92,10036.0,13489.0,18306.0,11525.0,3203.0,23053.0,9240.0
,,,,,,,,93,9913.0,13313.0,18065.0,11568.0,3231.0,23069.0,9106.0
,,,,,,,,94,9779.0,12968.0,17600.0,11366.0,3314.0,22931.0,8960.0
