Fuel,AnnualSum
No_fuel,0.0
AZ_coal,1.3778431025511843e8
AZ_naturalgas,4.219454738844784e7
AZ_uranium,9.882882112069472e8
CA_N_naturalgas,91536.21992876998
CA_N_uranium,9.584116972248038e8
CA_S_naturalgas,27539.96329644236
MT_WY_CO_coal,5.472434913239506e8
MT_WY_CO_naturalgas,4.217708703134093e6
NM_coal,2.3913188255100235e7
NM_naturalgas,208950.25805955371
PNW_coal,0.0
PNW_naturalgas,3.6370605943479747e8
PNW_uranium,1.0546566959999962e8
UT_NV_coal,2.9592249911100554e8
UT_NV_naturalgas,2.717769195105377e8
CA_S_uranium,1.6752001148340955e9
MT_WY_CO_uranium,-3.944721304671615e-8
NM_uranium,-6.235555615289336e-9
UT_NV_uranium,-1.0743192626174967e-7
None,0.0
