Period_Index,Rep_Period,Rep_Period_Index
344,1818,23
345,1818,23
346,1818,23
347,1818,23
348,1818,23
349,1818,23
350,1818,23
351,1818,23
352,1818,23
353,1818,23
354,1818,23
355,1818,23
356,1818,23
357,1818,23
358,1818,23
359,1818,23
360,1818,23
361,1818,23
362,1818,23
363,1818,23
364,1039,8
365,1818,23
366,1818,23
367,1818,23
368,1039,8
369,1039,8
370,844,6
371,844,6
372,764,5
373,1039,8
374,1039,8
375,1039,8
376,1039,8
377,764,5
378,764,5
379,764,5
380,1039,8
381,844,6
382,764,5
383,764,5
384,764,5
385,1039,8
386,1039,8
387,764,5
388,764,5
389,1039,8
390,1039,8
391,1039,8
392,844,6
393,844,6
394,1039,8
395,844,6
396,1039,8
397,1039,8
398,1039,8
399,844,6
400,844,6
401,1039,8
402,1039,8
403,1039,8
404,1039,8
405,764,5
406,764,5
407,764,5
408,764,5
409,1039,8
410,844,6
411,764,5
412,764,5
413,764,5
414,764,5
415,764,5
416,764,5
417,417,3
418,764,5
419,764,5
420,844,6
421,764,5
422,764,5
423,764,5
424,764,5
425,1039,8
426,1039,8
427,844,6
428,1039,8
429,1039,8
430,844,6
431,764,5
432,764,5
433,764,5
434,764,5
435,764,5
436,1039,8
437,764,5
438,844,6
439,844,6
440,844,6
441,844,6
442,1039,8
443,1039,8
444,1039,8
445,844,6
446,764,5
447,764,5
448,1039,8
449,1039,8
450,844,6
451,844,6
452,844,6
453,1039,8
454,844,6
455,844,6
456,764,5
457,764,5
458,2035,24
459,2035,24
460,1039,8
461,844,6
462,844,6
463,844,6
464,2035,24
465,844,6
466,844,6
467,844,6
468,764,5
469,2035,24
470,1039,8
471,844,6
472,844,6
473,764,5
474,1039,8
475,844,6
476,844,6
477,2035,24
478,2035,24
479,844,6
480,844,6
481,2035,24
482,2035,24
483,2035,24
484,2035,24
485,844,6
486,844,6
487,844,6
488,764,5
489,2035,24
490,2035,24
491,2035,24
492,2035,24
493,844,6
494,2035,24
495,844,6
496,2035,24
497,844,6
498,844,6
499,844,6
500,1039,8
501,844,6
502,2035,24
503,2035,24
504,2035,24
505,2035,24
506,844,6
507,844,6
508,844,6
509,844,6
510,764,5
511,2035,24
512,844,6
513,2035,24
514,844,6
515,2035,24
516,2035,24
517,2035,24
518,2035,24
519,2035,24
520,844,6
521,844,6
522,844,6
523,1039,8
524,844,6
525,2035,24
526,2035,24
527,844,6
528,844,6
529,2035,24
530,2035,24
531,2035,24
532,2035,24
533,2035,24
534,2035,24
535,2035,24
536,2035,24
537,2035,24
538,2035,24
539,2035,24
540,2035,24
541,2035,24
542,2035,24
543,2035,24
544,2035,24
545,2035,24
546,2035,24
547,2035,24
548,2035,24
549,2035,24
550,2035,24
551,2035,24
552,2035,24
553,2035,24
554,2035,24
555,2035,24
556,2035,24
557,2035,24
558,2035,24
559,2035,24
560,2035,24
561,2035,24
562,2035,24
563,2035,24
564,2035,24
565,2035,24
566,2035,24
567,2035,24
568,2035,24
569,2035,24
570,2035,24
571,2035,24
572,2035,24
573,2035,24
574,2035,24
575,2035,24
576,2035,24
577,2035,24
578,2035,24
579,2035,24
580,2035,24
581,2035,24
582,2035,24
583,2035,24
584,2035,24
585,2035,24
586,2035,24
587,2035,24
588,2035,24
589,2035,24
590,2035,24
591,2035,24
592,2035,24
593,2035,24
594,2035,24
595,2035,24
596,2035,24
597,2035,24
598,2035,24
599,2035,24
600,2035,24
601,2035,24
602,2035,24
603,2035,24
604,2035,24
605,2035,24
606,2035,24
607,2035,24
608,2035,24
609,844,6
610,2035,24
611,2035,24
612,2035,24
613,2035,24
614,2035,24
615,2035,24
616,2035,24
617,2035,24
618,2035,24
619,2035,24
620,764,5
621,2035,24
622,764,5
623,2035,24
624,2035,24
625,2035,24
626,2035,24
627,2035,24
628,2035,24
629,2035,24
630,2035,24
631,764,5
632,764,5
633,2035,24
634,2035,24
635,2035,24
636,2035,24
637,2035,24
638,2035,24
639,2035,24
640,2035,24
641,2035,24
642,844,6
643,844,6
644,764,5
645,764,5
646,764,5
647,764,5
648,844,6
649,844,6
650,844,6
651,1039,8
652,764,5
653,764,5
654,764,5
655,764,5
656,764,5
657,764,5
658,764,5
659,1039,8
660,1039,8
661,844,6
662,764,5
663,764,5
664,664,4
665,764,5
666,764,5
667,764,5
668,764,5
669,764,5
670,1039,8
671,1039,8
672,844,6
673,1039,8
674,844,6
675,844,6
676,764,5
677,764,5
678,764,5
679,844,6
680,764,5
681,764,5
682,1039,8
683,1039,8
684,844,6
685,764,5
686,764,5
687,764,5
688,764,5
689,764,5
690,1039,8
691,764,5
692,764,5
693,764,5
694,764,5
695,764,5
696,764,5
697,764,5
698,764,5
699,1818,23
700,1818,23
701,1818,23
702,1818,23
703,1818,23
704,1818,23
705,1818,23
706,1818,23
707,1818,23
708,1818,23
709,1818,23
710,1818,23
711,1818,23
712,1818,23
713,844,6
714,1818,23
715,1818,23
716,1818,23
717,1818,23
718,1818,23
719,1818,23
720,1818,23
721,1818,23
722,1818,23
723,1818,23
724,1818,23
725,844,6
726,1818,23
727,1818,23
728,1818,23
729,1039,8
730,1818,23
731,1039,8
732,1039,8
733,764,5
734,764,5
735,1039,8
736,1039,8
737,1039,8
738,1039,8
739,844,6
740,764,5
741,1039,8
742,764,5
743,764,5
744,764,5
745,764,5
746,764,5
747,764,5
748,764,5
749,764,5
750,764,5
751,764,5
752,764,5
753,764,5
754,764,5
755,844,6
756,844,6
757,1039,8
758,1039,8
759,764,5
760,764,5
761,764,5
762,764,5
763,764,5
764,764,5
765,764,5
766,1039,8
767,764,5
768,764,5
769,844,6
