Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1
t11,40969.9,18787.54477856275,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.460000000001,0.0,35341.698,29048.929,0.0,0.0,0.0,10180.455026278467,0.0,0.0,0.0,0.0,4.0220129449153316e-11,0.0,4.774847184307873e-12,0.0,0.0,0.0,2.9842794901924208e-12,0.0,-1.3133103493601083e-11,0.0,0.0,2.4960307154486826e-11,0.0,0.0,0.0,51052.65815415173,0.0,0.0,0.0,37235.36470788003,0.0,0.0,-9.549694368615746e-12,11287.386000000002,10706.856000000002
t12,40969.9,18787.544778562766,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.460000000001,0.0,35341.698,29048.929,0.0,0.0,0.0,10180.455026278467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3874235921539366e-12,0.0,0.0,0.0,0.0,4.3489762902027e-11,0.0,0.0,2.8318014599904018e-11,51052.65815415173,0.0,0.0,0.0,37235.36470788003,0.0,0.0,1.9099388737231493e-11,11287.386000000002,10706.856000000002
t13,40969.9,18787.54477856275,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,10180.455026278467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.540528036362957e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51052.65815415171,0.0,0.0,0.0,37235.36470788003,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t14,40969.9,18787.54477856275,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49057.77982459339,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,10180.455026278467,0.0,0.0,0.0,1.1223164619877934e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51052.65815415173,0.0,0.0,0.0,37235.36470788003,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t15,40969.9,18787.54477856275,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,20360.910052556937,0.0,0.0,0.0,1.1223164619877934e-11,0.0,0.0,0.0,0.0,9.849827620200813e-12,0.0,0.0,0.0,-9.234213393938263e-13,0.0,0.0,-1.2801422144548268e-11,0.0,0.0,0.0,51065.26678556025,0.0,0.0,0.0,74470.72941576004,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t16,40969.9,51615.2250876307,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,33657.2013228684,0.0,0.0,0.0,20360.910052556934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97062.10031728733,0.0,0.0,0.0,74470.72941576006,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t17,40969.9,76206.892485434,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8961.530999999999,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,7180.286115308318,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,58097.858,0.0,0.0,0.0,20360.910052556934,0.0,0.0,0.0,0.0,0.0,0.0,4.774847184307873e-12,0.0,-3.283275873400271e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4286707634455524e-10,100491.78014764488,0.0,0.0,0.0,74470.72941576006,0.0,0.0,-1.9099388737231493e-11,11287.386000000002,10706.856000000002
t18,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,18688.36891352697,0.0,0.0,0.0,19505.18937996777,0.0,2874.621,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,5747.095273929439,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.460000000015,0.0,35341.698,58097.858,0.0,0.0,0.0,20360.91005255693,0.0,0.0,0.0,0.0,0.0,0.0,-1.241460267920047e-10,0.0,0.0,0.0,5.2523319027386606e-11,0.0,0.0,0.0,-9.549694368615746e-12,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576006,0.0,0.0,-1.9099388737231493e-11,11287.386000000002,10706.856000000002
t19,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,15416.051145173698,0.0,2874.621,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,5747.095273929412,0.0,0.0,0.0,0.0,8970.879832443841,0.0,12039.46,0.0,35341.698,58097.858,0.0,0.0,0.0,20360.910052556934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2732925824820995e-11,102105.31630830346,0.0,0.0,0.0,74470.72941576004,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t20,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,15416.05114517368,0.0,2874.621,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,5747.095273929412,0.0,0.0,0.0,0.0,9382.736175495531,0.0,12039.46,0.0,35341.698,58097.858,1292.630836751517,0.0,0.0,20360.910052556934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.297362465877086e-11,0.0,0.0,0.0,9.549694368615746e-12,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576004,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t21,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,-9.871002930594843e-12,0.0,0.0,15416.051145173686,-5.002220859751105e-12,2874.621,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,5747.095273929412,0.0,0.0,0.0,0.0,11491.666267025252,0.0,12039.46,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.910052556934,0.0,0.0,0.0,0.0,0.0,0.0,-1.00235979516583e-11,0.0,0.0,0.0,4.297362465877086e-11,0.0,0.0,0.0,1.9099388737231493e-11,8.41737346490845e-12,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576003,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t22,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,15416.05114517368,0.0,2874.621,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,5747.095273929412,0.0,0.0,0.0,0.0,11233.497193238118,0.0,12039.46,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.910052556934,0.0,0.0,5.729816621169448e-10,0.0,0.0,0.0,-1.9099388737231493e-11,9.820269042393192e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576001,0.0,0.0,0.0,11287.386000000002,10706.856000000002
