Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.2342565915971404e8
AZ_naturalgas,2.4731684199114734e8
AZ_uranium,3.39335845571539e8
CA_N_naturalgas,2.4585398049778562e7
CA_N_uranium,-8.93811988360531e-9
CA_S_naturalgas,2.747247372223108e6
MT_WY_CO_coal,4.231689296945618e8
MT_WY_CO_naturalgas,-3.6650646097073164e-9
NM_coal,1.8877878193977147e7
NM_naturalgas,1.2723483689023792e6
PNW_coal,0.0
PNW_naturalgas,3.169795869784886e8
PNW_uranium,1.000043604257248e8
UT_NV_coal,2.7897401417775327e8
UT_NV_naturalgas,3.606603170871749e8
CA_S_uranium,-8.856098302505064e-8
MT_WY_CO_uranium,1.1298097335248422e-8
NM_uranium,1.771111703607886e-8
UT_NV_uranium,-2.645133457062493e-8
None,0.0
