Resource,Derating_Factor_1
BTM_Solar,0.0
CAM_CAM_RA_i,0.607
CAM_CAM_RA_ii,0.904
CAM_CAM_RA_iii,0.809
CAM_DR_RA,0.412
CAM_CPE_RA_i,0.809
CAM_CPE_RA_ii,0.873
Aramis,0.607
CALP01RA2027,0.809
CHEV01RA2024,0.809
CHEV01RA2025,0.904
DaggettSolarPower3,0.213
EBMUD01RA2024,0.461
EdwardsSolarII,0.062
FervoFECNevada1,0.927
GEN01RA2026,0.873
HDP01RA2027,0.873
HDP01RA2028,0.873
HDP01RA2030,0.873
HenriettaStorage,0.607
MRL01RA2030,0.809
NEXT01RA2026,0.809
Oberon,0.669
OhmConnect,0.412
RosamondCentral,0.062
Sanborn,0.607
Scarlet,0.244
SDGE01RA2024,0.873
SENA01RA2027,0.809
SummitWind,0.135
SUN01RA2031,0.412
Tecolote,0.0
TPS01RA2024,0.461
TulareSolarCenter,0.062
Tumbleweed,0.607
Generic_6hr_battery,0.697
Generic_8hr_battery,0.787
Generic_RA_Only,0.873
Arizona_Li_Battery,0.607
Arizona_Solar,0.062
CAISO_Advanced_CCGT_candidate,0.873
CAISO_Aero_CT_candidate,0.809
CAISO_New_Flow_Battery,0.607
CAISO_Reciprocating_Engine_candidate,0.894
CAISO_Shed_DR_Tranche1,0.412
Greater_Imperial_Geothermal,0.927
Humboldt_Bay_Offshore_Wind,0.384
InState_Biomass,0.836
Morro_Bay_Offshore_Wind,0.384
New_Mexico_Wind,0.236
Northern_California_Geothermal,0.927
Northern_California_Li_Battery,0.607
Northern_California_Solar,0.062
Northern_California_Wind,0.134
NW_Ext_Tx_Wind,0.16
Riverside_Li_Battery,0.607
Riverside_Palm_Springs_Wind,0.067
Riverside_Solar,0.062
Riverside_West_Pumped_Storage,0.827
Southern_Nevada_Geothermal,0.927
Tehachapi_Pumped_Storage,0.827
Wyoming_Wind,0.261
Hybrid_Solar_Test,0.244
Hybrid_Wind_Test,0.244
