Fuel,AnnualSum
No_fuel,0.0
AZ_coal,9.702005598282674e7
AZ_naturalgas,1.1557942428421308e8
AZ_uranium,3.580393972804789e8
CA_N_naturalgas,3.728705664064969e7
CA_N_uranium,4.851816999944558e-9
CA_S_naturalgas,9.861925406819636e6
MT_WY_CO_coal,5.122459923572922e8
MT_WY_CO_naturalgas,53433.226056971136
NM_coal,2.110164120385214e7
NM_naturalgas,1.7123106837554977e6
PNW_coal,0.0
PNW_naturalgas,6.662551971850116e8
PNW_uranium,1.0517970539803429e8
UT_NV_coal,2.981905154330757e8
UT_NV_naturalgas,8.133915887019262e8
CA_S_uranium,9.284089586197864e-9
MT_WY_CO_uranium,6.0499255939983065e-9
NM_uranium,-4.502068435389277e-9
UT_NV_uranium,3.8336914536252205e-8
None,0.0
