ELCC_Surface,Resource,ELCC_Axis_Index,ELCC_Axis_Multiplier
Solar_Storage,Northern_California_Li_Battery_4hr_38,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_41,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_44,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_5,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_51,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_57,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_68,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_70,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_73,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_76,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_80,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_82,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_83,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_84,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_85,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_92,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_94,2,1.0
Solar_Storage,Northern_California_Li_Battery_4hr_96,2,1.0
Solar_Storage,Northern_California_Li_Battery_8hr_100,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_112,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_113,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_114,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_116,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_121,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_122,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_126,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_127,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_130,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_132,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_135,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_138,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_141,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_144,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_149,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_150,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_155,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_157,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_158,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_159,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_166,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_172,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_178,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_179,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_180,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_25,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_26,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_29,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_31,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_35,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_38,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_41,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_44,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_5,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_51,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_57,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_68,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_70,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_73,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_76,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_80,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_82,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_83,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_84,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_85,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_92,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_94,2,1.8571428571428557
Solar_Storage,Northern_California_Li_Battery_8hr_96,2,1.8571428571428557
Solar_Storage,Northern_California_Pumped_Storage_5,2,2.089285714285712
Solar_Storage,Northern_California_Solar_100,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_112,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_113,1,1.0394103852082204
Solar_Storage,Northern_California_Solar_114,1,1.0394103852082204
