Sum Range ID,Index 1,Index 2,MODEL_YEARS,Multiplier
Arizona_Li_Battery_8hr_48_Generic_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_48_Generic,2035,-1.0
Arizona_Li_Battery_8hr_55_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_55,2035,-1.0
Arizona_Li_Battery_8hr_55_Generic_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_55_Generic,2035,-1.0
Arizona_Li_Battery_8hr_62_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_62,2035,-1.0
Arizona_Li_Battery_8hr_62_Generic_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_62_Generic,2035,-1.0
Arizona_Li_Battery_8hr_77_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_77,2035,-1.0
Arizona_Li_Battery_8hr_77_Generic_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_77_Generic,2035,-1.0
Arizona_Li_Battery_8hr_90_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_90,2035,-1.0
Arizona_Li_Battery_8hr_90_Generic_FCDS_constraint,System RA,Arizona_Li_Battery_8hr_90_Generic,2035,-1.0
CAISO_Enhanced_Geothermal_Systems_FCDS_constraint,System RA,CAISO_Enhanced_Geothermal_Systems,2035,-1.0
CAISO_Generic_Energy_Storage_100hr_FCDS_constraint,System RA,CAISO_Generic_Energy_Storage_100hr,2035,-1.0
CAISO_Generic_Energy_Storage_24hr_FCDS_constraint,System RA,CAISO_Generic_Energy_Storage_24hr,2035,-1.0
Cape_Mendocino_Offshore_Wind_Asset_FCDS_constraint,System RA,Cape_Mendocino_Offshore_Wind_Asset,2035,-1.0
Central_Nevada_Geothermal_42_FCDS_constraint,System RA,Central_Nevada_Geothermal_42,2035,-1.0
Central_Nevada_Geothermal_42_Generic_FCDS_constraint,System RA,Central_Nevada_Geothermal_42_Generic,2035,-1.0
Central_Valley_North_Los_Banos_Biomass_47_FCDS_constraint,System RA,Central_Valley_North_Los_Banos_Biomass_47,2035,-1.0
Central_Valley_North_Los_Banos_Biomass_47_Generic_FCDS_constraint,System RA,Central_Valley_North_Los_Banos_Biomass_47_Generic,2035,-1.0
Del_Norte_Offshore_Wind_Asset_FCDS_constraint,System RA,Del_Norte_Offshore_Wind_Asset,2035,-1.0
Greater_Imperial_Biomass_20_FCDS_constraint,System RA,Greater_Imperial_Biomass_20,2035,-1.0
Greater_Imperial_Biomass_20_Generic_FCDS_constraint,System RA,Greater_Imperial_Biomass_20_Generic,2035,-1.0
Greater_Imperial_Flow_Battery_107_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_107,2035,-1.0
Greater_Imperial_Flow_Battery_107_Generic_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_107_Generic,2035,-1.0
Greater_Imperial_Flow_Battery_108_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_108,2035,-1.0
Greater_Imperial_Flow_Battery_108_Generic_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_108_Generic,2035,-1.0
Greater_Imperial_Flow_Battery_133_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_133,2035,-1.0
Greater_Imperial_Flow_Battery_133_Generic_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_133_Generic,2035,-1.0
Greater_Imperial_Flow_Battery_20_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_20,2035,-1.0
Greater_Imperial_Flow_Battery_20_Generic_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_20_Generic,2035,-1.0
Greater_Imperial_Flow_Battery_63_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_63,2035,-1.0
Greater_Imperial_Flow_Battery_63_Generic_FCDS_constraint,System RA,Greater_Imperial_Flow_Battery_63_Generic,2035,-1.0
Greater_Imperial_Geothermal_20_FCDS_constraint,System RA,Greater_Imperial_Geothermal_20,2035,-1.0
