Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.588855344392615e8
AZ_naturalgas,4.0374946427264345e8
AZ_uranium,3.60417864488712e8
CA_N_naturalgas,96684.36248052995
CA_N_uranium,9.176265365012501e8
CA_S_naturalgas,17448.916392000647
MT_WY_CO_coal,5.408531828699893e8
MT_WY_CO_naturalgas,1.1240335003349737e6
NM_coal,2.5281526994813632e7
NM_naturalgas,134204.31888098925
PNW_coal,0.0
PNW_naturalgas,3.207817701056927e8
PNW_uranium,1.0546566959999973e8
UT_NV_coal,2.9532291495799685e8
UT_NV_naturalgas,2.3205224099566296e8
CA_S_uranium,1.6715913888573136e9
MT_WY_CO_uranium,5.893286436501138e-9
NM_uranium,-1.078903739724257e-9
UT_NV_uranium,3.798170022477621e-7
None,0.0
