Resource,ELCC
BTM_Solar,0.04
CAM_CAM_RA_i,0.87
CAM_CAM_RA_ii,0.93
CAM_CAM_RA_iii,0.83
CAM_DR_RA,0.82
CAM_CPE_RA_i,0.83
CAM_CPE_RA_ii,0.86
Aramis,0.87
CALP01RA2027,0.83
CHEV01RA2024,0.83
CHEV01RA2025,0.93
DaggettSolarPower3,0.34
EBMUD01RA2024,0.54
EdwardsSolarII,0.11
FervoFECNevada1,0.89
GEN01RA2026,0.86
HDP01RA2027,0.86
HDP01RA2028,0.86
HDP01RA2030,0.86
HenriettaStorage,0.87
MRL01RA2030,0.83
NEXT01RA2026,0.83
Oberon,0.99
OhmConnect,0.82
RosamondCentral,0.11
Sanborn,0.87
Scarlet,0.38
SDGE01RA2024,0.86
SENA01RA2027,0.83
SummitWind,0.31
SUN01RA2031,0.82
Tecolote,0.0
TPS01RA2024,0.54
TulareSolarCenter,0.11
Tumbleweed,0.87
Generic_6hr_battery,0.88
Generic_8hr_battery,0.88
Generic_RA_Only,0.86
Arizona_Li_Battery,0.87
Arizona_Solar,0.11
CAISO_Advanced_CCGT_candidate,0.86
CAISO_Aero_CT_candidate,0.83
CAISO_New_Flow_Battery,0.87
CAISO_Reciprocating_Engine_candidate,0.87
CAISO_Shed_DR_Tranche1,0.82
Greater_Imperial_Geothermal,0.89
Humboldt_Bay_Offshore_Wind,0.46
InState_Biomass,0.81
Morro_Bay_Offshore_Wind,0.46
New_Mexico_Wind,0.32
Northern_California_Geothermal,0.89
Northern_California_Li_Battery,0.87
Northern_California_Solar,0.11
Northern_California_Wind,0.31
NW_Ext_Tx_Wind,0.22
Riverside_Li_Battery,0.87
Riverside_Palm_Springs_Wind,0.15
Riverside_Solar,0.11
Riverside_West_Pumped_Storage,0.88
Southern_Nevada_Geothermal,0.89
Tehachapi_Pumped_Storage,0.88
Wyoming_Wind,0.36
Hybrid_Solar_Test,0.38
Hybrid_Wind_Test,0.43
