Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t242,447.54503136322904,588.7215347556587,0.0,0.0
t243,447.54503136322904,593.9110301978129,0.0,0.0
t244,513.534730224691,948.4209489836793,0.0,0.0
t245,519.6990049968052,971.8032090243572,0.0,0.0
t246,526.0645842689391,971.8032090243572,0.0,0.0
t247,527.8130915885827,971.8032090243572,0.0,0.0
t248,523.1246018662498,966.0498822773067,0.0,0.0
t249,447.54503136322904,824.9366314052625,0.0,0.0
t250,422.10504219548926,824.9366314052625,0.0,0.0
t251,422.10504219548915,971.8032090243572,0.0,0.0
t252,447.54503136322904,987.9133755533372,0.0,0.0
t253,447.54503136322904,987.9133755533372,0.0,0.0
t254,527.8130915885827,497245.83189237205,0.0,0.0
t255,527.8130915885827,987.9133755533372,0.0,0.0
t256,527.8130915885827,987.9133755533372,0.0,0.0
t257,527.8130915885827,987.9133755533372,0.0,0.0
t258,527.8130915885827,776.3760947058877,0.0,0.0
t259,447.54503136322904,588.7215347556587,0.0,0.0
t260,447.54503136322904,588.7215347556587,0.0,0.0
t261,447.54503136322904,588.7215347556587,0.0,0.0
t262,527.8130915885827,588.7215347556587,0.0,0.0
t263,527.8130915885827,588.7215347556587,0.0,0.0
t264,527.8130915885827,588.7215347556587,0.0,0.0
t265,0.0,0.0,0.0,0.0
t266,0.0,0.0,0.0,0.0
t267,0.0,0.0,0.0,0.0
t268,0.0,0.0,0.0,0.0
t269,0.0,0.0,0.0,0.0
t270,0.0,0.0,0.0,0.0
t271,0.0,0.0,0.0,0.0
t272,0.0,0.0,0.0,0.0
t273,0.0,0.0,0.0,0.0
t274,0.0,0.0,0.0,0.0
t275,0.0,0.0,0.0,0.0
t276,0.0,0.0,0.0,0.0
t277,0.0,1.289525588104989,0.0,0.0
t278,0.0,0.2189891804252738,0.0,0.0
t279,0.0,0.0,0.0,0.0
t280,0.0,0.0,0.0,0.0
t281,0.0,0.0,0.0,0.0
t282,0.0,0.0,0.0,0.0
t283,0.0,0.0,0.0,0.0
t284,0.0,0.0,0.0,0.0
t285,0.0,0.0,0.0,0.0
t286,0.0,0.0,0.0,0.0
t287,0.0,0.0,0.0,0.0
t288,0.0,0.0,0.0,0.0
t289,0.0,0.0,0.0,0.0
t290,0.0,0.0,0.0,0.0
t291,0.0,0.0,0.0,0.0
t292,0.0,0.0,0.0,0.0
t293,0.0,0.0,0.0,0.0
t294,0.0,0.0,0.0,0.0
t295,0.0,0.0,0.0,0.0
t296,0.0,0.0,0.0,0.0
t297,0.0,0.0,0.0,0.0
t298,0.0,0.0,0.0,0.0
t299,0.0,0.0,0.0,0.0
t300,0.0,0.0,0.0,0.0
t301,0.0,0.0,0.0,0.0
t302,0.0,0.0,0.0,0.6156443529421131
t303,0.0,0.0,0.0,0.0
t304,0.0,0.0,0.0,0.0
t305,0.0,0.0,0.0,0.0
t306,0.0,0.0,0.0,0.0
t307,0.0,0.0,0.0,0.0
t308,0.0,0.0,0.0,0.0
t309,0.0,0.0,0.0,0.0
t310,0.0,0.0,0.0,0.0
t311,0.0,0.0,0.0,0.0
t312,0.0,0.0,0.0,0.0
t313,0.0,0.0,0.0,0.0
t314,0.0,0.0,0.0,0.0
t315,0.0,0.0,0.0,0.0
t316,0.0,0.0,0.0,585.0731491112509
t317,0.0,0.0,0.0,22289.507185042192
t318,-0.0,0.0,0.0,22289.507185042192
t319,-0.0,0.0,0.0,22289.507185042192
t320,1.3330906421802056,0.0,0.0,22290.896617270868
t321,0.0,0.0,0.0,18947.246865497662
t322,0.0,0.0,0.0,22292.186142858973
t323,0.0,0.0,0.0,22290.896617270868
t324,0.0,0.0,0.0,22288.485113806182
t325,0.0,0.0,0.0,22288.485113806182
t326,0.0,0.0,0.0,22288.485113806182
t327,1.2895255881049803,0.0,0.0,22288.485113806182
t328,0.0,0.0,0.0,0.0
t329,0.0,0.0,0.0,0.0
t330,0.0,0.0,0.0,0.0
t331,0.0,0.0,0.0,0.0
t332,0.0,0.0,0.0,0.0
t333,0.0,0.0,0.0,0.0
t334,0.0,0.0,0.0,0.0
t335,0.0,0.0,0.0,0.0
t336,0.0,0.0,0.0,0.0
t337,0.0,0.0,0.0,0.0
t338,0.0,0.0,0.0,0.0
t339,0.0,0.0,0.0,0.0
t340,0.0,0.0,0.0,0.0
t341,0.0,0.0,0.0,0.0
t342,0.0,0.0,0.0,0.0
t343,0.0,0.0,0.0,0.0
t344,0.0,0.0,0.0,0.0
t345,0.0,0.0,0.0,0.0
t346,0.0,0.0,0.0,0.0
t347,0.0,0.0,0.0,0.0
t348,0.0,0.0,0.0,0.0
t349,0.0,0.0,0.0,0.0
t350,0.0,0.0,0.0,0.0
t351,0.0,0.0,0.0,0.0
t352,0.0,0.0,0.0,0.0
t353,1.28952558810498,0.0,0.0,0.0
t354,1.2895255881049816,0.0,0.0,0.0
t355,1.289525588104987,0.0,0.0,0.0
t356,1.2895255881049803,0.0,0.0,0.0
t357,1.2895255881049816,0.0,0.0,0.0
t358,1.2895255881049816,0.0,0.0,0.0
t359,1.2895255881049816,0.0,0.0,0.0
t360,-0.0,0.0,0.0,0.0
t361,0.0,0.0,0.0,0.0
t362,0.0,0.0,0.0,0.0
t363,0.0,0.0,0.0,0.0
t364,0.0,0.0,-0.0,0.0
t365,0.0,0.0,985.2010867433609,0.0
t366,0.0,0.0,985.2010867433609,0.0
t367,0.0,0.0,836.3248274731033,0.0
t368,0.0,0.0,988.8475448742303,0.0
t369,0.0,0.0,988.8519185538985,0.0
t370,0.0,0.0,988.8519185538985,1.2895255881049785
t371,0.0,0.0,988.8519185538985,1.2895255881049785
t372,0.0,0.0,988.8519185538985,-0.0
t373,0.0,0.0,988.8519185538985,0.0
t374,0.0,0.0,595.3909115709412,0.0
t375,0.0,0.0,-0.0,0.0
t376,0.0,0.0,0.0,0.0
t377,0.0,0.0,0.0,0.0
t378,0.0,0.0,0.0,0.0
t379,0.0,0.0,0.0,0.0
t380,0.0,0.0,0.0,0.0
t381,0.0,0.0,0.0,0.0
t382,0.0,0.0,0.0,0.0
t383,0.0,0.0,0.0,0.0
t384,0.0,0.0,0.0,0.0
t385,5924.855752262974,0.0,0.0,0.0
t386,5924.855752262974,0.0,0.0,0.0
t387,5924.855752262974,0.0,0.0,0.0
t388,5924.855752262974,0.0,0.0,0.0
t389,6988.099602635122,0.0,0.0,0.0
t390,6999.601797060218,0.0,-0.0,0.0
t391,5598.6149651354835,0.0,0.0,0.0
t392,0.0,0.0,0.0,0.0
t393,0.0,0.0,0.0,0.0
t394,0.0,0.0,0.0,0.0
t395,0.0,0.0,0.0,0.0
t396,3.1657936302049747,0.0,0.0,0.0
t397,3.1657936302049756,0.0,0.0,0.0
t398,592.7058526041117,0.0,0.0,0.0
t399,923.3788473990242,0.0,0.0,0.0
t400,923.3788473990244,0.0,0.0,0.0
t401,5598.6149651354835,0.0,0.0,0.0
t402,79484.94571563786,0.0,0.0,0.0
t403,79484.94571563786,0.0,0.0,0.0
t404,79484.94571563786,0.0,0.0,0.0
t405,79484.94571563786,0.0,0.0,0.0
t406,79484.94571563786,0.0,0.0,0.0
t407,79484.94571563786,0.0,0.0,0.0
t408,6995.974565790221,0.0,0.0,0.0
t409,0.0,0.0,0.0,0.0
t410,0.0,0.0,0.0,0.0
t411,0.0,0.0,0.0,0.0
t412,0.0,0.0,0.0,0.0
t413,0.0,0.0,0.0,0.0
t414,0.0,0.0,0.0,0.0
t415,0.0,0.0,0.0,0.0
t416,0.0,0.0,0.0,0.0
t417,0.0,0.0,0.0,0.0
t418,0.0,0.0,0.0,0.0
t419,0.0,0.0,0.0,0.0
t420,0.0,0.0,0.0,0.0
t421,0.0,0.0,0.0,0.0
t422,0.0,0.0,0.0,0.0
t423,0.0,0.0,0.0,0.0
t424,0.0,0.0,0.0,0.0
t425,0.0,0.0,0.0,0.0
t426,0.0,0.0,0.0,0.0
t427,0.0,0.0,0.0,0.0
t428,0.0,0.0,0.0,0.0
t429,0.0,0.0,0.0,0.0
t430,0.0,0.0,0.0,0.0
t431,0.0,0.0,0.0,0.0
t432,0.0,0.0,0.0,0.0
t433,0.0,0.0,0.0,0.0
t434,0.0,0.0,0.0,0.0
t435,0.0,0.0,0.0,0.0
t436,0.0,0.0,0.0,0.0
t437,0.0,0.0,0.0,0.0
t438,0.0,0.0,0.0,0.0
t439,0.0,0.0,0.0,0.0
t440,0.0,0.0,0.0,0.0
t441,0.0,0.0,0.0,0.0
t442,0.0,0.0,0.0,0.0
t443,0.0,0.0,0.0,0.0
t444,0.0,0.0,0.0,0.0
t445,0.0,0.0,0.0,0.0
t446,0.0,0.0,0.0,0.0
t447,0.0,0.0,0.0,0.0
t448,0.0,0.0,0.0,0.0
t449,0.0,0.0,0.0,0.0
t450,0.0,0.0,0.0,0.0
t451,0.0,0.0,0.0,0.0
t452,0.0,0.0,0.0,0.0
t453,0.0,0.0,0.0,0.0
t454,0.0,0.0,0.0,0.0
t455,0.0,0.0,0.0,0.0
t456,0.0,0.0,0.0,0.0
t457,0.0,0.0,0.0,0.0
t458,0.0,0.0,0.0,0.0
t459,0.0,0.0,0.0,0.0
t460,0.0,0.0,0.0,0.0
t461,0.0,0.0,0.0,0.0
t462,0.0,0.0,0.0,0.0
t463,0.0,0.0,0.0,0.0
t464,0.0,0.0,0.0,0.0
t465,0.0,0.0,0.0,0.0
t466,0.0,0.0,0.0,0.0
t467,0.0,0.0,0.0,0.0
t468,0.0,0.0,0.0,0.0
t469,0.0,0.0,0.0,0.0
t470,0.0,0.0,0.0,0.0
t471,0.0,0.0,0.0,0.0
t472,0.0,0.0,0.0,0.0
t473,0.0,0.0,0.0,0.0
t474,0.0,0.0,0.0,0.0
t475,-0.0,0.0,0.0,0.0
t476,0.0,0.0,0.0,0.0
t477,-0.0,0.0,0.0,0.0
t478,0.0,0.0,0.0,0.0
t479,-0.0,0.0,0.0,0.0
t480,0.0,0.0,0.0,0.0
t481,512.4482815640381,0.0,0.0,0.0
t482,512.4482815640381,0.0,0.0,0.0
t483,512.4482815640381,0.0,0.0,0.0
t484,512.4482815640381,0.0,0.0,0.0
t485,512.4482815640381,0.0,0.0,0.0
t486,512.4482815640381,0.0,0.0,0.0
t487,512.4482815640381,0.0,0.0,0.0
t488,408.8921527375633,0.0,0.0,0.0
t489,0.0,0.0,0.0,0.0
t490,0.0,0.0,0.0,0.0
t491,0.0,0.0,0.0,0.0
t492,0.0,0.0,0.0,0.0
t493,0.0,0.0,0.0,0.0
t494,0.0,0.0,0.0,0.0
t495,0.0,0.0,0.0,0.0
t496,0.0,0.0,0.0,0.0
t497,512.4482815640381,0.0,0.0,0.0
t498,512.4482815640381,0.0,0.0,0.0
t499,512.4482815640381,0.0,0.0,0.0
t500,512.4482815640381,0.0,0.0,0.0
t501,512.4482815640378,0.0,0.0,0.0
t502,512.4482815640381,0.0,0.0,0.0
t503,512.4482815640381,0.0,0.0,0.0
t504,512.4482815640381,0.0,0.0,0.0
t505,0.0,0.0,0.0,0.0
t506,0.0,0.0,0.0,0.0
t507,0.0,0.0,0.0,0.0
t508,0.0,0.0,0.0,0.0
t509,0.0,0.0,0.0,0.0
t510,0.0,0.0,0.0,0.0
