Fuel,AnnualSum
No_fuel,0.0
AZ_coal,1.572870846809888e8
AZ_naturalgas,7.085142692648607e6
AZ_uranium,3.602122613507299e8
CA_N_naturalgas,953868.9903081952
CA_N_uranium,6.466350727029717e8
CA_S_naturalgas,622586.2658923184
MT_WY_CO_coal,5.575408219144025e8
MT_WY_CO_naturalgas,186145.78023974603
NM_coal,2.5246009194648985e7
NM_naturalgas,5.737939323455754e6
PNW_coal,0.0
PNW_naturalgas,3.656275019175133e8
PNW_uranium,1.0546566959999979e8
UT_NV_coal,2.882735225769929e8
UT_NV_naturalgas,5.850025677093865e8
CA_S_uranium,1.2948798079439423e9
MT_WY_CO_uranium,6.461476200758653e-9
NM_uranium,-2.3593192128490623e-8
UT_NV_uranium,-1.3346136342065445e-7
None,0.0
