Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1,Total
t9,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t10,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t11,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t12,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,-5.4569682106375695e-15,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t13,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,1.446742546365908e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,-5.4569682106375695e-15,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t14,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,1.446742546365908e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,-5.4569682106375695e-15,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t15,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,1.446742546365908e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,-5.4569682106375695e-15,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t16,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,1.446742546365908e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,1.8189894035458565e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,-5.4569682106375695e-15,0.0,0.0,5.7558139534883725,5.459782376786858,579.7686428161251
t17,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,-5.4569682106375695e-15,0.0,0.0,5.7558139534883725,5.459782376786858,2060.7686428161255
t18,11.862284820031299,46.66971788151219,0.0,0.0,9.783443567313848,0.0,8.558945646401877,0.0,0.0,0.0,8.090340525953607,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,41.644318574812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1004597631029,0.0,0.0,0.0,14.077849799790458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.572074742939243,0.0,0.0,0.0,32.56170187098817,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2077.417928988481
