Line,New_Trans_Capacity,Cost_Trans_Capacity
1,678.6487962405142,4.0712914896547425e8
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,5200.0,3.600442368043079e9
8,1946.7769234017114,2.3153972244210715e9
9,0.0,0.0
10,0.0,0.0
11,1417.0,5.668118054455383e8
12,0.0,0.0
13,0.0,0.0
14,657.0,6.9416932051582e8
15,0.0,0.0
