Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Min_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster,Resource_Type,MGA
Riverside_Solar,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Solar,1
SW_Solar,7,1,0,0,12099.82,0,-1,0.0,0.0,0,0,0,0.01,0.01,SW,1,Solar,0
SW_Solar_New_Planned,7,1,0,0,31911.25,0,-1,0.0,0.0,0,0,0,0.01,0.01,SW,1,Solar,0
SW_Wind,7,1,0,0,910.8,0,-1,0.0,0.0,0,0,0,0.01,0.01,SW,1,Wind,0
SW_Wind_New_Planned,7,1,0,0,5151.75,0,-1,0.0,0.0,0,0,0,0.01,0.01,SW,1,Wind,0
Solano_Wind,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Wind,1
Southern_NV_Eldorado_Solar,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Solar,1
Southern_NV_Eldorado_Wind,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Wind,1
Southern_PGAE_Solar,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Solar,1
Tehachapi_Solar,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Solar,1
Tehachapi_Wind,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Wind,1
Utah_Wind,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Wind,1
Wyoming_Wind,2,1,1,0,0.0,0,-1,0.0,0.0,0,1,0,0.01,0.01,CAISO,1,Wind,1
