Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1
t11,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63351.296908526616,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,25338.212165484838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51443.83664683493,0.0,0.0,0.0,36049.643212705465,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t12,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,25338.212165484838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51443.83664683493,0.0,0.0,0.0,36049.643212705465,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t13,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,25338.212165484838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51443.83664683493,0.0,0.0,0.0,36049.643212705465,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t14,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,25338.212165484838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54982.87686445731,0.0,0.0,0.0,36049.643212705465,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t15,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,25338.212165484838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74947.13054413037,0.0,0.0,0.0,72099.28642541093,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t16,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,47280.50978022532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,-6.565414878423326e-12,0.0,0.0,0.0,0.0,102887.6732936698,0.0,0.0,0.0,72099.28642541093,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t17,0.0,50330.51772032738,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,50676.424330969676,0.0,0.0,0.0,0.0,0.0,0.0,1.9099388737231493e-11,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.54162635966,0.0,0.0,0.0,1.844284724938916e-10,0.0,0.0,0.0,-7.460698725481052e-12,102887.6732936698,0.0,0.0,2.3874235921539366e-12,72099.28642541093,0.0,0.0,-9.549694368615746e-12,11287.386000000002,10706.856000000002
t18,0.0,39633.27697211752,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,50676.424330969676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,6.184919243423792e-11,0.0,0.0,0.0,0.0,102887.6732936698,0.0,0.0,-7.401013135677204e-11,72099.28642541093,0.0,0.0,-9.549694368615746e-12,11287.386000000002,10706.856000000002
t19,0.0,39633.27697211752,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,50676.424330969676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263596,0.0,0.0,0.0,-5.3157478419052495e-11,0.0,0.0,0.0,0.0,102887.6732936698,0.0,0.0,0.0,72099.28642541093,0.0,0.0,-9.549694368615746e-12,11287.386000000002,10706.856000000002
t20,0.0,39633.27697211752,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.325588527834043e-10,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,50676.424330969676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99891.58316833616,0.0,0.0,0.0,164093.5416263597,0.0,0.0,0.0,5.6011195681549e-11,0.0,0.0,0.0,0.0,102887.67329366985,0.0,0.0,2.3874235921539366e-12,72099.28642541093,0.0,0.0,-9.549694368615746e-12,11287.386000000002,10706.856000000002
