Zone,1,2,3,4,5,6,7
t1,40.93826216431058,47.97374305461295,44.85021680532602,10.906885496230299,10.5054050485163,21.064547389742398,25.778447735625228
t2,40.93826216431058,47.97374305461295,44.85021680532602,10.906885496230299,10.5054050485163,21.064547389742398,25.778447735625228
t3,40.93826216431058,47.97374305461295,44.85021680532601,10.906885496230299,10.5054050485163,21.064547389742398,25.778447735625228
t4,40.938262164310586,47.97374305461295,44.85021680532601,10.906885496230299,10.5054050485163,21.064547389742398,25.778447735625228
t5,40.93826216431058,47.97374305461295,44.85021680532601,10.906885496230299,10.5054050485163,21.064547389742398,25.778447735625228
t6,40.93826216431058,47.97374305461295,44.85021680532601,10.906885496230299,10.5054050485163,21.064547389742398,25.778447735625228
t7,36.83919276074567,43.17022448950192,40.35945091223352,10.906885496230299,10.394232158873423,21.064547389742398,25.778447735625228
t8,14.341894924614646,13.70494622541242,13.090956882222857,10.906885496230299,10.505405048516302,12.424598532285234,11.99952109041319
t9,14.341894924614646,12.238616730165973,13.090956882222857,10.906885496230299,10.505405048516302,12.424598532285234,11.99952109041319
t10,14.34189492461465,12.238616730165976,13.09095688222286,10.906885496230299,10.5054050485163,12.424598532285234,11.999521090413191
t11,14.34189492461465,12.238616730165976,13.09095688222286,10.906885496230299,10.5054050485163,12.424598532285234,11.999521090413191
t12,14.34189492461465,12.238616730165974,13.090956882222859,10.906885496230293,11.323709145767756,12.424598532285234,11.99952109041319
t13,14.341894924614646,12.238616730165974,13.090956882222857,12.614136277544455,13.096205179870996,12.424598532285234,11.99952109041319
t14,25.98172245727112,22.171431656380726,23.715527843553513,22.85172144434471,23.72503563966999,21.064547389742398,21.73828690211685
t15,27.228348783860724,23.235236815814694,24.853420121764223,23.948167517435603,24.86338411045862,21.064547389742398,22.78130938808575
t16,30.810545350795895,26.29209443925136,28.123168021040172,27.005952705021567,28.134442884895503,23.707070542753776,25.778447735625228
t17,37.471191749918425,38.378994443697586,41.051842093162946,29.44047758321965,34.2165674808419,25.844208738022825,32.38978091351383
t18,40.93826216431058,47.97374305461295,44.85021680532601,27.005952705021567,28.03802733069118,23.707070542753783,29.711368947864216
t19,40.93826216431058,47.97374305461295,44.85021680532602,27.005952705021567,28.03802733069118,23.707070542753783,29.711368947864216
t20,40.93826216431058,47.97374305461295,44.85021680532602,27.005952705021567,28.03802733069118,23.707070542753783,29.711368947864216
t21,40.93826216431058,47.97374305461295,44.85021680532603,29.44047758321965,30.565591376208932,23.707070542753783,32.38978091351384
t22,40.93826216431058,47.97374305461295,44.85021680532601,29.440477583219643,30.565591376208932,23.707070542753783,32.38978091351383
t23,40.93826216431058,47.97374305461295,44.85021680532602,29.44047758321965,30.565591376208932,23.707070542753783,32.38978091351383
t24,40.93826216431058,47.97374305461295,44.85021680532601,29.44047758321965,30.565591376208932,23.707070542753783,32.38978091351383
t25,38.846192523849375,45.52213895424793,42.558234391174466,10.906885496230299,10.5054050485163,24.425612539822364,21.828574223436096
t26,38.846192523849375,45.52213895424793,42.55823439117446,10.906885496230299,10.5054050485163,24.425612539822364,21.828574223436096
t27,38.846192523849375,45.52213895424793,42.558234391174466,10.906885496230299,10.5054050485163,24.425612539822364,21.828574223436096
t28,38.846192523849375,45.522138954247936,42.558234391174466,10.906885496230299,10.5054050485163,24.425612539822364,21.828574223436096
t29,38.846192523849375,45.52213895424793,42.558234391174466,10.906885496230299,10.5054050485163,24.425612539822364,21.828574223436096
t30,38.846192523849375,45.522138954247936,42.55823439117447,10.906885496230299,10.5054050485163,24.425612539822364,21.828574223436096
t31,38.846192523849375,45.52213895424793,42.558234391174466,0.0,0.0,24.425612539822364,21.828574223436096
t32,27.335910920688004,26.689317284496926,24.95160040426993,0.0,0.0,22.162448697448212,21.828574223436096
t33,27.335910920688004,24.4462762183209,24.95160040426993,10.906885496230299,10.505405048516302,22.162448697448212,21.828574223436096
t34,27.228348783860724,23.235236815814694,24.853420121764223,18.491430995765135,10.505405048516302,21.064547389742398,21.828574223436096
t35,27.335910920688004,24.4462762183209,24.95160040426993,19.455219388459888,10.5054050485163,22.16244869744821,21.828574223436096
t36,27.335910920688004,24.4462762183209,24.951600404269925,19.455219388459888,20.198730957445616,22.162448697448212,21.828574223436096
t37,27.335910920688004,24.4462762183209,24.951600404269925,19.45521938845989,20.198730957445623,22.162448697448212,22.266802433589007
t38,32.36003023768453,28.939304050224866,29.53750273416805,23.431149927112628,24.326607886110565,26.235727504064677,25.778447735625228
t39,34.221616041661065,29.20292226531167,31.236716096175712,23.431149927112628,26.517192874684063,24.425612539822364,25.778447735625228
t40,38.846192523849375,39.787306925856385,42.558234391174466,26.260580071691425,33.180668218966396,25.169254990320514,28.89132599087588
t41,38.846192523849375,45.52213895424793,42.55823439117447,26.260580071691425,33.180668218966396,25.169254990320514,28.89132599087588
t42,38.846192523849375,45.52213895424793,42.55823439117447,26.260580071691418,31.849399313183575,26.235727504064677,28.89132599087588
t43,38.846192523849375,45.52213895424793,42.558234391174466,26.260580071691418,31.849399313183575,25.16925499032051,28.89132599087588
t44,38.846192523849375,45.52213895424793,42.558234391174466,26.260580071691418,31.849399313183575,25.16925499032051,28.89132599087588
t45,38.846192523849375,45.52213895424793,42.558234391174466,26.260580071691418,31.849399313183575,25.16925499032051,28.89132599087588
t46,38.846192523849375,45.52213895424793,42.558234391174466,25.484693692713357,30.908387536662648,24.425612539822364,28.037712466508225
t47,38.846192523849375,45.52213895424793,42.558234391174466,25.484693692713357,30.908387536662648,24.425612539822364,28.037712466508225
t48,38.846192523849375,45.52213895424793,42.558234391174466,25.484693692713357,35.47214021739679,24.425612539822364,28.037712466508225
t49,40.13779322182339,53.962780611867245,50.44931364028241,23.656356610373898,43.74749272023028,24.89650079863424,25.778447735625228
t50,40.13779322182339,53.96278061186726,50.44931364028241,28.360894353265305,32.19229678984342,24.89650079863424,25.778447735625228
t51,40.13779322182339,53.962780611867245,50.44931364028241,28.360894353265305,32.19229678984342,24.896500798634243,25.778447735625228
t52,40.13779322182339,53.962780611867245,50.44931364028241,28.360894353265298,32.19229678984342,24.896500798634236,25.778447735625228
t53,40.13779322182339,53.96278061186728,50.44931364028245,28.36089435326527,48.27885729467168,24.89650079863421,25.778447735625228
t54,40.13779322182339,53.962780611867245,50.44931364028241,28.360894353265305,32.19229678984341,24.89650079863424,25.778447735625228
