BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
t9,9840.692980970673,0.0,-2661.6818594643105,0.0,0.0,0.0,0.0,10263.232270005905,-511.24339151226934,-16931.0,32151.64041985895,0.0,-5412.021328207282,0.0,0.0,0.0,0.0,-3446.6396668617695,-115.97942478989854,-23177.0,35082.536411752444,0.0,-5402.236809950724,0.0,0.0,0.0,0.0,1570.8363750519757,-325.1359768536987,-30926.0,18871.04549287956,0.0,-804.5,0.0,0.0,0.0,0.0,-1031.4982200301588,-60.04727284939987,-16975.0,9779.05221367754,0.0,-21.660750270310928,0.0,0.0,0.0,0.0,-4447.695758886351,-211.69570452088092,-5098.0,32241.597589412006,0.0,-378.6,0.0,0.0,0.0,0.0,879.1939789165096,-57.19156832851895,-32685.0,19254.925800440404,0.0,-1389.54366169276,0.0,0.0,0.0,0.0,-3787.4289781961115,-213.95316055153086,-13864.0
t10,9626.219587115853,0.0,-5012.997715189794,0.0,0.0,0.0,0.0,12905.50935464579,-631.731226571848,-16887.0,34967.01393615668,0.0,-5805.438527957302,0.0,0.0,0.0,0.0,-6011.295320659206,-202.28008754018225,-22948.0,36339.9762737455,0.0,-5677.104053755521,0.0,0.0,0.0,0.0,1176.2649290125164,-518.137149002491,-31321.0,18167.511692231037,0.0,-672.1206414289046,0.0,0.0,0.0,0.0,-454.8623811554718,-8.528669646665096,-17032.0,9557.446922377876,0.0,-51.94063388668246,0.0,0.0,0.0,0.0,-4145.137618844528,-217.3686696466651,-5143.0,32650.6,0.0,-378.6,0.0,0.0,0.0,0.0,0.0,-0.0,-32272.0,19245.944797889562,0.0,-1630.3,0.0,0.0,0.0,0.0,-3470.4789629991,-200.16583489046084,-13945.0
t11,10124.332541502874,0.0,-6566.3,0.0,0.0,0.0,0.0,14129.51326330378,-687.5458048066523,-17000.0,35856.24171719425,0.0,-5805.438527957302,0.0,0.0,0.0,0.0,-6865.770027801433,-231.0331614355182,-22954.0,36482.020442435154,0.0,-5677.104053755521,0.0,0.0,0.0,0.0,1470.669532992054,-631.5859216716769,-31644.0,20878.423547659182,0.0,-804.5,0.0,0.0,0.0,0.0,-2662.0254264739515,-141.8981211852348,-17270.0,9404.001022501321,0.0,-62.80429338180877,0.0,0.0,0.0,0.0,-3924.694755790589,-221.50197332892645,-5195.0,30623.115965591765,0.0,-378.6,0.0,0.0,0.0,0.0,1986.7201822645407,-129.23614785630835,-32102.0,19600.51720499542,0.0,-1038.0574810715107,0.0,0.0,0.0,0.0,-4134.4127684944,-229.04695542950637,-14199.0
t12,10198.170017987306,0.0,-6215.503453687689,0.0,0.0,0.0,0.0,13981.11214972798,-680.7787140275959,-17283.0,35178.26624041849,0.0,-4338.239544293485,0.0,0.0,0.0,0.0,-7730.8825,-260.144196125,-22849.0,36465.883251693456,0.0,-5026.264603067654,0.0,0.0,0.0,0.0,2586.77391666489,-658.3925652906858,-33368.0,19565.429878725812,0.0,-672.1206414289046,0.0,0.0,0.0,0.0,-1248.8925028681351,-23.416734428777534,-17621.0,8847.364231560643,0.0,-0.0,0.0,0.0,0.0,0.0,-3351.107497131865,-232.25673442877755,-5264.0,32643.0,0.0,-314.0,0.0,0.0,0.0,0.0,0.0,-0.0,-32329.0,18998.513221530964,0.0,-0.0,0.0,0.0,0.0,0.0,-4237.00356639287,-233.50965513808984,-14528.0
t13,10400.713567589324,0.0,-2851.8603840820797,0.0,0.0,0.0,0.0,10903.590545361221,-540.4437288684717,-17912.0,34813.713665806674,0.0,-4725.673019526201,0.0,0.0,0.0,0.0,-6651.22686236199,-223.81378391848096,-23213.0,34593.972344029404,0.0,-2581.2040537555217,0.0,0.0,0.0,0.0,4200.237368242064,-465.005658515949,-35748.0,20252.17701350533,0.0,-422.9341358586178,0.0,0.0,0.0,0.0,-1498.1525179354235,-28.09035971128919,-18303.0,8691.777841775865,0.0,-0.0,0.0,0.0,0.0,0.0,-3101.8474820645765,-236.93035971128919,-5353.0,33813.6,0.0,-378.6,0.0,0.0,0.0,0.0,0.0,-0.0,-33435.0,18988.38919697029,0.0,-0.0,0.0,0.0,0.0,0.0,-3852.601051241296,-216.78814572899637,-14919.0
t14,10829.347773089768,0.0,-97.3,0.0,0.0,0.0,0.0,8031.527456090772,-409.57522918054246,-18354.0,33898.39698590225,0.0,-2246.9,0.0,0.0,0.0,0.0,-6730.998873798912,-226.4981121033334,-24694.0,33070.71136749444,0.0,-1665.0,0.0,0.0,0.0,0.0,7343.797508294588,-394.50887578902467,-38355.0,19409.129512731382,77.43432565107105,-0.0,0.0,0.0,0.0,0.0,-1125.4614364490344,-21.102401933419394,-18340.0,8492.44503097156,0.0,-0.0,0.0,0.0,0.0,0.0,-2986.652649534489,-207.79238143707136,-5298.0,35743.05540660134,0.0,-314.0,0.0,0.0,0.0,0.0,-380.5281406734722,-22.527265927869554,-35026.0,19810.48211201038,0.0,-0.0,0.0,0.0,0.0,0.0,-4151.683863929452,-229.79824808093116,-15429.0
t15,10222.410312064183,0.0,-97.3,0.0,0.0,0.0,0.0,8324.057554108309,-423.16786617249124,-18026.0,32094.665007957225,0.0,-2246.9,0.0,0.0,0.0,0.0,-4845.076128128974,-227.688879828247,-24775.0,30952.638630571208,0.0,-1665.0,0.0,0.0,0.0,0.0,11228.282092392354,-750.9207229635653,-39765.0,17954.62954370892,578.5,-0.0,0.0,0.0,0.0,0.0,-441.8449508799226,-8.284592828998548,-18083.0,7661.430049117724,0.0,-0.0,0.0,0.0,0.0,0.0,-2403.9465233583096,-137.4835257594143,-5120.0,38992.14489842015,0.0,-314.0,0.0,0.0,0.0,0.0,-3562.2391786655417,-202.90571975461154,-34913.0,24106.44949511577,0.0,-0.0,0.0,0.0,0.0,0.0,-8299.232865467915,-410.21662964785423,-15397.0
t16,9200.470997785591,0.0,-0.0,0.0,0.0,0.0,0.0,8598.245951850939,-435.71694963653135,-17363.0,29376.053414839913,0.0,-2246.9,0.0,0.0,0.0,0.0,-2604.832782560372,-511.32063227954177,-24013.0,27382.71248371366,0.0,-1665.0,0.0,0.0,0.0,0.0,15462.647400297437,-959.3598840111005,-40221.0,17340.86122104194,615.4032915287714,-0.0,0.0,0.0,0.0,0.0,-309.9475175380596,-65.31699503265452,-17581.0,6629.153691351176,0.0,-0.0,0.0,0.0,0.0,0.0,-1595.292072668932,-137.8616186822437,-4896.0,42733.082708401955,314.0,-0.0,0.0,0.0,0.0,0.0,-8616.138966590175,-461.9437418117849,-33969.0,26697.54068034724,0.0,-0.0,0.0,0.0,0.0,0.0,-10934.682012790838,-524.8586675564014,-15238.0
t17,11928.201533378337,0.0,-0.0,0.0,0.0,0.0,0.0,4828.510460681745,-230.71199406008222,-16526.0,24964.95820403426,0.0,-0.0,0.0,0.0,0.0,0.0,-1692.852232558268,-496.10597147599003,-22776.0,21417.188823691613,0.0,-0.0,0.0,0.0,0.0,0.0,20099.858323830274,-849.0471475218887,-40668.0,15274.705637204883,672.1206414289046,-0.0,0.0,0.0,0.0,0.0,1547.580240318264,-367.4065189520448,-17127.0,6128.385446889981,196.3,-0.0,0.0,0.0,0.0,0.0,-1376.3983937392195,-244.28705315076058,-4704.0,47873.05385045736,378.6,-0.0,0.0,0.0,0.0,0.0,-14868.822483505332,-874.8313669520217,-32508.0,24177.153692540913,0.0,-0.0,0.0,0.0,0.0,0.0,-8537.875915027467,-654.2777775134458,-14985.0
t18,11942.403772112159,0.0,-0.0,0.0,0.0,0.0,0.0,4127.99945283841,-493.40322495056853,-15577.0,16778.893269320786,3485.057423283511,-0.0,0.0,0.0,0.0,0.0,1593.1477861903973,-416.09847879469316,-21441.0,19023.612405168547,2581.2040537555217,-0.0,0.0,0.0,0.0,0.0,20007.44126097119,-880.2577198952616,-40732.0,15984.489521781768,578.5,-0.0,0.0,0.0,0.0,0.0,503.64606909222266,-542.6355908739886,-16524.0,7332.0942291708725,0.0,-0.0,0.0,0.0,0.0,0.0,-2544.7176857792333,-247.3765433916394,-4540.0,47226.571518847835,314.0,-0.0,0.0,0.0,0.0,0.0,-15781.37839016744,-934.1931286803919,-30825.0,23525.667256447505,0.0,-0.0,0.0,0.0,0.0,0.0,-7906.1384931455505,-918.5287633019572,-14701.0
