Time_Index,Hybrid_Wind_Test
248,0.416
249,0.392
250,0.346
251,0.32
252,0.279
253,0.227
254,0.202
255,0.191
256,0.176
257,0.21
258,0.301
259,0.381
260,0.468
261,0.487
262,0.555
263,0.571
264,0.587
265,0.608
266,0.646
267,0.612
268,0.558
269,0.52
270,0.534
271,0.583
272,0.55
273,0.429
274,0.311
275,0.242
276,0.15
277,0.074
278,0.051
279,0.037
280,0.017
281,0.001
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0.002
308,0.042
309,0.055
310,0.046
311,0.045
312,0.055
313,0.069
314,0.087
315,0.116
316,0.143
317,0.14
318,0.109
319,0.072
320,0.059
321,0.035
322,0.025
323,0.028
324,0.032
325,0.036
326,0.054
327,0.114
328,0.205
329,0.264
330,0.344
331,0.457
332,0.487
333,0.514
334,0.579
335,0.613
336,0.585
337,0.426
338,0.349
339,0.321
340,0.281
341,0.252
342,0.172
343,0.11
344,0.086
345,0.024
346,0.001
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0.003
358,0.027
359,0.059
360,0.099
361,0.177
362,0.299
363,0.442
364,0.543
365,0.603
366,0.624
367,0.594
368,0.543
369,0.693
370,0.798
371,0.836
372,0.833
373,0.782
374,0.802
375,0.782
376,0.748
377,0.701
378,0.645
379,0.606
380,0.594
381,0.61
382,0.602
383,0.654
384,0.661
385,0.609
386,0.632
387,0.623
388,0.583
389,0.632
390,0.664
391,0.684
392,0.756
393,0.773
394,0.787
395,0.752
396,0.691
397,0.653
398,0.589
399,0.597
400,0.564
401,0.592
402,0.592
403,0.657
404,0.653
405,0.681
406,0.668
407,0.654
408,0.69
409,0.661
410,0.594
411,0.509
412,0.45
413,0.397
414,0.324
415,0.257
416,0.216
417,0.164
418,0.161
419,0.194
420,0.215
421,0.202
422,0.179
423,0.157
424,0.14
425,0.105
426,0.107
427,0.079
428,0.052
429,0.062
430,0.087
431,0.116
432,0.112
433,0.112
434,0.131
435,0.129
436,0.13
437,0.12
438,0.13
439,0.131
440,0.11
441,0.049
442,0.024
443,0.014
444,0.002
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0.002
473,0.001
474,0.009
475,0.011
476,0.047
477,0.083
478,0.142
479,0.103
480,0.036
481,0.002
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0.001
492,0.016
493,0.054
494,0.138
495,0.254
496,0.315
497,0.343
498,0.394
499,0.465
500,0.473
501,0.453
502,0.427
503,0.406
504,0.352
505,0.04
506,0.033
507,0.014
508,0.001
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0.001
518,0.018
519,0.082
520,0.185
521,0.35
522,0.463
523,0.483
524,0.469
525,0.469
526,0.583
527,0.671
528,0.671
529,0.67
530,0.637
531,0.608
532,0.594
533,0.527
534,0.449
535,0.372
536,0.278
537,0.218
538,0.208
539,0.258
540,0.377
541,0.476
542,0.514
543,0.556
544,0.568
545,0.57
546,0.568
547,0.575
548,0.684
549,0.711
550,0.674
551,0.6
552,0.495
553,0.426
554,0.414
555,0.375
556,0.291
557,0.194
558,0.112
559,0.047
560,0.003
561,0
562,0
563,0
564,0
565,0
566,0.001
567,0.016
568,0.071
569,0.205
570,0.309
571,0.287
572,0.201
573,0.111
574,0.079
575,0.054
576,0.046
577,0.032
578,0.008
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0.001
594,0.023
595,0.172
596,0.167
597,0.143
598,0.106
599,0.062
600,0.02
601,0.001
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0.013
616,0.171
617,0.33
618,0.376
619,0.395
620,0.285
621,0.182
622,0.188
623,0.179
624,0.127
625,0.103
626,0.142
627,0.178
628,0.177
629,0.18
630,0.155
631,0.147
632,0.15
633,0.15
634,0.158
635,0.191
636,0.258
637,0.328
638,0.408
639,0.461
640,0.489
641,0.506
642,0.54
643,0.672
644,0.669
645,0.678
646,0.615
647,0.461
648,0.332
649,0.281
650,0.224
651,0.186
652,0.157
653,0.123
654,0.115
655,0.104
656,0.085
657,0.124
658,0.203
659,0.289
660,0.406
661,0.538
662,0.621
663,0.675
664,0.706
665,0.71
666,0.712
667,0.75
668,0.77
669,0.753
670,0.761
671,0.738
672,0.7
673,0.317
674,0.271
675,0.27
676,0.241
677,0.186
678,0.162
679,0.161
680,0.232
681,0.364
682,0.379
683,0.394
684,0.419
685,0.447
686,0.541
687,0.61
688,0.625
689,0.623
690,0.665
691,0.695
692,0.772
693,0.666
694,0.576
695,0.516
696,0.452
697,0.373
698,0.361
699,0.3
700,0.277
701,0.27
702,0.276
703,0.231
704,0.231
705,0.29
706,0.38
707,0.431
708,0.539
709,0.655
710,0.744
711,0.841
712,0.911
713,0.942
714,0.92
715,0.89
716,0.855
717,0.821
718,0.772
719,0.722
720,0.731
721,0.736
722,0.725
723,0.726
724,0.698
725,0.584
726,0.529
727,0.432
728,0.308
729,0.235
730,0.215
731,0.213
732,0.284
733,0.34
734,0.42
735,0.506
736,0.598
737,0.69
738,0.752
739,0.814
740,0.821
741,0.773
742,0.636
743,0.587
744,0.602
745,0.558
746,0.474
747,0.437
748,0.419
749,0.398
750,0.386
751,0.388
752,0.383
753,0.378
754,0.422
755,0.498
756,0.59
757,0.733
758,0.717
759,0.746
760,0.792
761,0.825
762,0.83
763,0.755
764,0.63
765,0.593
766,0.659
767,0.788
768,0.806
769,0.765
770,0.699
771,0.734
772,0.751
773,0.666
774,0.62
775,0.605
776,0.604
777,0.576
778,0.577
779,0.525
780,0.468
781,0.422
782,0.441
783,0.514
784,0.674
785,0.759
786,0.789
787,0.688
788,0.619
789,0.621
790,0.782
791,0.783
792,0.788
793,0.809
794,0.828
795,0.829
796,0.808
797,0.853
798,0.89
799,0.866
800,0.866
801,0.83
802,0.754
803,0.728
804,0.671
805,0.626
806,0.546
807,0.495
808,0.448
809,0.408
810,0.325
811,0.231
812,0.167
813,0.154
814,0.19
815,0.215
816,0.205
817,0.281
818,0.335
819,0.541
820,0.63
821,0.692
822,0.678
823,0.627
824,0.64
825,0.71
826,0.754
827,0.743
828,0.618
829,0.465
830,0.354
831,0.275
832,0.289
833,0.32
834,0.348
835,0.365
836,0.363
837,0.394
838,0.412
839,0.457
840,0.494
841,0.337
842,0.244
843,0.153
844,0.135
845,0.088
846,0.058
847,0.026
848,0.018
849,0.03
850,0.046
851,0.055
852,0.083
853,0.143
854,0.229
855,0.362
856,0.479
857,0.54
858,0.555
859,0.536
860,0.473
861,0.446
862,0.426
863,0.402
864,0.403
865,0.433
866,0.429
867,0.379
868,0.298
869,0.2
870,0.201
871,0.142
872,0.072
873,0.07
874,0.109
875,0.111
876,0.12
877,0.169
878,0.301
879,0.446
880,0.536
881,0.579
882,0.579
883,0.539
884,0.485
885,0.505
886,0.481
887,0.456
888,0.4
889,0.291
890,0.19
891,0.167
892,0.144
893,0.124
894,0.068
895,0.03
896,0.007
897,0.005
898,0.005
899,0.008
900,0.051
901,0.122
902,0.267
903,0.461
904,0.57
905,0.578
906,0.565
907,0.49
908,0.442
909,0.396
910,0.46
911,0.475
912,0.426
913,0.337
914,0.26
915,0.187
916,0.129
917,0.05
918,0.004
919,0
920,0
921,0.004
922,0.047
923,0.113
924,0.236
925,0.415
926,0.562
927,0.61
928,0.65
929,0.664
930,0.663
931,0.656
932,0.726
933,0.82
934,0.857
935,0.836
936,0.758
937,0.748
938,0.746
939,0.753
940,0.75
941,0.717
942,0.67
943,0.629
944,0.642
945,0.694
946,0.76
947,0.813
948,0.869
949,0.902
950,0.95
951,0.977
952,0.961
953,0.945
954,0.926
955,0.849
956,0.728
957,0.863
958,0.931
959,0.934
960,0.844
961,0.779
962,0.79
963,0.712
964,0.719
965,0.695
966,0.562
967,0.531
968,0.474
969,0.527
970,0.556
971,0.549
972,0.573
973,0.593
974,0.645
975,0.669
976,0.687
977,0.778
978,0.835
979,0.886
980,0.78
981,0.694
982,0.667
983,0.611
984,0.633
985,0.609
986,0.596
987,0.607
988,0.532
989,0.534
990,0.544
991,0.48
992,0.471
993,0.417
994,0.381
995,0.346
996,0.24
997,0.114
998,0.025
999,0.001
1000,0
1001,0
1002,0.015
1003,0.259
1004,0.298
1005,0.227
1006,0.171
1007,0.171
1008,0.16
1009,0.162
1010,0.146
1011,0.143
1012,0.103
1013,0.049
1014,0.04
1015,0.033
1016,0.008
1017,0.008
1018,0.008
1019,0.009
1020,0.028
1021,0.086
1022,0.182
1023,0.323
1024,0.424
1025,0.485
1026,0.48
1027,0.468
1028,0.418
1029,0.4
1030,0.436
1031,0.387
1032,0.347
1033,0.276
1034,0.214
1035,0.181
1036,0.138
1037,0.114
1038,0.101
1039,0.106
1040,0.103
1041,0.064
1042,0.046
1043,0.046
1044,0.07
1045,0.173
1046,0.283
1047,0.362
1048,0.415
1049,0.444
1050,0.447
1051,0.431
1052,0.411
1053,0.42
1054,0.363
1055,0.257
1056,0.217
1057,0.181
1058,0.12
1059,0.096
1060,0.088
1061,0.039
1062,0.008
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0.004
1073,0.074
1074,0.245
1075,0.327
1076,0.251
1077,0.165
1078,0.132
1079,0.143
1080,0.121
1081,0.093
1082,0.054
1083,0.067
1084,0.095
1085,0.072
1086,0.019
1087,0.001
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0.003
1096,0.07
1097,0.24
1098,0.357
1099,0.402
1100,0.301
1101,0.227
1102,0.249
1103,0.299
1104,0.266
1105,0.206
1106,0.1
1107,0.056
1108,0.02
1109,0.001
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0.008
1118,0.083
1119,0.21
1120,0.406
1121,0.49
1122,0.499
1123,0.481
1124,0.504
1125,0.508
1126,0.464
1127,0.426
1128,0.388
1129,0.303
1130,0.193
1131,0.11
1132,0.053
1133,0.015
1134,0.042
1135,0.079
1136,0.074
1137,0.072
1138,0.081
1139,0.09
1140,0.096
1141,0.123
1142,0.159
1143,0.259
1144,0.492
1145,0.552
1146,0.554
1147,0.603
1148,0.682
1149,0.637
1150,0.59
1151,0.566
1152,0.554
1153,0.515
1154,0.374
1155,0.293
1156,0.23
1157,0.147
1158,0.084
1159,0.02
1160,0.007
1161,0.047
1162,0.119
1163,0.344
1164,0.469
1165,0.549
1166,0.586
1167,0.627
1168,0.653
1169,0.67
1170,0.694
1171,0.799
1172,0.863
1173,0.873
