Time_Index,BuyPrice_1,BuyPrice_2,SellPrice_1,SellPrice_2
1,0,102.51,0,101.51
2,0,103.59,0,102.59
3,0,105.97,0,104.97
4,0,101.37,0,100.37
5,0,104.11,0,103.11
6,0,104.59,0,103.59
7,0,90.41,0,89.41
8,0,91.53,0,90.53
9,0,91.65,0,90.65
10,0,64.33,0,63.33
11,0,65.08,0,64.08
12,0,65.66,0,64.66
13,0,60.85,0,59.85
14,0,62.69,0,61.69
15,0,61.64,0,60.64
16,0,90.86,0,89.86
17,0,93.88,0,92.88
18,0,93.42,0,92.42
19,0,109.12,0,108.12
20,0,112.93,0,111.93
21,0,111.92,0,110.92
22,0,108.44,0,107.44
23,0,110.03,0,109.03
24,0,108.15,0,107.15
25,0,103.78,0,102.78
26,0,102.6,0,101.6
27,0,104.59,0,103.59
28,0,105.75,0,104.75
29,0,104.11,0,103.11
30,0,102.36,0,101.36
31,0,89.01,0,88.01
32,0,91.81,0,90.81
33,0,91.16,0,90.16
34,0,62.86,0,61.86
35,0,66.11,0,65.11
36,0,64.13,0,63.13
37,0,59.89,0,58.89
38,0,62.09,0,61.09
39,0,60.67,0,59.67
40,0,89.74,0,88.74
41,0,92.72,0,91.72
42,0,90.7,0,89.7
43,0,111.42,0,110.42
44,0,110.53,0,109.53
45,0,108.92,0,107.92
46,0,109.07,0,108.07
47,0,112.53,0,111.53
48,0,107.76,0,106.76
49,0,104.13,0,103.13
50,0,101.5,0,100.5
51,0,106.81,0,105.81
52,0,104.38,0,103.38
53,0,102.65,0,101.65
54,0,104.36,0,103.36
55,0,89.54,0,88.54
56,0,91.89,0,90.89
57,0,91.6,0,90.6
58,0,62.44,0,61.44
59,0,63.97,0,62.97
60,0,64.25,0,63.25
61,0,60.26,0,59.26
62,0,61.99,0,60.99
63,0,58.62,0,57.62
64,0,92.74,0,91.74
65,0,94.31,0,93.31
66,0,93.18,0,92.18
67,0,109.92,0,108.92
68,0,110.13,0,109.13
69,0,110.12,0,109.12
70,0,107.01,0,106.01
71,0,111.33,0,110.33
72,0,109.16,0,108.16
73,0,105.43,0,104.43
74,0,100.6,0,99.6
75,0,107.75,0,106.75
76,0,102.92,0,101.92
77,0,101.83,0,100.83
78,0,103.36,0,102.36
79,0,89.86,0,88.86
80,0,90.29,0,89.29
81,0,89.33,0,88.33
82,0,62.82,0,61.82
83,0,64.94,0,63.94
84,0,65.77,0,64.77
85,0,60.36,0,59.36
86,0,61.54,0,60.54
87,0,60.57,0,59.57
88,0,91.62,0,90.62
89,0,91.26,0,90.26
90,0,89.19,0,88.19
91,0,110.32,0,109.32
92,0,113.54,0,112.54
93,0,113.01,0,112.01
94,0,107.78,0,106.78
95,0,111.13,0,110.13
96,0,107.11,0,106.11
97,0,103.51,0,102.51
98,0,101.68,0,100.68
99,0,104.91,0,103.91
100,0,102.92,0,101.92
101,0,103.2,0,102.2
102,0,104.03,0,103.03
103,0,89.49,0,88.49
104,0,92.53,0,91.53
105,0,92.0,0,91.0
106,0,64.96,0,63.96
107,0,66.21,0,65.21
108,0,64.36,0,63.36
109,0,59.94,0,58.94
110,0,60.94,0,59.94
111,0,60.1,0,59.1
112,0,90.98,0,89.98
113,0,91.9,0,90.9
114,0,91.3,0,90.3
115,0,112.52,0,111.52
116,0,113.75,0,112.75
117,0,109.32,0,108.32
118,0,109.5,0,108.5
119,0,109.33,0,108.33
120,0,108.82,0,107.82
121,0,105.73,0,104.73
