Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
AnnualSum,2.4523299288909133e6,2.0416173818672064e6,267088.87837400736,1.2631668172824796e7,974920.5495114777,578093.1566931444,3.737793181479765e6,1.3000221425665722e6,5.937499767174091e6,3.003459427779755e6,505966.78827666055,4.758475793072721e6,3.1360534412195385e6,639516.5048192695,183952.40841442038,4.214845752296434e7
t1,417.68,0.0,62.823105772449125,1795.8192434999999,175.3672374,0.0,511.2673412512425,0.0,1031.124052,658.304,36.15518215788893,930.7273338,455.46965100000006,128.0009859,0.0,6202.738132781581
t2,417.68,0.0,62.823105772449125,1795.8192434999999,175.3672374,0.0,443.82522721627123,0.0,1031.124052,658.304,58.88452636237536,930.7273338,455.46965100000006,128.0009859,0.0,6158.025362951096
t3,417.68,99.25360940058509,62.823105772449125,1795.8192434999999,175.3672374,0.0,463.2985178538395,0.0,1031.124052,658.304,62.80389492229615,930.7273338,455.46965100000006,128.0009859,0.0,6280.671631549171
t4,417.68,0.0,62.823105772449125,1795.8192434999999,175.3672374,0.0,485.4159036564106,0.0,1031.124052,658.304,57.6936350465013,930.7273338,455.46965100000006,128.0009859,0.0,6198.425148075362
t5,417.68,0.0,62.823105772449125,1795.8192434999999,175.3672374,34.888721187131026,556.5091241714741,31.27123288405459,1031.124052,658.304,59.945511980101884,930.7273338,455.46965100000006,128.0009859,0.0,6337.930199595211
t6,417.68,143.93779886398534,62.823105772449125,1795.8192434999999,175.3672374,19.267535252997238,536.8471417056127,130.53043725851913,1031.124052,658.304,67.86406648904116,930.7273338,455.46965100000006,128.0009859,68.85,6622.612588942605
t7,417.68,520.28839225,62.823105772449125,1795.8192434999999,175.3672374,232.32461714999997,566.6273884001876,307.2,1031.124052,658.304,76.61971047896623,930.7273338,455.46965100000006,128.0009859,68.85,7427.225717651604
t8,417.68,0.0,0.0,1155.5194160981157,175.3672374,0.0,0.0,307.2,1026.463400357909,658.304,1.4305281391990887,915.5573443825051,455.46965100000006,128.0009859,0.0,5240.9925632777295
t9,417.68,95.52106908202876,0.0,1054.776138610085,175.3672374,0.0,39.36044800601461,307.2,0.0,658.304,39.16114031783261,156.19254562258482,455.46965100000006,128.0009859,0.0,3527.0332159385457
