Resource,Min_Cap_1,Min_Cap_2,Min_Cap_3,Min_Cap_Solar_1,Min_Cap_Solar_2,Min_Cap_Solar_3,Min_Cap_Wind_1,Min_Cap_Wind_2,Min_Cap_Wind_3,Min_Cap_Stor_1,Min_Cap_Stor_2,Min_Cap_Stor_3
BTM_Solar,0,1,0,0,0,0,0,0,0,0,0,0
CAM_CAM_RA_i,0,0,0,0,0,0,0,0,0,0,0,0
CAM_CAM_RA_ii,0,0,0,0,0,0,0,0,0,0,0,0
CAM_CAM_RA_iii,0,0,0,0,0,0,0,0,0,0,0,0
CAM_DR_RA,0,0,0,0,0,0,0,0,0,0,0,0
CAM_CPE_RA_i,0,0,0,0,0,0,0,0,0,0,0,0
CAM_CPE_RA_ii,0,0,0,0,0,0,0,0,0,0,0,0
Aramis,0,0,0,0,0,0,0,0,0,0,0,0
CALP01RA2027,0,0,0,0,0,0,0,0,0,0,0,0
CHEV01RA2024,0,0,0,0,0,0,0,0,0,0,0,0
CHEV01RA2025,0,0,0,0,0,0,0,0,0,0,0,0
DaggettSolarPower3,0,0,0,0,1,0,0,0,0,1,0,0
EBMUD01RA2024,0,0,0,0,0,0,0,0,0,0,0,0
EdwardsSolarII,0,1,0,0,0,0,0,0,0,0,0,0
FervoFECNevada1,0,0,0,0,0,0,0,0,0,0,0,0
GEN01RA2026,0,0,0,0,0,0,0,0,0,0,0,0
HDP01RA2027,0,0,0,0,0,0,0,0,0,0,0,0
HDP01RA2028,0,0,0,0,0,0,0,0,0,0,0,0
HDP01RA2030,0,0,0,0,0,0,0,0,0,0,0,0
HenriettaStorage,1,0,0,0,0,0,0,0,0,0,0,0
MRL01RA2030,0,0,0,0,0,0,0,0,0,0,0,0
NEXT01RA2026,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,0,0,0,0,0,0,0,0,0,0,0,0
OhmConnect,0,0,0,0,0,0,0,0,0,0,0,0
RosamondCentral,0,1,0,0,0,0,0,0,0,0,0,0
Sanborn,1,0,0,0,0,0,0,0,0,0,0,0
Scarlet,0,0,0,0,1,0,0,0,0,1,0,0
SDGE01RA2024,0,0,0,0,0,0,0,0,0,0,0,0
SENA01RA2027,0,0,0,0,0,0,0,0,0,0,0,0
SummitWind,0,0,1,0,0,0,0,0,0,0,0,0
SUN01RA2031,0,0,0,0,0,0,0,0,0,0,0,0
Tecolote,0,0,1,0,0,0,0,0,0,0,0,0
TPS01RA2024,0,0,0,0,0,0,0,0,0,0,0,0
TulareSolarCenter,0,1,0,0,0,0,0,0,0,0,0,0
Tumbleweed,1,0,0,0,0,0,0,0,0,0,0,0
Generic_6hr_battery,1,0,0,0,0,0,0,0,0,0,0,0
Generic_8hr_battery,1,0,0,0,0,0,0,0,0,0,0,0
Generic_RA_Only,0,0,0,0,0,0,0,0,0,0,0,0
Arizona_Li_Battery,1,0,0,0,0,0,0,0,0,0,0,0
Arizona_Solar,0,1,0,0,0,0,0,0,0,0,0,0
CAISO_Advanced_CCGT_candidate,0,0,0,0,0,0,0,0,0,0,0,0
CAISO_Aero_CT_candidate,0,0,0,0,0,0,0,0,0,0,0,0
CAISO_New_Flow_Battery,1,0,0,0,0,0,0,0,0,0,0,0
CAISO_Reciprocating_Engine_candidate,0,0,0,0,0,0,0,0,0,0,0,0
CAISO_Shed_DR_Tranche1,0,0,0,0,0,0,0,0,0,0,0,0
Greater_Imperial_Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt_Bay_Offshore_Wind,0,0,1,0,0,0,0,0,0,0,0,0
InState_Biomass,0,0,0,0,0,0,0,0,0,0,0,0
Morro_Bay_Offshore_Wind,0,0,1,0,0,0,0,0,0,0,0,0
New_Mexico_Wind,0,0,1,0,0,0,0,0,0,0,0,0
Northern_California_Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Northern_California_Li_Battery,1,0,0,0,0,0,0,0,0,0,0,0
Northern_California_Solar,0,1,0,0,0,0,0,0,0,0,0,0
Northern_California_Wind,0,0,1,0,0,0,0,0,0,0,0,0
NW_Ext_Tx_Wind,0,0,1,0,0,0,0,0,0,0,0,0
Riverside_Li_Battery,1,0,0,0,0,0,0,0,0,0,0,0
Riverside_Palm_Springs_Wind,0,0,1,0,0,0,0,0,0,0,0,0
Riverside_Solar,0,1,0,0,0,0,0,0,0,0,0,0
Riverside_West_Pumped_Storage,1,0,0,0,0,0,0,0,0,0,0,0
Southern_Nevada_Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Tehachapi_Pumped_Storage,1,0,0,0,0,0,0,0,0,0,0,0
Wyoming_Wind,0,0,1,0,0,0,0,0,0,0,0,0
Hybrid_Solar_Test,0,0,0,0,1,0,0,0,0,1,0,0
Hybrid_Wind_Test,0,0,0,0,0,0,0,0,1,1,0,0
