Fuel,AnnualSum
No_fuel,0.0
AZ_coal,0.0
AZ_naturalgas,1.6532239457427382e8
AZ_uranium,3.167017099644981e8
CA_N_naturalgas,5.2780541549992785e7
CA_N_uranium,-5.294659300328299e-9
CA_S_naturalgas,5.33714954058034e7
MT_WY_CO_coal,4.391672323389734e8
MT_WY_CO_naturalgas,504249.1489260921
NM_coal,2.062414437731219e7
NM_naturalgas,251492.55747652953
PNW_coal,0.0
PNW_naturalgas,3.110700228945147e8
PNW_uranium,1.0315409327999981e8
UT_NV_coal,2.740268365729477e8
UT_NV_naturalgas,2.5932244676243117e8
CA_S_uranium,8.523617608970598e8
MT_WY_CO_uranium,6.240048845940444e-9
NM_uranium,7.1156252030485984e-9
UT_NV_uranium,2.303422788507703e-8
None,0.0
