Fuel,AnnualSum
No_fuel,0.0
AZ_coal,4.468555072162977e7
AZ_naturalgas,1.5673505372595068e7
AZ_uranium,1.0764516342885911e9
CA_N_naturalgas,210699.41775012715
CA_N_uranium,1.0121452364561418e9
CA_S_naturalgas,24475.344514296972
MT_WY_CO_coal,5.629418466534269e8
MT_WY_CO_naturalgas,977469.2276256469
NM_coal,2.554672243199976e7
NM_naturalgas,1.1380785687306255e7
PNW_coal,0.0
PNW_naturalgas,3.588668781479961e8
PNW_uranium,1.0546566959999974e8
UT_NV_coal,2.975825076431286e8
UT_NV_naturalgas,3.620742186088588e8
CA_S_uranium,1.6716396059543643e9
MT_WY_CO_uranium,1.1055382004798855e-8
NM_uranium,-6.506070476875258e-9
UT_NV_uranium,3.0267348627432966e-8
None,0.0
