BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
t9,19817.46579528626,0.0,-4974.698615215365,0.0,0.0,0.0,0.0,4128.334890956731,-210.10207102762695,-18761.0,22540.391232206523,0.0,-3820.8768875199803,0.0,0.0,0.0,0.0,4687.156314735499,-229.67065942203948,-23177.0,37153.445618076126,0.0,-5596.553870041363,0.0,0.0,0.0,0.0,-493.92797621590967,-136.96377181885268,-30926.0,22319.79990249219,0.0,-1879.60030055064,0.0,0.0,0.0,0.0,-3307.4204732562343,-157.77912868531806,-16975.0,8019.60616548567,0.0,-1030.2130725356697,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5098.0,37601.00938538662,0.0,-0.0,0.0,0.0,0.0,0.0,-4686.281841479265,-229.72754390735753,-32685.0,17479.342763205914,0.0,-4772.261810523866,0.0,0.0,0.0,0.0,1479.3175852591785,-322.39853794122575,-13864.0
t10,21224.235206570687,0.0,-7214.665206570691,0.0,0.0,0.0,0.0,4950.0,-247.57,-18712.0,25562.812507347175,0.0,-4214.294087269999,0.0,0.0,0.0,0.0,1681.8944058073816,-82.4128258845617,-22948.0,38474.0790627394,0.0,-4434.519062739403,0.0,0.0,0.0,0.0,-2600.0,-118.56,-31321.0,20835.07893355496,0.0,-338.81068935495705,0.0,0.0,0.0,0.0,-3306.5460000000003,-157.7222442,-17032.0,7930.5307044733445,0.0,-896.137611523344,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5143.0,34036.30723169195,0.0,-0.0,0.0,0.0,0.0,0.0,-1681.8944058073816,-82.4128258845617,-32272.0,17319.928785744018,0.0,-5872.126448594017,0.0,0.0,0.0,0.0,2763.7245000000003,-266.52683715,-13945.0
t11,20444.938328254364,0.0,-6310.368328254371,0.0,0.0,0.0,0.0,4950.0,-247.57,-18837.0,24609.877056838443,0.0,-3643.194087269999,0.0,0.0,0.0,0.0,2089.7129657534756,-102.3959353219203,-22954.0,38366.956301075705,0.0,-6123.503639996978,0.0,0.0,0.0,0.0,-347.547471384702,-251.90518969402564,-31644.0,20885.151891681595,0.0,-150.883647481597,0.0,0.0,0.0,0.0,-3306.5460000000003,-157.7222442,-17270.0,7829.049823812893,0.0,-742.6567308628928,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5195.0,36679.90661938471,0.0,-0.0,0.0,0.0,0.0,0.0,-4342.165494368774,-235.74112501594595,-32102.0,17552.269871572553,0.0,-5850.467534422554,0.0,0.0,0.0,0.0,2763.7245000000003,-266.52683715,-14199.0
t12,20303.706502801506,0.0,-3374.696502801509,0.0,0.0,0.0,0.0,2350.0,-129.01,-19150.0,25458.38651251495,0.0,-3862.743040975801,0.0,0.0,0.0,0.0,1317.9353611575714,-64.578832696721,-22849.0,38244.75639116378,0.0,-6831.722609143851,0.0,0.0,0.0,0.0,2043.8747704966818,-88.90855251660565,-33368.0,20666.319951450496,0.0,-0.0,0.0,0.0,0.0,0.0,-2902.597632814158,-142.72231863633274,-17621.0,7417.132434826306,0.0,-196.3,0.0,0.0,0.0,0.0,-1871.4134368110974,-85.41899801520808,-5264.0,33711.514193854295,0.0,-0.0,0.0,0.0,0.0,0.0,-1317.9353611575714,-64.578832696721,-32329.0,17202.56562850785,0.0,-2715.4708685986943,0.0,0.0,0.0,0.0,380.136299128573,-339.23105903773035,-14528.0
t13,20784.16283576929,0.0,-3157.1528357692923,0.0,0.0,0.0,0.0,2350.0,-129.01,-19848.0,23674.283447027126,0.0,-2818.0,0.0,0.0,0.0,0.0,2478.145691874736,-121.42913890186206,-23213.0,36575.416949826176,0.0,-3329.532682476909,0.0,0.0,0.0,0.0,2659.5617906576763,-157.44605800693444,-35748.0,19820.232695168208,0.0,-0.0,0.0,0.0,0.0,0.0,-1437.7582792615603,-79.47441590664673,-18303.0,7448.683124231847,0.0,-37.283316110960904,0.0,0.0,0.0,0.0,-1971.1114719468817,-87.28833617400403,-5353.0,38851.58267944121,0.0,-0.0,0.0,0.0,0.0,0.0,-5137.7074825324125,-278.8751969087965,-33435.0,17108.516845496157,0.0,-3063.18133107196,0.0,0.0,0.0,0.0,1058.8697512084423,-185.2052656326427,-14919.0
t14,19981.88496615342,0.0,-1864.8749661534262,0.0,0.0,0.0,0.0,2350.0,-129.01,-20338.0,22762.348033454684,0.0,-3071.2490074546845,0.0,0.0,0.0,0.0,5260.674,-257.773026,-24694.0,34952.87223342454,0.0,-1665.0,0.0,0.0,0.0,0.0,5343.203101490291,-276.0753349148277,-38355.0,18809.708422910888,0.0,-0.0,0.0,0.0,0.0,0.0,-434.21923823415574,-35.489184676728975,-18340.0,7415.939283987664,0.0,-0.0,0.0,0.0,0.0,0.0,-2029.5551292394243,-88.38415474823921,-5298.0,43489.02302600001,0.0,-0.0,0.0,0.0,0.0,0.0,-8040.674,-422.349026,-35026.0,18130.05228476003,0.0,-0.0,0.0,0.0,0.0,0.0,-2449.428734016712,-251.62355074331748,-15429.0
t15,19097.698253782863,0.0,-220.48825378286529,0.0,0.0,0.0,0.0,1150.0,-52.21,-19975.0,22289.371122685585,0.0,-2246.9,0.0,0.0,0.0,0.0,4999.103742479964,-266.5748651655492,-24775.0,32869.24108002514,0.0,-1665.0,0.0,0.0,0.0,0.0,8993.025042277342,-432.266122302492,-39765.0,17429.688068763735,0.0,-0.0,0.0,0.0,0.0,0.0,675.6883176307995,-22.37638639453213,-18083.0,6796.976955018666,0.0,-0.0,0.0,0.0,0.0,0.0,-1616.0289129017574,-60.948042116907956,-5120.0,43988.93046746673,0.0,-0.0,0.0,0.0,0.0,0.0,-8614.846378916303,-461.0840885504171,-34913.0,21267.92681197978,0.0,-0.0,0.0,0.0,0.0,0.0,-5586.941810570046,-283.98500140973573,-15397.0
t16,18274.474045119354,0.0,-0.0,0.0,0.0,0.0,0.0,1023.504164958533,-57.97821007789089,-19240.0,20193.277728946243,0.0,-1183.1787029462469,0.0,0.0,0.0,0.0,5260.674,-257.773026,-24013.0,29278.193996785034,0.0,-1664.9999999986132,0.0,0.0,0.0,0.0,13227.096335041468,-619.2903318278909,-40221.0,16407.965406539053,578.5,-0.0,0.0,0.0,0.0,0.0,679.6373976732298,-85.10280421227958,-17581.0,5733.226622093906,364.98337790609344,-0.0,0.0,0.0,0.0,0.0,-1150.0,-52.21,-4896.0,45879.91207122228,0.0,-0.0,0.0,0.0,0.0,0.0,-11270.172862140069,-640.7392090822113,-33969.0,23179.068198832552,446.5041967306797,-0.0,0.0,0.0,0.0,0.0,-7770.739035533163,-616.8333600300681,-15238.0
t17,17520.375156390877,1289.1948436091204,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-18312.0,18234.02771419195,0.0,-0.0,0.0,0.0,0.0,0.0,4848.527245787309,-306.5549599792571,-22776.0,23281.249721916563,1665.0,-0.0,0.0,0.0,0.0,0.0,16480.06125421269,-758.310976129257,-40668.0,13925.444378416025,1203.7372475530253,-0.0,0.0,0.0,0.0,0.0,2535.570282401151,-537.7519083701949,-17127.0,4900.559744046344,1005.6502559536563,-0.0,0.0,0.0,0.0,0.0,-1150.0,-52.21,-4704.0,49530.935781146356,0.0,-0.0,0.0,0.0,0.0,0.0,-16069.969782401153,-952.9659987451948,-32508.0,20503.485744858477,1732.3120092665215,-0.0,0.0,0.0,0.0,0.0,-6394.189,-856.6087541249999,-14985.0
t18,15632.894167411088,2125.6758325889077,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-17261.0,15884.912756593596,1092.230706087922,-0.0,0.0,0.0,0.0,0.0,4772.954519536092,-309.09798221761054,-21441.0,20626.69750209549,4310.522515808209,-0.0,0.0,0.0,0.0,0.0,16555.633980463906,-760.8539983676105,-40732.0,16882.259796232283,604.8185224677163,-0.0,0.0,0.0,0.0,0.0,-919.231,-43.8473187,-16524.0,5476.264823810444,955.1282691395568,-0.0,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-4540.0,41625.78983457501,0.0,-0.0,0.0,0.0,0.0,0.0,-10227.853500000001,-572.9363345749999,-30825.0,20016.5539983379,3583.509923237094,-0.0,0.0,0.0,0.0,0.0,-8124.325500000001,-774.7384215749998,-14701.0
