Resource,ELCC
BTM_Solar,0.05
CAM_CAM_RA_i,0.86
CAM_CAM_RA_ii,0.92
CAM_CAM_RA_iii,0.82
CAM_DR_RA,0.8
CAM_CPE_RA_i,0.82
CAM_CPE_RA_ii,0.85
Aramis,0.86
CALP01RA2027,0.82
CHEV01RA2024,0.82
CHEV01RA2025,0.92
DaggettSolarPower3,0.33
EBMUD01RA2024,0.52
EdwardsSolarII,0.1
FervoFECNevada1,0.88
GEN01RA2026,0.85
HDP01RA2027,0.85
HDP01RA2028,0.85
HDP01RA2030,0.85
HenriettaStorage,0.86
MRL01RA2030,0.82
NEXT01RA2026,0.82
Oberon,0.99
OhmConnect,0.8
RosamondCentral,0.1
Sanborn,0.86
Scarlet,0.37
SDGE01RA2024,0.85
SENA01RA2027,0.82
SummitWind,0.27
SUN01RA2031,0.8
Tecolote,0.0
TPS01RA2024,0.52
TulareSolarCenter,0.1
Tumbleweed,0.86
Generic_6hr_battery,0.88
Generic_8hr_battery,0.89
Generic_RA_Only,0.85
Arizona_Li_Battery,0.86
Arizona_Solar,0.1
CAISO_Advanced_CCGT_candidate,0.85
CAISO_Aero_CT_candidate,0.82
CAISO_New_Flow_Battery,0.86
CAISO_Reciprocating_Engine_candidate,0.9
CAISO_Shed_DR_Tranche1,0.8
Greater_Imperial_Geothermal,0.88
Humboldt_Bay_Offshore_Wind,0.51
InState_Biomass,0.79
Morro_Bay_Offshore_Wind,0.51
New_Mexico_Wind,0.35
Northern_California_Geothermal,0.88
Northern_California_Li_Battery,0.86
Northern_California_Solar,0.1
Northern_California_Wind,0.27
NW_Ext_Tx_Wind,0.24
Riverside_Li_Battery,0.86
Riverside_Palm_Springs_Wind,0.14
Riverside_Solar,0.1
Riverside_West_Pumped_Storage,0.89
Southern_Nevada_Geothermal,0.88
Tehachapi_Pumped_Storage,0.89
Wyoming_Wind,0.39
Hybrid_Solar_Test,0.37
Hybrid_Wind_Test,0.42
