Resource,ESR_2,ESR_1
NM_landbasedwind_class3_moderate_9,1,1
NM_utilitypv_class1_moderate_1,1,1
NM_utilitypv_class1_moderate_2,1,1
NM_utilitypv_class1_moderate_3,1,1
NM_utilitypv_class1_moderate_4,1,1
NM_utilitypv_class1_moderate_5,1,1
PNW_nuclear_nuclear__large_moderate_0,1,0
PNW_landbasedwind_class3_moderate_0,1,1
PNW_landbasedwind_class3_moderate_1,1,1
PNW_landbasedwind_class3_moderate_2,1,1
PNW_landbasedwind_class3_moderate_3,1,1
PNW_landbasedwind_class3_moderate_4,1,1
PNW_landbasedwind_class3_moderate_5,1,1
PNW_landbasedwind_class3_moderate_6,1,1
PNW_landbasedwind_class3_moderate_7,1,1
PNW_landbasedwind_class3_moderate_8,1,1
PNW_landbasedwind_class3_moderate_9,1,1
PNW_utilitypv_class1_moderate_1,1,1
PNW_utilitypv_class1_moderate_2,1,1
PNW_utilitypv_class1_moderate_3,1,1
PNW_utilitypv_class1_moderate_4,1,1
PNW_utilitypv_class1_moderate_5,1,1
UT_NV_nuclear_nuclear__large_moderate_0,1,0
UT_NV_landbasedwind_class3_moderate_0,1,1
UT_NV_landbasedwind_class3_moderate_1,1,1
UT_NV_landbasedwind_class3_moderate_2,1,1
UT_NV_landbasedwind_class3_moderate_3,1,1
UT_NV_landbasedwind_class3_moderate_4,1,1
UT_NV_landbasedwind_class3_moderate_5,1,1
UT_NV_landbasedwind_class3_moderate_6,1,1
UT_NV_landbasedwind_class3_moderate_7,1,1
UT_NV_landbasedwind_class3_moderate_8,1,1
UT_NV_landbasedwind_class3_moderate_9,1,1
UT_NV_utilitypv_class1_moderate_1,1,1
UT_NV_utilitypv_class1_moderate_2,1,1
UT_NV_utilitypv_class1_moderate_3,1,1
UT_NV_utilitypv_class1_moderate_4,1,1
UT_NV_utilitypv_class1_moderate_5,1,1
AZ_Deep_5_5_257_c171,1,0
AZ_Deep_6_5_283_c176,1,0
AZ_Deep_3_5_200_c161,1,0
AZ_Deep_6_5_273_c177,1,0
AZ_Deep_5_5_238_c172,1,0
AZ_Deep_6_5_263_c178,1,0
CA_S_nuclear_1,1,0
NM_nuclear_1,1,0
