Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,LINK_STAGES
AZ_landbasedwind_class3_advanced_7,1,1,0,0.0,7,0.0,0.0,0.0,AZ,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,137721.0,2254.5,1.035,4360.5,60.824,36800.061,773221.759,0.041,100921.0,0.2762484156015157,1
AZ_landbasedwind_class3_advanced_8,1,1,0,0.0,8,0.0,0.0,0.0,AZ,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,119477.0,10629.3,1.035,13881.5,75.465,18556.686,389900.586,0.333,100921.0,0.1912287595545343,1
AZ_landbasedwind_class3_advanced_9,1,1,0,0.0,9,0.0,0.0,0.0,AZ,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,140560.0,901.8,1.035,2626.5,68.89,39639.118,832874.159,0.158,100921.0,0.2486440344871552,1
AZ_utilitypv_class1_advanced_1,1,1,0,0.0,1,0.0,0.0,0.0,AZ,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,60893.0,83142.5,1.025,12768.081,25.07,5018.901,105453.492,1.739,55875.0,0.2678431872908299,1
AZ_utilitypv_class1_advanced_2,1,1,0,0.0,2,0.0,0.0,0.0,AZ,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,66733.0,82946.0,1.025,11198.072,27.007,10858.8,228157.206,0.883,55875.0,0.2835735809523626,1
AZ_utilitypv_class1_advanced_3,1,1,0,0.0,3,0.0,0.0,0.0,AZ,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,73087.0,83046.2,1.025,13095.366,29.108,17212.268,361651.658,0.647,55875.0,0.2975631380962413,1
AZ_utilitypv_class1_advanced_4,1,1,0,0.0,4,0.0,0.0,0.0,AZ,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,80459.0,83097.2,1.025,14182.269,31.72,24584.542,516552.605,0.526,55875.0,0.289019883058189,1
AZ_utilitypv_class1_advanced_5,1,1,0,0.0,5,0.0,0.0,0.0,AZ,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,91732.0,82942.6,1.025,13779.25,35.987,35857.128,753408.082,0.418,55875.0,0.2730944309065088,1
CA_N_landbasedwind_class3_advanced_0,2,1,0,0.0,0,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,142438.0,4549.7,1.17,7274.0,62.39,28353.528,595751.505,0.449,114085.0,0.3326292881170647,1
CA_N_landbasedwind_class3_advanced_1,2,1,0,0.0,1,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,142227.0,2149.1,1.17,2686.75,54.288,28142.241,591310.95,0.263,114085.0,0.4295447437712709,1
CA_N_landbasedwind_class3_advanced_2,2,1,0,0.0,2,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,137337.0,4793.8,1.17,5547.25,71.546,23252.807,488575.545,0.624,114085.0,0.3275847123682417,1
CA_N_landbasedwind_class3_advanced_3,2,1,0,0.0,3,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,158627.0,1926.9,1.17,3667.5,73.555,44542.919,935912.688,0.209,114085.0,0.2450814652142308,1
CA_N_landbasedwind_class3_advanced_4,2,1,0,0.0,4,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,138456.0,4422.5,1.17,4852.0,80.574,24371.317,512075.91,0.6,114085.0,0.3003647509810836,1
CA_N_landbasedwind_class3_advanced_5,2,1,0,0.0,5,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,154345.0,2223.2,1.17,3842.75,80.183,40260.31,845932.123,0.244,114085.0,0.2284904181507179,1
CA_N_landbasedwind_class3_advanced_6,2,1,0,0.0,6,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,137700.0,5287.7,1.17,4964.5,87.495,23615.798,496201.226,0.546,114085.0,0.2787812992238673,1
CA_N_landbasedwind_class3_advanced_7,2,1,0,0.0,7,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,155338.0,1398.9,1.17,3082.75,87.084,41253.786,866804.559,0.262,114085.0,0.2067123863033228,1
CA_N_landbasedwind_class3_advanced_8,2,1,0,0.0,8,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,143267.0,4977.0,1.17,4710.5,95.29,29182.868,613176.056,0.435,114085.0,0.2601724129810254,1
CA_N_landbasedwind_class3_advanced_9,2,1,0,0.0,9,0.0,0.0,0.0,CA_N,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,154717.0,1708.1,1.17,3120.25,96.333,40632.608,853755.135,0.298,114085.0,0.1950326489832095,1
CA_N_utilitypv_class1_advanced_1,2,1,0,0.0,1,0.0,0.0,0.0,CA_N,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,70474.0,103543.0,1.105,16235.619,29.486,10238.562,215125.217,3.447,60236.0,0.3045167364005346,1
CA_N_utilitypv_class1_advanced_2,2,1,0,0.0,2,0.0,0.0,0.0,CA_N,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,83618.0,103500.8,1.105,14874.171,34.023,23382.289,491296.703,2.299,60236.0,0.2982417595419557,1
CA_N_utilitypv_class1_advanced_3,2,1,0,0.0,3,0.0,0.0,0.0,CA_N,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,91643.0,103441.0,1.105,16350.011,36.454,31407.271,659918.459,1.995,60236.0,0.2911233666304869,1
CA_N_utilitypv_class1_advanced_4,2,1,0,0.0,4,0.0,0.0,0.0,CA_N,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,97480.0,103531.6,1.105,15655.938,38.344,37244.297,782564.416,1.373,60236.0,0.2857688932970774,1
CA_N_utilitypv_class1_advanced_5,2,1,0,0.0,5,0.0,0.0,0.0,CA_N,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,104754.0,103444.5,1.105,22503.948,41.784,44518.17,935396.674,1.053,60236.0,0.2757615657320565,1
CA_S_landbasedwind_class3_advanced_0,3,1,0,0.0,0,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,128033.0,684.4,1.165,1227.5,49.694,14436.047,303319.706,0.731,113597.0,0.3992278951946574,1
CA_S_landbasedwind_class3_advanced_1,3,1,0,0.0,1,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,127393.0,124.5,1.165,222.0,35.325,13796.93,289891.043,0.791,113597.0,0.5678998196063654,1
CA_S_landbasedwind_class3_advanced_2,3,1,0,0.0,2,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,128862.0,470.2,1.165,606.5,61.695,15265.988,320757.824,0.644,113597.0,0.314313255834745,1
CA_S_landbasedwind_class3_advanced_3,3,1,0,0.0,3,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,132767.0,318.5,1.165,370.5,58.278,19170.186,402789.996,0.711,113597.0,0.3518986034784144,1
CA_S_landbasedwind_class3_advanced_4,3,1,0,0.0,4,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,129413.0,347.8,1.165,593.0,71.783,15816.22,332318.887,1.233,113597.0,0.2766916545996744,1
CA_S_landbasedwind_class3_advanced_5,3,1,0,0.0,5,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,141219.0,421.3,1.165,504.25,68.442,27622.65,580393.748,0.657,113597.0,0.3139781553024028,1
CA_S_landbasedwind_class3_advanced_6,3,1,0,0.0,6,0.0,0.0,0.0,CA_S,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,133853.0,687.3,1.165,1051.25,81.719,20256.932,425627.366,1.112,113597.0,0.2548902630496445,1
