Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t568,21040.7,1421.1722343157,1743.4,31545.470248685902,11163.7,24318.278726985,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,13678.426776891598,3664.8162150220755,589.6251026898298,452.2944066485083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,165723.23760524348
t569,21040.7,1508.2,1743.4,33555.1587041438,11163.7,25807.5,788.4350774693696,8320.017337508247,572.1827557135073,258.2,4867.0,3741.2,0.0,13678.426776891598,3664.8162150220755,479.65366286369897,329.6488658056725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,168103.09328942283
t570,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,543.3036602062655,7673.234675016493,359.2655114270146,258.2,4867.0,3741.2,0.0,13678.426776891598,3664.8162150220755,319.7691085757993,207.00332496283664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,167987.57316610691
t571,20650.95021141918,1399.4152928946455,1743.4,34827.0,11163.7,23945.9734087316,298.17224294316134,7026.45201252474,146.3482671405219,188.1314621451481,4515.937327532566,3741.2,0.0,13335.563964402287,2671.0533911314046,159.88455428789965,84.3577841200008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,1698.9761933277741,21851.596785914233,485.4306932972315,154605.74359181238
t572,20650.95021141918,1399.4152928946455,1743.4,32314.889430678097,11163.7,22084.4468174632,53.040825680057196,6379.669350032987,0.0,188.1314621451481,4164.874655065132,1972.891373610448,0.0,11261.714028906285,2671.0533911314046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.22646891383033,2758.7,328.7,1695.3570740928617,17534.625880858875,449.51063160645015,139319.29689449858
t573,20650.95021141918,1290.630585789291,1238.8898442385732,31728.634015479103,7805.724979182107,20222.920226194798,0.0,5732.886687541233,0.0,188.1314621451481,4164.874655065132,1972.891373610448,0.0,7552.629801307798,1677.2905672407337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9736539603541,2758.7,148.24211945854205,1691.7379548579488,16328.140804613005,413.55417178246086,126070.80311388585
t574,13634.334555335015,1181.8458786839365,1238.8898442385732,29216.5234461572,7805.724979182107,18361.393634926397,0.0,5732.886687541233,122.41574420480194,188.1314621451481,3813.8119825976983,1051.8434998707048,0.0,6183.873377405086,1677.2905672407337,0.0,104.24870977763105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.720839006878,2758.7,296.3464892469335,2793.5,15402.408700287962,377.5613138252636,112445.45171167333
t575,7528.8354568806635,1073.061171578582,1238.8898442385732,26704.412876835297,6715.950041635789,16499.867043657996,0.0,5732.886687541233,242.16102675059997,188.1314621451481,3813.8119825976983,1051.8434998707048,0.0,5623.668700714361,1306.3836091720436,0.0,105.6865463603797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.1888630602798,2758.7,328.7,2793.5,13995.977526453104,341.5320577348584,99051.18839722732
t576,7528.8354568806635,964.2764644732274,619.4449221192866,24192.302307513393,3357.9750208178943,14638.340452389597,0.0,5570.176592207681,242.16102675059997,188.1314621451481,3462.7493101302643,1051.8434998707048,0.0,4821.270833894441,1306.3836091720436,0.0,105.6865463603797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.2152090999257,1199.6051386169709,147.8288704480902,1680.8805971532101,11971.890183596048,305.4664035112453,83858.46390715081
t577,5371.591239726589,1181.8458786839365,0.0,30480.221603839047,1089.7749375463186,19043.395315539743,902.2,8731.897636984939,17.183391905078075,59.558257211599994,4867.0,0.0,0.0,6430.802455734428,13.939142734515599,453.3561960299787,452.2944066485083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,104.93952943256983,2793.5,23901.36868247654,468.8637363729795,110707.23241086678
