Resource,Zone,Model,New_Build,Can_Retire,LDS,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MGA,Resource_Type,region,cluster,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In
Generic_6hr_battery,1,1,1,0,0,0,0.85,1,6,6,1,1,0,0,0,Li_Battery,CCA,1,0.0,0,1000.0,4000,-1,-1,14824,19003.0,8159,0,5.0,0.0
Northern_California_Li_Battery,1,1,1,0,0,0,0.85,1,4,4,1,1,0,0,0,Li_Battery,CCA,1,0.0,0,1000.0,4000,-1,-1,14118,19003.0,8160,0,5.0,0.0
Riverside_West_Pumped_Storage,1,1,1,0,0,0,0.85,1,4,4,1,1,0,0,0,Pumped_Hydro,CCA,1,0.0,0,1000.0,4000,-1,-1,101225,8701.0,14076,0,0.0,0.0
Tumbleweed,1,1,0,0,0,0,0.85,1,4,4,1,1,0,0,0,Li_Battery,CCA,1,50.0,200,50.0,200,-1,-1,0,0.0,133800,0,0.0,0.0
Tehachapi_Pumped_Storage,1,1,1,0,0,0,0.85,1,4,4,1,1,0,0,0,Pumped_Hydro,CCA,1,0.0,0,1000.0,4000,-1,-1,101225,8701.0,14076,0,0.0,0.0
Sanborn,1,1,0,0,0,0,0.85,1,4,4,1,1,0,0,0,Li_Battery,CCA,1,47.0,188,47.0,188,-1,-1,0,0.0,162000,0,0.0,0.0
Arizona_Li_Battery,1,1,1,0,0,0,0.85,1,4,4,1,1,0,0,0,Li_Battery,CCA,1,0.0,0,1000.0,4000,-1,-1,14118,19003.0,8160,0,5.0,0.0
Generic_8hr_battery,1,1,1,0,0,0,0.85,1,8,8,1,1,0,0,0,Li_Battery,CCA,1,0.0,0,1000.0,4000,-1,-1,16236,19003.0,8159,0,5.0,0.0
Riverside_Li_Battery,1,1,1,0,0,0,0.85,1,4,4,1,1,0,0,0,Li_Battery,CCA,1,0.0,0,1000.0,4000,-1,-1,14118,19003.0,8160,0,5.0,0.0
CAISO_New_Flow_Battery,1,1,1,0,0,0,0.85,1,4,4,1,1,0,0,0,Flow_Battery,CCA,1,0.0,0,1000.0,4000,-1,-1,103616,15514.0,8515,1489,5.0,0.0
HenriettaStorage,1,1,0,0,0,0,0.85,1,4,4,1,1,0,0,0,Li_Battery,CCA,1,10.0,40,10.0,40,-1,-1,0,0.0,178400,0,0.0,0.0
