Zone,1,2,3,4,5,6,7,Total
CO2_Price_1,0.0,56.23021425681378,56.23021425681378,0.0,0.0,0.0,0.0,0.0
AnnualSum,6.345898030742878e7,4.25355454913007e6,3.7464454508698913e6,5.143020224549063e7,2.364632145064559e6,2.060841026701342e7,4.051959559280241e7,1.8638182055779976e8
t1,8201.719264776943,2556.4206772584434,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,33026.373791996084
t2,8201.719264776943,2504.931890670002,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,32974.88500540765
t3,8201.719264776943,2504.931890670002,2031.8442918662622,6936.095679839999,292.43639040000016,5279.665441572624,7728.192046281818,32974.88500540765
t4,8201.719264776943,2504.931890670002,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572623,7728.192046281818,32974.88500540765
t5,8201.719264776943,2504.931890670002,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572624,7728.192046281817,32974.88500540765
t6,8201.719264776943,2504.931890670002,1980.597054622593,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,32923.63776816397
t7,8201.719264776943,2310.561721298635,1004.3684143688146,6936.095679839999,292.4363904,5279.665441572624,7695.916819625962,31720.76373188298
t8,6426.844415368099,0.0,0.0,6936.095679839999,292.4363904,2858.7984869165925,6796.688783637628,23310.863756162318
t9,6057.582056388472,0.0,0.0,6936.095679839999,292.4363904,2639.832720786312,6397.66926778905,22323.616115203833
t10,6057.582056388472,0.0,0.0,6936.095679839999,292.4363904,2639.832720786312,5929.05726843473,21855.004115849515
t11,6057.582056388472,0.0,0.0,6936.095679839999,292.4363904,2639.832720786312,5775.324549465751,21701.271396880533
t12,6057.582056388472,0.0,0.0,6936.095679839999,292.4363904,2639.832720786312,6010.474375986254,21936.421223401037
t13,6057.582056388472,0.0,0.0,6936.095679839999,292.4363904,2639.832720786312,5559.5935398232805,21485.540387238063
t14,6057.582056388472,0.0,0.0,6936.095679839999,292.4363904,2639.832720786312,6796.688783637628,22722.635631052413
t15,6913.973309254017,0.0,0.0,6936.095679839999,292.4363904,4597.855253128388,6796.688783637628,25537.04941626003
t16,7661.728400513128,0.0,751.4553591435703,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,28649.573317751143
t17,8201.719264776943,596.8923012418348,2303.5684992225933,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,31338.56962333581
t18,8201.719264776943,2310.561721298635,2045.4377234958827,6936.095679839999,292.4363904,5279.665441572624,7728.192046281819,32794.1082676659
t19,8201.719264776943,2310.561721298635,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,32780.51483603628
t20,8201.719264776943,2310.561721298635,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572623,7728.192046281818,32780.51483603628
t21,8201.719264776943,2310.561721298635,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,32780.51483603628
t22,8201.719264776943,2310.561721298635,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572621,7728.192046281819,32780.51483603627
t23,8201.719264776943,2310.561721298635,2031.8442918662622,6936.095679839999,292.4363904,5279.665441572624,7728.192046281818,32780.51483603628
t24,8201.719264776943,2310.561721298635,2031.8442918662622,6936.095679839999,292.43639040000016,5279.665441572631,7728.192046281818,32780.51483603629
t25,8201.719264776943,2524.8315237641796,1980.597054622593,6936.095679839999,292.4363904,6203.021455569845,6362.5700288944545,32501.27139786801
t26,8201.719264776943,2524.8315237641796,1980.597054622593,6452.139489096121,292.4363904,6203.021455569846,6362.570028894455,32017.315207124135
t27,8201.71926477694,2524.8315237641796,1980.597054622593,6936.095679839999,292.4363904,6203.021455569845,6362.570028894455,32501.27139786801
t28,8201.719264776943,2524.8315237641796,1980.597054622593,5879.657103720231,292.4363904,6203.021455569845,6362.570028894455,31444.83282174824
t29,8201.719264776943,2524.8315237641796,1980.597054622593,4642.960269120974,292.4363904,6203.021455569845,6362.5700288944545,30208.135987148984
t30,8201.719264776943,2524.8315237641796,1980.597054622593,4592.093773854048,292.4363904,6203.021455569845,6488.313363720533,30283.012826708138
t31,8201.719264776943,2483.8471532318595,1604.7854896358856,2774.438271936,292.4363904,6203.021455569845,6362.570028894454,27922.818054444986
t32,8201.719264776943,776.3984810922403,91.51643415599999,2774.438271936,116.97455615999999,6203.021455569845,6362.570028894455,24526.63849258548
t33,8201.719264776943,0.0,91.51643415599999,3848.1643727432784,292.4363904,6203.021455569845,6362.570028894455,24999.42794654052
t34,8201.719264776943,0.0,91.51643415599999,6521.170029919181,292.4363904,6097.43049603457,6362.570028894455,27566.842644181146
t35,8201.719264776943,0.0,91.51643415599999,6936.095679839999,292.4363904,6203.021455569845,6362.570028894455,28087.359253637245
t36,8201.719264776943,0.0,91.51643415599999,6936.095679839999,292.4363904,6203.021455569845,6362.570028894455,28087.359253637245
t37,8201.719264776943,0.0,91.51643415599999,6936.095679839999,292.4363904,6203.021455569846,6362.570028894455,28087.359253637245
t38,8201.719264776943,0.0,91.51643415599999,6936.095679839998,292.4363904,6203.021455569845,6559.815113518065,28284.604338260848
