Zone,1,2,3,4,5,6,7
t1,28.015796486723296,127.95198463698196,119.62114870018624,18.643605996848,24.144739608930188,21.237897820143278,26.61682794900146
t2,28.01579648672329,127.95198463698196,119.62114870018624,18.643605996848002,19.35610049354283,21.237897820143278,26.61682794900146
t3,28.01579648672329,127.95198463698196,119.62114870018624,18.643605996847995,19.356100493542826,21.237897820143278,26.61682794900146
t4,28.01579648672329,127.95198463698196,119.62114870018624,18.643605996848,19.35610049354283,21.237897820143278,26.61682794900146
t5,28.01579648672329,127.95198463698196,119.62114870018624,18.643605996847995,19.356100493542822,21.237897820143278,26.61682794900146
t6,28.01579648672329,114.64773788009111,107.18312920275339,18.643605996848002,19.35610049354283,21.237897820143285,26.61682794900146
t7,28.01579648672329,99.61071823630695,93.12515606603321,18.491430995765135,19.110597174749568,21.064547389742398,26.605177391011924
t8,21.828574223436096,28.21602184841822,26.378902639403034,18.491430995765135,19.110597174749568,21.064547389742398,24.179607450492576
t9,21.828574223436096,22.263517991568083,23.81402739378522,17.71810246340379,18.395227398310936,20.1836087797724,21.82857422343609
t10,21.828574223436096,22.263517991568083,23.81402739378522,18.643605996848002,19.110597174749568,20.1836087797724,21.82857422343609
t11,21.828574223436096,22.263517991568083,23.81402739378522,19.354552070889653,19.110597174749568,20.1836087797724,21.828574223436096
t12,21.828574223436096,22.263517991568083,23.81402739378522,19.8409384680521,19.110597174749568,20.1836087797724,21.82857422343609
t13,21.828574223436096,22.263517991568083,23.81402739378522,19.8409384680521,19.110597174749568,20.1836087797724,21.82857422343609
t14,21.828574223436096,22.357408177094285,23.914456420813895,19.924612099258315,19.191190794991137,20.268727527565936,21.920630154775743
t15,21.828574223436096,24.661396570973857,26.378902639403034,21.977894602561875,21.168892347252847,21.064547389742398,24.179607450492576
t16,23.414803534084008,87.06186287854806,93.12515606603321,24.19319008860752,23.302643214180243,21.237897820143278,26.61682794900147
t17,28.01579648672329,93.12515606603321,99.61071823630695,24.193190088607516,25.117770601547928,21.237897820143278,26.61682794900146
t18,28.015796486723296,111.83272582249796,119.62114870018628,24.19319008860752,24.14473960893019,21.237897820143278,26.61682794900146
t19,28.015796486723296,111.83272582249728,119.62114870018557,24.19319008860752,24.14473960893019,21.237897820143278,26.61682794900146
t20,28.015796486723296,111.83272582249792,119.62114870018624,24.19319008860752,24.14473960893019,21.237897820143278,26.61682794900146
t21,28.015796486723296,111.83272582249796,119.62114870018628,24.19319008860752,24.14473960893019,21.237897820143278,26.61682794900146
t22,28.015796486723296,111.83272582249792,119.62114870018624,24.193190088607516,24.14473960893019,21.237897820143278,26.616827949001458
t23,28.015796486723296,111.83272582249792,119.62114870018624,24.19319008860752,24.14473960893019,21.237897820143278,26.61682794900146
t24,28.015796486723296,111.83272582249792,119.62114870018624,24.193190088607516,24.14473960893019,21.237897820143278,26.61682794900146
t25,27.36540953432548,120.23407933647654,112.40574910927693,21.333455021063624,20.54817446814104,24.30204424855213,24.073330191850236
t26,27.365409534325476,120.23407933647654,112.40574910927693,10.906885496230299,10.5054050485163,24.30204424855213,24.073330191850232
t27,27.365409534325476,120.23407933647654,112.40574910927693,10.906885496230299,10.505405048516296,24.30204424855213,24.073330191850236
t28,27.365409534325483,120.23407933647654,112.40574910927695,10.906885496230299,10.5054050485163,24.30204424855213,24.073330191850236
t29,27.36540953432548,120.23407933647654,112.40574910927693,10.906885496230299,10.5054050485163,24.30204424855213,24.073330191850236
t30,27.36540953432548,120.23407933647654,112.40574910927693,10.906885496230299,10.5054050485163,24.30204424855213,24.073330191850232
t31,27.36540953432548,113.35548646138847,105.97501508437358,10.906885496230299,10.5054050485163,24.30204424855213,24.073330191850236
t32,23.260598117836558,96.18726346919931,89.92459928743847,0.0,0.0,24.30204424855213,22.832048806500726
t33,23.260598117836558,29.151123403571933,27.253120593084443,10.906885496230299,10.5054050485163,24.206699257905825,22.832048806500726
t34,23.260598117836558,23.28698723905355,24.90877462580607,10.906885496230299,10.5054050485163,21.111463169056172,22.832048806500726
t35,23.260598117836558,24.19465887008932,25.483320821468883,19.254973319567025,18.546201295533884,21.934338022359334,22.832048806500726
t36,23.260598117836558,29.151123403571933,28.123168021040172,21.333455021063624,20.54817446814104,24.30204424855213,25.778447735625225
t37,23.260598117836558,29.151123403571933,28.123168021040172,21.928148691184727,21.120977573717802,24.979490628960153,25.778447735625228
t38,23.260598117836558,96.18726346919932,89.92459928743847,21.928148691184727,21.240259195797563,24.979490628960153,25.778447735625228
t39,26.62864851085311,99.07507940481248,105.97501508437358,24.068716649454256,24.31577182749223,24.979490628960153,26.805371507927156
t40,27.36540953432548,96.18726346919931,102.88608152836744,24.068716649454256,24.98854021567544,24.979490628960153,27.044991270531423
t41,27.36540953432548,120.23407933647654,112.40574910927693,24.068716649454256,24.988540215675435,24.979490628960153,27.044991270531423
t42,27.365409534325483,120.23407933647654,112.40574910927693,24.068716649454256,24.98854021567544,24.979490628960153,27.044991270531423
t43,27.36540953432548,120.23407933647654,112.40574910927693,24.068716649454256,24.98854021567544,24.979490628960153,27.04499127053143
t44,27.36540953432548,120.23407933647654,112.40574910927693,24.068716649454256,24.98854021567544,24.30204424855213,27.04499127053143
t45,27.36540953432548,120.23407933647654,112.40574910927693,24.068716649454256,24.98854021567544,24.30204424855213,27.04499127053143
t46,27.36540953432548,120.23407933647654,112.40574910927693,24.068716649454256,24.988540215675442,24.30204424855213,27.04499127053143
t47,27.36540953432548,105.08711425700167,112.40574910927693,24.068716649454256,24.98854021567544,24.30204424855213,27.04499127053143
t48,27.365409534325476,105.08711425700167,112.40574910927693,24.068716649454256,24.98854021567544,24.30204424855213,26.479884945535257
t49,29.332259547796607,102.01835186120076,96.5456159872515,30.30736217518204,31.46560531563486,34.52468697222058,33.34350871672606
