Sum Range ID,Target
Antelope_Neenach_Off_Peak_offpeak,86.49499999999999
Antelope_Neenach_On_Peak_HSN,0.0
Antelope_Neenach_On_Peak_SSN,0.0
Antelope_Vincent_HSN,5862.0382
Antelope_Vincent_offpeak,7905.919
Antelope_Vincent_SSN,6290.436900000001
Bell_Placer_HSN,570.0
Bell_Placer_offpeak,570.0
Bell_Placer_SSN,570.0
Bellota_Weber_HSN,1750.0
Bellota_Weber_offpeak,2858.0
Bellota_Weber_SSN,1964.8
Birds_Landing_Contra_Costa_HSN,512.356890278
Birds_Landing_Contra_Costa_offpeak,1112.356890278
Birds_Landing_Contra_Costa_SSN,662.356890278
Borden_Storey_HSN,2705.5
Borden_Storey_offpeak,3779.9998
Borden_Storey_SSN,2725.55
Calcite_Lugo_HSN,548.0
Calcite_Lugo_offpeak,548.0
Calcite_Lugo_SSN,548.0
Cape_Mendocino_Offshore_Line_HSN,0.0
Cape_Mendocino_Offshore_Line_offpeak,0.0
Cape_Mendocino_Offshore_Line_SSN,0.0
Capistrano_San_Onofre_HSN,1450.0
Capistrano_San_Onofre_offpeak,1550.0
Capistrano_San_Onofre_SSN,1475.0
Carberry_Round_Mt_HSN,14.0
Carberry_Round_Mt_offpeak,183.0
Carberry_Round_Mt_SSN,14.0
Chicarita_138_HSN,0.0
Chicarita_138_offpeak,530.0
Chicarita_138_SSN,71.0
Chowchilla_Le_Grand_HSN,547.0
Chowchilla_Le_Grand_offpeak,882.0
Chowchilla_Le_Grand_SSN,521.8
Coalinga_1_Coalinga_2_HSN,1660.0
Coalinga_1_Coalinga_2_offpeak,175.0
Coalinga_1_Coalinga_2_SSN,1660.0
Colorado_River_230_HSN,0.0
Colorado_River_230_offpeak,1635.548
Colorado_River_230_SSN,0.0
Colorado_River_Red_Bluff_HSN,10824.615
Colorado_River_Red_Bluff_offpeak,10813.8
Colorado_River_Red_Bluff_SSN,10848.24
Contra_Costa_Windmaster_HSN,912.2
Contra_Costa_Windmaster_offpeak,1512.2
Contra_Costa_Windmaster_SSN,1062.2
Control_Inyokern_HSN,0.0
Control_Inyokern_offpeak,0.0
Control_Inyokern_SSN,0.0
Cortina_Eagle_Rock_HSN,1554.2
Cortina_Eagle_Rock_offpeak,1554.2
Cortina_Eagle_Rock_SSN,1554.2
Dairyland_Chowchilla_HSN,2713.0
Dairyland_Chowchilla_offpeak,102.0
Dairyland_Chowchilla_SSN,2687.8
DCRT_HSN,2300.0
DCRT_offpeak,2300.0
DCRT_SSN,2300.0
Del_Amo_Barre_HSN,6690.0
Del_Amo_Barre_offpeak,6710.0
Del_Amo_Barre_SSN,6695.0
Del_Norte_Offshore_Line_HSN,0.0
Del_Norte_Offshore_Line_offpeak,0.0
Del_Norte_Offshore_Line_SSN,0.0
Devers_Red_Bluff_HSN,3941.615
Devers_Red_Bluff_offpeak,10047.8
Devers_Red_Bluff_SSN,3965.24
Dos_Amigos_Panoche_HSN,358.0
Dos_Amigos_Panoche_offpeak,496.0
Dos_Amigos_Panoche_SSN,335.79999999999995
Dumbarton_Newark_HSN,1070.0
Dumbarton_Newark_offpeak,1470.0
Dumbarton_Newark_SSN,1170.0
East_Miguel_HSN,999.615
East_Miguel_offpeak,1330.8
East_Miguel_SSN,1023.24
Eastshore_San_Mateo_HSN,2149.0
Eastshore_San_Mateo_offpeak,2549.0
Eastshore_San_Mateo_SSN,2249.0
Eight_Mile_Tesla_HSN,3558.0
Eight_Mile_Tesla_offpeak,3918.0
Eight_Mile_Tesla_SSN,3648.0
Encina_San_Luis_Rey_HSN,2536.615
Encina_San_Luis_Rey_offpeak,2717.8
Encina_San_Luis_Rey_SSN,2608.24
Etiwanda_Rancho_Vista_HSN,7534.0
Etiwanda_Rancho_Vista_offpeak,9889.0
Etiwanda_Rancho_Vista_SSN,7634.0
Gates_Panoche_HSN,7260.83
Gates_Panoche_offpeak,7384.034
Gates_Panoche_SSN,7301.4848
Gates_TB_11_HSN,3336.83
Gates_TB_11_offpeak,6172.3288
Gates_TB_11_SSN,3309.6848
Gates_TB_12_HSN,2835.23
Gates_TB_12_offpeak,2947.0288
Gates_TB_12_SSN,2795.0488
Gates_TB_5_HSN,272.0
Gates_TB_5_offpeak,340.2948
Gates_TB_5_SSN,272.0
GLW_230_HSN,900.0
GLW_230_offpeak,760.0
GLW_230_SSN,900.0
Grant_Eastshore_2_HSN,961.0
Grant_Eastshore_2_offpeak,961.0
Grant_Eastshore_2_SSN,961.0
Hinson_Del_Amo_HSN,3534.0
Hinson_Del_Amo_offpeak,3554.0
Hinson_Del_Amo_SSN,3539.0
Humboldt_Offshore_Line_HSN,0.0
Humboldt_Offshore_Line_offpeak,0.0
Humboldt_Offshore_Line_SSN,0.0
Internal_San_Diego_HSN,1286.615
Internal_San_Diego_offpeak,1492.8
Internal_San_Diego_SSN,1579.04
Jackson_Waukena_Corcoran_HSN,85.0
Jackson_Waukena_Corcoran_offpeak,28.0
Jackson_Waukena_Corcoran_SSN,85.0
Kasson_Jct_Heinz_HSN,0.0
Kasson_Jct_Heinz_offpeak,286.0
Kasson_Jct_Heinz_SSN,0.0
Kern_TB_4_HSN,1869.0
Kern_TB_4_offpeak,1869.0
Kern_TB_4_SSN,1869.0
Kern_Tevis_Stockdale_Lamont_HSN,109.0
Kern_Tevis_Stockdale_Lamont_offpeak,176.8
Kern_Tevis_Stockdale_Lamont_SSN,109.0
Kramer_Victor_HSN,884.3817999999999
Kramer_Victor_offpeak,1057.46
Kramer_Victor_SSN,880.4531
Lakeville_Ignacio_HSN,517.0
Lakeville_Ignacio_offpeak,517.0
Lakeville_Ignacio_SSN,517.0
Los_Banos_500_230_HSN,2943.4
Los_Banos_500_230_offpeak,811.1998
Los_Banos_500_230_SSN,3307.164
Lugo_500_230_Transformer_HSN,1169.3818
Lugo_500_230_Transformer_offpeak,1342.46
Lugo_500_230_Transformer_SSN,1165.4531
Lugo_Victorville_HSN,9693.814270551
Lugo_Victorville_offpeak,9241.2855591333
Lugo_Victorville_SSN,9844.527470551
Merced_TB_2_HSN,247.0
Merced_TB_2_offpeak,100.0
Merced_TB_2_SSN,247.0
Midway_Q2005_HSN,0.0
Midway_Q2005_offpeak,837.1348000000002
Midway_Q2005_SSN,271.75375
Midway_Q2011_HSN,412.0
Midway_Q2011_offpeak,375.0
Midway_Q2011_SSN,374.4
Midway_Taft_HSN,263.0
Midway_Taft_offpeak,263.0
Midway_Taft_SSN,263.0
Midway_TB_3_HSN,1179.86
Midway_TB_3_offpeak,1090.86
Midway_TB_3_SSN,1297.982
Moorpark_Pardee_HSN,3680.114070551
Moorpark_Pardee_offpeak,3900.114070551
Moorpark_Pardee_SSN,3735.114070551
Morganhill_Metcalf_HSN,0.0
Morganhill_Metcalf_offpeak,911.9
Morganhill_Metcalf_SSN,0.6500000000000341
Morro_Bay_Offshore_500_HSN,0.0
Morro_Bay_Offshore_500_offpeak,0.0
Morro_Bay_Offshore_500_SSN,0.0
Moss_Landing_Las_Aguillas_HSN,2047.5
Moss_Landing_Las_Aguillas_offpeak,0.0
Moss_Landing_Las_Aguillas_SSN,2060.55
Mustang_Henrietta_HSN,9549.55725
Mustang_Henrietta_offpeak,10734.94
Mustang_Henrietta_SSN,9889.78975
Newark_Los_Esteros_HSN,4219.5
Newark_Los_Esteros_offpeak,5296.5
Newark_Los_Esteros_SSN,4488.75
Newark_Newark_Dist_HSN,3800.7
Newark_Newark_Dist_offpeak,3797.8
Newark_Newark_Dist_SSN,3798.42
North_Magunden_HSN,1201.0852
North_Magunden_offpeak,1293.034
North_Magunden_SSN,1273.1734
Oceano_Calendar_HSN,821.3
Oceano_Calendar_offpeak,289.7
Oceano_Calendar_SSN,879.15
Oro Loma_El_Nido_HSN,1083.0
Oro Loma_El_Nido_offpeak,392.0
Oro Loma_El_Nido_SSN,1145.3
Panoche_Los_Banos_HSN,48.0
Panoche_Los_Banos_offpeak,3458.0
Panoche_Los_Banos_SSN,25.799999999999983
Panoche_Mendota_HSN,1646.0
Panoche_Mendota_offpeak,0.0
Panoche_Mendota_SSN,1620.8
Panoche_Oro_Loma_HSN,3509.0
Panoche_Oro_Loma_offpeak,3635.0
Panoche_Oro_Loma_SSN,3483.8
Pardee_Sylmar_HSN,4362.610270551
Pardee_Sylmar_offpeak,4984.643070551
Pardee_Sylmar_SSN,4542.961970551
Q2008_Gates_HSN,5203.0
Q2008_Gates_offpeak,5203.0
Q2008_Gates_SSN,5203.0
Red_Bluff_230_HSN,317.0
Red_Bluff_230_offpeak,1704.0
Red_Bluff_230_SSN,519.5
Rio_Oso_Brighton_HSN,418.0
Rio_Oso_Brighton_offpeak,428.0
Rio_Oso_Brighton_SSN,420.5
Rio_Oso_Lockeford_HSN,930.0
Rio_Oso_Lockeford_offpeak,940.0
Rio_Oso_Lockeford_SSN,932.5
Rocklin_Pleasant_Grove_HSN,87.0
Rocklin_Pleasant_Grove_offpeak,231.0
Rocklin_Pleasant_Grove_SSN,89.5
San_Luis_Rey_San_Onofre_HSN,2705.615
San_Luis_Rey_San_Onofre_offpeak,6813.8
San_Luis_Rey_San_Onofre_SSN,2777.24
Santa_Rosa_Corona_HSN,3774.2
Santa_Rosa_Corona_offpeak,4174.2
Santa_Rosa_Corona_SSN,3874.2
SCE_Metro_Default_HSN,13609.6
SCE_Metro_Default_offpeak,13852.4
SCE_Metro_Default_SSN,13670.3
Schindler_TB_1_HSN,0.0
Schindler_TB_1_offpeak,46.0
Schindler_TB_1_SSN,0.0
Semitropic_Midway_HSN,255.0
Semitropic_Midway_offpeak,240.9
Semitropic_Midway_SSN,255.0
Serrano_Alberhill_Valley_HSN,5092.615
Serrano_Alberhill_Valley_offpeak,13682.8
Serrano_Alberhill_Valley_SSN,5216.24
Silvergate_Bay_Blvd_HSN,754.615
Silvergate_Bay_Blvd_offpeak,888.8
Silvergate_Bay_Blvd_SSN,781.24
Silvergate_Old_Town_HSN,1179.615
Silvergate_Old_Town_offpeak,1180.8
Silvergate_Old_Town_SSN,1206.24
Smyrna _Q1984_HSN,144.0
Smyrna _Q1984_offpeak,132.0
Smyrna _Q1984_SSN,144.0
Sobrante_Moraga_HSN,3723.2
Sobrante_Moraga_offpeak,4123.2
Sobrante_Moraga_SSN,3823.2
South_Magunden_Off_Peak_offpeak,406.034
South_Magunden_On_Peak_HSN,442.199270551
South_Magunden_On_Peak_SSN,569.2874705510001
Talega_230_HSN,809.0
Talega_230_offpeak,1601.0
Talega_230_SSN,1007.0
Tesla_Bellota_HSN,3125.2
Tesla_Bellota_offpeak,4959.3
Tesla_Bellota_SSN,3582.17
Tesla_Salado_HSN,1087.0
Tesla_Salado_offpeak,1087.0
Tesla_Salado_SSN,1087.0
Tesla_Tracy_Pump_1_HSN,3955.7
Tesla_Tracy_Pump_1_offpeak,4352.8
Tesla_Tracy_Pump_1_SSN,4053.42
Tesla_Tracy_Pumps_2_HSN,3716.2
Tesla_Tracy_Pumps_2_offpeak,5790.3
Tesla_Tracy_Pumps_2_SSN,4233.17
Trabuco_Capistrano_HSN,501.0
Trabuco_Capistrano_offpeak,501.0
Trabuco_Capistrano_SSN,501.0
Tranquility_Helm_HSN,1986.5
Tranquility_Helm_offpeak,1091.9998
Tranquility_Helm_SSN,2006.55
Vaca_Dixon_Tesla_HSN,464.08414027800006
Vaca_Dixon_Tesla_offpeak,1587.853545204
Vaca_Dixon_Tesla_SSN,752.631840278
VEA_138_HSN,260.0
VEA_138_offpeak,105.0
VEA_138_SSN,260.0
Victor_Lugo_HSN,934.3818
Victor_Lugo_offpeak,1107.46
Victor_Lugo_SSN,930.4531
Vincent_Lugo_HSN,7835.952999999999
Vincent_Lugo_offpeak,9787.885
Vincent_Lugo_SSN,8192.263500000001
Windhub_HSN,1501.48
Windhub_offpeak,2930.6
Windhub_SSN,1793.66
Windmaster_Delta_Pumps_HSN,85.85689027800004
Windmaster_Delta_Pumps_offpeak,1282.9568902780002
Windmaster_Delta_Pumps_SSN,383.576890278
Woodland_Davis_HSN,16.0
Woodland_Davis_offpeak,16.0
Woodland_Davis_SSN,16.0
