Time_Index,Biomass,CA_NW_Coal,CA_Natural_Gas,CA_Natural_Gas_CCS_100,CA_Natural_Gas_CCS_90,CA_Natural_Gas_CCS_95,NW_Natural_Gas,SW_Coal_Fuel,SW_Natural_Gas,Uranium,None
0,0.0,0.094,0.053,0.0,0.0053,0.00265,0.0,0.0,0.0,0.0,0.0
1,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
2,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
3,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
4,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
5,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
6,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
7,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
8,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
9,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
10,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
11,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
12,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
13,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
14,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
15,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
16,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
17,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
18,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
19,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
20,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
21,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
22,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
23,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
24,15.0,8.302777800000001,11.0065756018,7.4328545018,7.7902266118,7.6115405568,4.7843265091,1.333587,4.9080569325,0.709365,0.0
25,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
26,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
27,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
28,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
29,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
30,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
31,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
32,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
33,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
34,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
35,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
36,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
37,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
38,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
39,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
40,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
41,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
42,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
43,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
44,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
45,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
46,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
47,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
48,15.0,8.302777800000001,11.0408002761,7.4670791761,7.8244512861,7.6457652311,4.8097312186,1.333587,4.930570145,0.709365,0.0
