Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3,TotalCosts_p4,TotalCosts_p5,TotalCosts_p6,TotalCosts_p7,TotalCosts_p8,TotalCosts_p9,TotalCosts_p10,TotalCosts_p11,TotalCosts_p12,TotalCosts_p13,TotalCosts_p14,TotalCosts_p15,TotalCosts_p16,TotalCosts_p17
cFix,8.978099023875061e10,2.504272998042759e11,2.3424614540772955e11,2.5065591815342804e11,2.3624251730347937e11,2.765724926333998e11,2.4247740102350308e11,2.8006321285414246e11,2.426658054799604e11,2.580019191679944e11,2.3949355654185736e11,2.5842496990377258e11,2.4070281119822537e11,2.7207893168493466e11,2.482713261396263e11,2.8847114859908563e11,2.4972787299898886e11
cVar,3.095108060423852e9,5.058963355860323e9,3.726092893515982e9,5.040909978197899e9,3.6183734178407655e9,7.282249399358163e9,5.8819065450252285e9,7.134221240426809e9,5.866590936064306e9,5.332035832039647e9,3.8439793095918603e9,5.312101703218235e9,3.7661231483861947e9,7.206230525203423e9,6.048246862062675e9,7.209267400986017e9,5.965036774778241e9
cFuel,8.221795056230269e9,5.873388429517139e9,6.34086072254108e9,5.912019182360716e9,6.267821064550379e9,7.24469470037306e9,9.699856170703667e9,7.0544336756436615e9,9.83837754136685e9,6.001980169400275e9,6.603245991175924e9,6.032604475801879e9,6.570500969990293e9,7.375484426072022e9,1.0005714702549067e10,7.07850994930617e9,1.006772058964707e10
cNSE,1.0090947753796917e8,1.0317974388828622e9,1.0415530025991675e9,1.0219970624664339e9,1.0295987957761397e9,4.345872928582402e8,7.257790791793793e8,4.279942903774748e8,7.357328343371668e8,1.1069760591318705e9,1.1248987998293576e9,1.1121271558642194e9,1.1109481055744839e9,7.433460948465075e8,7.33414398361562e8,4.3996677432461363e8,7.64130621566274e8
cStart,12512.345269402827,1.714007913473134e9,1.7833155044859006e9,1.8817645285675638e9,1.7969268606813674e9,4.536258747696506e8,1.4997559238439205e9,3.921264520975296e8,1.4810810965387638e9,1.8214111276878455e9,1.984381917955533e9,1.9671796091839175e9,2.223158497897005e9,1.0727303637996505e8,1.617127561771542e9,3.8154932103728276e8,1.5970002332537713e9
cUnmetRsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,0.0,9.978997458702993e9,2.374973999369566e10,1.001183968980941e10,2.374973999369566e10,3.8192324281425886e9,2.136685375709526e10,3.7340644483846664e9,2.136685375709526e10,8.9357952948658e9,2.3803647766520893e10,8.903608036439491e9,2.374973999369566e10,6.085748507696618e9,2.136685375709526e10,3.485191230112953e9,2.136685375709526e10
cUnmetPolicyPenalty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cCO2,-1.442886343738792e-13,3.999904415739372e-11,-1.359189935241575e-10,4.976309936765023e-10,-1.107258026453463e-10,-7.648945216434693e-11,9.695484404767417e-13,1.1630241217062013e-10,-5.966439968300845e-11,-3.7689564830432955e-10,6.855205866164617e-13,-2.1944082234941961e-10,4.756388670050482e-11,4.946834728196408e-10,3.5409368090654034e-10,-4.811218228028269e-12,1.3527220251243548e-12
