Line,New_Trans_Capacity_p1,New_Trans_Capacity_p2,New_Trans_Capacity_p3,New_Trans_Capacity_p4,New_Trans_Capacity_p5,New_Trans_Capacity_p6,New_Trans_Capacity_p7,New_Trans_Capacity_p8,New_Trans_Capacity_p9,New_Trans_Capacity_p10,New_Trans_Capacity_p11,New_Trans_Capacity_p12,New_Trans_Capacity_p13,New_Trans_Capacity_p14,New_Trans_Capacity_p15,New_Trans_Capacity_p16,New_Trans_Capacity_p17
1,0.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,613.5237339295725,2300.0,2300.0,2300.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,102.94258545875735,0.0,33.58661914365271,0.0,400.0,0.0,400.0,0.0,81.13215773843052,0.0,4.670431078139725,0.0,400.0,0.0,400.0
4,0.0,163.71745829776938,10321.0,184.04601491927454,10321.0,0.0,10321.0,0.0,10321.0,143.15924642858363,10321.0,0.0,10321.0,0.0,10321.0,0.0,10321.0
5,0.0,0.0,919.0,0.0,919.0,0.0,0.0,0.0,0.0,0.0,919.0,0.0,919.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4117.796222168421,5200.0,3862.313481249697,5200.0,2512.2991041976284,5200.0,2365.6144034803915,5200.0,2728.0153732253493,5200.0,2480.469486573648,5200.0,5200.0,5200.0,1902.5064467497073,5200.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.2813200480907,0.0,0.0,0.0
9,0.0,5261.0,5261.0,5261.0,5261.0,0.0,5261.0,0.0,5261.0,5261.0,5261.0,5261.0,5261.0,0.0,5261.0,0.0,5261.0
10,0.0,1179.7406355596806,2780.0,964.7332963815358,2780.0,0.0,2780.0,0.0,2780.0,919.7706615890171,2780.0,1207.9867747143046,2780.0,0.0,2780.0,0.0,2780.0
11,0.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,2387.0,0.0,2387.0,0.0,0.0,0.0,0.0,0.0,2387.0,0.0,2387.0,0.0,0.0,0.0,0.0
14,0.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
