Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,LINK_STAGES
AZ_onshore_wind_turbine_1,1,0,0,1234.5,1,13416.093,2299.093,10.0,AZ,Onshore Wind Turbine,123.45,13416.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496887290452087,0
AZ_solar_photovoltaic_1,1,0,0,7148.1,1,0.0,4968.766,148.0,AZ,Solar Photovoltaic,48.3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2298065626545972,0
CA_N_onshore_wind_turbine_1,2,0,0,1753.2,1,14102.307,8739.144,37.0,CA_N,Onshore Wind Turbine,47.38,14102.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438298782061656,0
CA_N_solar_photovoltaic_1,2,0,0,7142.7,1,0.0,5517.491,340.0,CA_N,Solar Photovoltaic,21.01,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2832023751918811,0
CA_S_onshore_wind_turbine_1,3,0,0,4214.7,1,13734.345,13710.965,65.0,CA_S,Onshore Wind Turbine,64.84,13734.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493810087781401,0
CA_S_solar_photovoltaic_1,3,0,0,18242.7,1,0.0,5038.187,687.0,CA_S,Solar Photovoltaic,26.55,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2512701440489125,0
MT_WY_CO_onshore_wind_turbine_1,4,0,0,15674.3,1,0.0,9828.295,113.0,MT_WY_CO,Onshore Wind Turbine,138.71,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4460409442964606,0
MT_WY_CO_solar_photovoltaic_1,4,0,0,3820.4,1,0.0,4501.694,174.0,MT_WY_CO,Solar Photovoltaic,21.96,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221690153767955,0
NM_onshore_wind_turbine_1,5,0,0,5810.3,1,13761.1,4255.305,16.0,NM,Onshore Wind Turbine,363.14,13761.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434693746819467,0
NM_solar_photovoltaic_1,5,0,0,2851.5,1,9391.467,2850.563,88.0,NM,Solar Photovoltaic,32.4,9391.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2292745937879535,0
