Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,heat_rate_mmbtu_mwh,fom_per_mwyr,vom_per_mwh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,CO2_Capture_Fraction_Startup,Commit,CO2_Capture_Fraction,CCS_Disposal_Cost_per_Metric_Ton,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,interconnect_annuity,interconnect_capex_mw,plant_inv_cost_mwyr,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Model,LINK_STAGES
MT_WY_CO_natural_gas_steam_turbine_1,4,0,1,1070.0,1,10.811,14270.579,0.611,4.044,2.062,4454.398,4.0,MT_WY_CO,Natural Gas Steam Turbine,267.5,14270,0.61,10.81,13.7,MT_WY_CO_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
MT_WY_CO_other_peaker_1,4,0,1,462.7,1,10.205,1817.077,3.301,1.414,1.839,704.446,83.0,MT_WY_CO,Other_peaker,5.58,1817,3.3,10.2,0.0,MT_WY_CO_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
NM_conventional_steam_coal_1,5,0,1,308.0,1,9.939,36097.049,1.368,0.025,0.013,66.408,10.0,NM,Conventional Steam Coal,154.0,36097,1.37,9.94,16.5,NM_coal,129.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.2,24,12,1,0
NM_natural_gas_fired_combined_cycle_1,5,0,1,1322.6,1,8.205,9052.796,3.093,1.828,0.886,1991.17,19.0,NM,Natural Gas Fired Combined Cycle,69.61,9052,3.09,8.2,2.0,NM_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,0
NM_natural_gas_fired_combustion_turbine_1,5,0,1,1228.4,1,11.179,3698.32,7.462,3.598,2.431,3968.969,15.0,NM,Natural Gas Fired Combustion Turbine,81.89,3698,7.46,11.18,3.5,NM_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,0
NM_natural_gas_steam_turbine_1,5,0,1,229.0,1,11.965,28706.037,0.871,4.883,2.397,8899.119,2.0,NM,Natural Gas Steam Turbine,114.5,28706,0.87,11.96,13.7,NM_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
NM_other_peaker_1,5,0,1,3.2,1,12.165,66525.186,3.801,0.0,0.0,134313.992,2.0,NM,Other_peaker,1.6,66525,3.8,12.16,0.0,NM_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
PNW_conventional_steam_coal_1,6,0,1,0.0,1,11.385,17936.044,0.544,0.0,0.0,0.0,1.0,PNW,Conventional Steam Coal,1.0,17936,0.54,11.38,16.5,PNW_coal,129.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.2,24,12,1,0
PNW_natural_gas_fired_combined_cycle_1,6,0,1,6215.0,1,7.418,7601.062,1.32,0.663,1.06,3284.43,51.0,PNW,Natural Gas Fired Combined Cycle,121.86,7601,1.32,7.42,2.0,PNW_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,0
PNW_natural_gas_fired_combustion_turbine_1,6,0,1,1292.3,1,11.916,7295.652,5.863,1.239,1.142,3825.946,21.0,PNW,Natural Gas Fired Combustion Turbine,61.54,7295,5.86,11.92,3.5,PNW_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,0
PNW_nuclear_1,6,0,1,1151.0,1,10.456,60740.264,0.078,0.0,0.0,0.0,1.0,PNW,Nuclear,1151.0,60740,0.08,10.46,0.0,PNW_uranium,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6,48,48,1,0
PNW_other_peaker_1,6,0,1,276.7,1,11.238,19732.661,1.93,29.255,14.345,265660.64,46.0,PNW,Other_peaker,6.02,19732,1.93,11.24,0.0,PNW_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
UT_NV_conventional_steam_coal_1,7,0,1,3254.3,1,10.569,28276.142,0.966,0.917,0.875,5370.816,15.0,UT_NV,Conventional Steam Coal,216.95,28276,0.97,10.57,16.5,UT_NV_coal,129.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.2,24,12,1,0
UT_NV_natural_gas_fired_combined_cycle_1,7,0,1,7829.9,1,7.529,9171.595,1.813,1.877,0.937,3337.275,61.0,UT_NV,Natural Gas Fired Combined Cycle,128.36,9171,1.81,7.53,2.0,UT_NV_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,0
UT_NV_natural_gas_fired_combustion_turbine_1,7,0,1,2039.3,1,11.377,3358.227,3.082,1.99,1.618,3748.327,45.0,UT_NV,Natural Gas Fired Combustion Turbine,45.32,3358,3.08,11.38,3.5,UT_NV_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,0
UT_NV_natural_gas_steam_turbine_1,7,0,1,345.5,1,15.66,23220.293,0.705,4.878,2.907,9543.908,4.0,UT_NV,Natural Gas Steam Turbine,86.38,23220,0.7,15.66,13.7,UT_NV_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
UT_NV_other_peaker_1,7,0,1,122.7,1,12.448,1614.702,1.966,1.414,5.019,851.507,46.0,UT_NV,Other_peaker,2.67,1614,1.97,12.45,0.0,UT_NV_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,NaturalGas_2-on-1 Combined Cycle (F-Frame)_Moderate,500.0,34771,2.22,6.27,0.0,AZ_naturalgas,79.0,0.0,0,0.0,0,Moderate,2-on-1 Combined Cycle (F-Frame),2028.0,1410450.709,128995,-1.0,1.035,8269.955,100000.0,120726.0,0.5,3.0,3.0,6,8,1,0
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS_Moderate,500.0,66927,4.98,7.05,0.0,AZ_naturalgas,79.0,0.95,0,0.95,5,Moderate,2-on-1 Combined Cycle (F-Frame) 95% CCS,2028.0,2809745.283,249928,-1.0,1.04,8269.955,100000.0,241659.0,0.5,3.0,3.0,6,8,1,0
AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,NaturalGas_Combustion Turbine (F-Frame)_Moderate,100.0,27096,7.44,9.72,3.5,AZ_naturalgas,69.0,0.0,0,0.0,0,Moderate,Combustion Turbine (F-Frame),2028.0,1263294.847,116138,-1.0,1.032,8269.955,100000.0,107869.0,0.6,4.8,4.8,0,0,1,0
AZ_nuclear_nuclear__large_moderate_0,1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,Nuclear_Nuclear - Large_Moderate,1000.0,187577,3.0,10.5,0.0,AZ_uranium,0.0,0.0,1,0.0,0,Moderate,Nuclear - Large,2030.0,8024218.106,342026,-1.0,1.052,6353.046,100000.0,536545.0,0.7,0.6,0.6,48,48,1,0
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_N,NaturalGas_2-on-1 Combined Cycle (F-Frame)_Moderate,500.0,34771,2.22,6.27,0.0,CA_N_naturalgas,79.0,0.0,0,0.0,0,Moderate,2-on-1 Combined Cycle (F-Frame),2028.0,1410450.709,145908,-1.0,1.18,8269.955,100000.0,137639.0,0.5,3.0,3.0,6,8,1,0
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,2,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_N,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS_Moderate,500.0,66927,4.98,7.05,0.0,CA_N_naturalgas,79.0,0.95,0,0.95,5,Moderate,2-on-1 Combined Cycle (F-Frame) 95% CCS,2028.0,2809745.283,289430,-1.0,1.21,8269.955,100000.0,281161.0,0.5,3.0,3.0,6,8,1,0
CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_N,NaturalGas_Combustion Turbine (F-Frame)_Moderate,100.0,27096,7.44,9.72,3.5,CA_N_naturalgas,69.0,0.0,0,0.0,0,Moderate,Combustion Turbine (F-Frame),2028.0,1263294.847,129981,-1.0,1.165,8269.955,100000.0,121712.0,0.6,4.8,4.8,0,0,1,0
CA_N_nuclear_nuclear__large_moderate_0,2,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_N,Nuclear_Nuclear - Large_Moderate,1000.0,187577,3.0,10.5,0.0,CA_N_uranium,0.0,0.0,1,0.0,0,Moderate,Nuclear - Large,2030.0,8024218.106,391003,-1.0,1.205,6353.046,100000.0,614287.0,0.7,0.6,0.6,48,48,1,0
CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_S,NaturalGas_2-on-1 Combined Cycle (F-Frame)_Moderate,500.0,34771,2.22,6.27,0.0,CA_S_naturalgas,79.0,0.0,0,0.0,0,Moderate,2-on-1 Combined Cycle (F-Frame),2028.0,1410450.709,144158,-1.0,1.165,8269.955,100000.0,135889.0,0.5,3.0,3.0,6,8,1,0
CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,3,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_S,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS_Moderate,500.0,66927,4.98,7.05,0.0,CA_S_naturalgas,79.0,0.95,0,0.95,5,Moderate,2-on-1 Combined Cycle (F-Frame) 95% CCS,2028.0,2809745.283,285944,-1.0,1.195,8269.955,100000.0,277675.0,0.5,3.0,3.0,6,8,1,0
CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_S,NaturalGas_Combustion Turbine (F-Frame)_Moderate,100.0,27096,7.44,9.72,3.5,CA_S_naturalgas,69.0,0.0,0,0.0,0,Moderate,Combustion Turbine (F-Frame),2028.0,1263294.847,128414,-1.0,1.15,8269.955,100000.0,120145.0,0.6,4.8,4.8,0,0,1,0
CA_S_nuclear_nuclear__large_moderate_0,3,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA_S,Nuclear_Nuclear - Large_Moderate,1000.0,187577,3.0,10.5,0.0,CA_S_uranium,0.0,0.0,1,0.0,0,Moderate,Nuclear - Large,2030.0,8024218.106,384580,-1.0,1.185,6353.046,100000.0,604091.0,0.7,0.6,0.6,48,48,1,0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MT_WY_CO,NaturalGas_2-on-1 Combined Cycle (F-Frame)_Moderate,500.0,34771,2.22,6.27,0.0,MT_WY_CO_naturalgas,79.0,0.0,0,0.0,0,Moderate,2-on-1 Combined Cycle (F-Frame),2028.0,1410450.709,123046,-1.0,0.984,8269.955,100000.0,114777.0,0.5,3.0,3.0,6,8,1,0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,4,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MT_WY_CO,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS_Moderate,500.0,66927,4.98,7.05,0.0,MT_WY_CO_naturalgas,79.0,0.95,0,0.95,5,Moderate,2-on-1 Combined Cycle (F-Frame) 95% CCS,2028.0,2809745.283,236683,-1.0,0.983,8269.955,100000.0,228414.0,0.5,3.0,3.0,6,8,1,0
MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MT_WY_CO,NaturalGas_Combustion Turbine (F-Frame)_Moderate,100.0,27096,7.44,9.72,3.5,MT_WY_CO_naturalgas,69.0,0.0,0,0.0,0,Moderate,Combustion Turbine (F-Frame),2028.0,1263294.847,111071,-1.0,0.984,8269.955,100000.0,102802.0,0.6,4.8,4.8,0,0,1,0
MT_WY_CO_nuclear_nuclear__large_moderate_0,4,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MT_WY_CO,Nuclear_Nuclear - Large_Moderate,1000.0,187577,3.0,10.5,0.0,MT_WY_CO_uranium,0.0,0.0,1,0.0,0,Moderate,Nuclear - Large,2030.0,8024218.106,320669,-1.0,0.986,6353.046,100000.0,502645.0,0.7,0.6,0.6,48,48,1,0
NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,5,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NM,NaturalGas_2-on-1 Combined Cycle (F-Frame)_Moderate,500.0,34771,2.22,6.27,0.0,NM_naturalgas,79.0,0.0,0,0.0,0,Moderate,2-on-1 Combined Cycle (F-Frame),2028.0,1410450.709,126079,-1.0,1.01,8269.955,100000.0,117810.0,0.5,3.0,3.0,6,8,1,0
NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,5,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NM,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS_Moderate,500.0,66927,4.98,7.05,0.0,NM_naturalgas,79.0,0.95,0,0.95,5,Moderate,2-on-1 Combined Cycle (F-Frame) 95% CCS,2028.0,2809745.283,242957,-1.0,1.01,8269.955,100000.0,234688.0,0.5,3.0,3.0,6,8,1,0
NM_naturalgas_combustion_turbine_fframe_moderate_0,5,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NM,NaturalGas_Combustion Turbine (F-Frame)_Moderate,100.0,27096,7.44,9.72,3.5,NM_naturalgas,69.0,0.0,0,0.0,0,Moderate,Combustion Turbine (F-Frame),2028.0,1263294.847,113787,-1.0,1.01,8269.955,100000.0,105518.0,0.6,4.8,4.8,0,0,1,0
NM_nuclear_nuclear__large_moderate_0,5,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NM,Nuclear_Nuclear - Large_Moderate,1000.0,187577,3.0,10.5,0.0,NM_uranium,0.0,0.0,1,0.0,0,Moderate,Nuclear - Large,2030.0,8024218.106,347647,-1.0,1.07,6353.046,100000.0,545467.0,0.7,0.6,0.6,48,48,1,0
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PNW,NaturalGas_2-on-1 Combined Cycle (F-Frame)_Moderate,500.0,34771,2.22,6.27,0.0,PNW_naturalgas,79.0,0.0,0,0.0,0,Moderate,2-on-1 Combined Cycle (F-Frame),2028.0,1410450.709,132494,-1.0,1.065,8269.955,100000.0,124225.0,0.5,3.0,3.0,6,8,1,0
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,6,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PNW,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS_Moderate,500.0,66927,4.98,7.05,0.0,PNW_naturalgas,79.0,0.95,0,0.95,5,Moderate,2-on-1 Combined Cycle (F-Frame) 95% CCS,2028.0,2809745.283,257828,-1.0,1.074,8269.955,100000.0,249559.0,0.5,3.0,3.0,6,8,1,0
PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PNW,NaturalGas_Combustion Turbine (F-Frame)_Moderate,100.0,27096,7.44,9.72,3.5,PNW_naturalgas,69.0,0.0,0,0.0,0,Moderate,Combustion Turbine (F-Frame),2028.0,1263294.847,119011,-1.0,1.06,8269.955,100000.0,110742.0,0.6,4.8,4.8,0,0,1,0
PNW_nuclear_nuclear__large_moderate_0,6,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PNW,Nuclear_Nuclear - Large_Moderate,1000.0,187577,3.0,10.5,0.0,PNW_uranium,0.0,0.0,1,0.0,0,Moderate,Nuclear - Large,2030.0,8024218.106,354069,-1.0,1.09,6353.046,100000.0,555662.0,0.7,0.6,0.6,48,48,1,0
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,7,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UT_NV,NaturalGas_2-on-1 Combined Cycle (F-Frame)_Moderate,500.0,34771,2.22,6.27,0.0,UT_NV_naturalgas,79.0,0.0,0,0.0,0,Moderate,2-on-1 Combined Cycle (F-Frame),2028.0,1410450.709,133077,-1.0,1.07,8269.955,100000.0,124808.0,0.5,3.0,3.0,6,8,1,0
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,7,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UT_NV,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS_Moderate,500.0,66927,4.98,7.05,0.0,UT_NV_naturalgas,79.0,0.95,0,0.95,5,Moderate,2-on-1 Combined Cycle (F-Frame) 95% CCS,2028.0,2809745.283,258641,-1.0,1.078,8269.955,100000.0,250372.0,0.5,3.0,3.0,6,8,1,0
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,7,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UT_NV,NaturalGas_Combustion Turbine (F-Frame)_Moderate,100.0,27096,7.44,9.72,3.5,UT_NV_naturalgas,69.0,0.0,0,0.0,0,Moderate,Combustion Turbine (F-Frame),2028.0,1263294.847,119272,-1.0,1.062,8269.955,100000.0,111003.0,0.6,4.8,4.8,0,0,1,0
UT_NV_nuclear_nuclear__large_moderate_0,7,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UT_NV,Nuclear_Nuclear - Large_Moderate,1000.0,187577,3.0,10.5,0.0,UT_NV_uranium,0.0,0.0,1,0.0,0,Moderate,Nuclear - Large,2030.0,8024218.106,362901,-1.0,1.118,6353.046,100000.0,569681.0,0.7,0.6,0.6,48,48,1,0
CA_S_nuclear_1,3,0,1,1079.1,1,10.456,60023.763,0.076,0.0,0.0,0.0,21.0,CA_S,Nuclear,187.48,60023,0.08,10.46,0.0,AZ_uranium,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6,48,48,1,0
NM_nuclear_1,5,0,1,1023.6,1,10.456,60023.763,0.076,0.0,0.0,0.0,21.0,NM,Nuclear,187.48,60023,0.08,10.46,0.0,AZ_uranium,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6,48,48,1,0
