Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,heat_rate_mmbtu_mwh,fom_per_mwyr,vom_per_mwh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,CO2_Capture_Fraction_Startup,Commit,CO2_Capture_Fraction,CCS_Disposal_Cost_per_Metric_Ton,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,interconnect_annuity,interconnect_capex_mw,plant_inv_cost_mwyr,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Model,LINK_STAGES
AZ_conventional_steam_coal_1,1,0,1,3790.0,1,10.93,25585.201,0.958,0.329,0.245,7040.478,8.0,AZ,Conventional Steam Coal,319.75,25585,0.96,10.93,16.5,AZ_coal,129.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.2,24,12,1,0
AZ_natural_gas_fired_combined_cycle_1,1,0,1,10138.6,1,7.483,7682.995,3.294,0.485,0.817,3016.784,62.0,AZ,Natural Gas Fired Combined Cycle,158.97,7682,3.29,7.48,2.0,AZ_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,0
AZ_natural_gas_fired_combustion_turbine_1,1,0,1,3639.2,1,11.334,4774.761,5.589,2.564,3.909,4004.989,47.0,AZ,Natural Gas Fired Combustion Turbine,47.47,4774,5.59,11.33,3.5,AZ_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,0
AZ_natural_gas_steam_turbine_1,1,0,1,842.0,1,11.193,16575.761,0.503,0.518,1.97,7399.434,6.0,AZ,Natural Gas Steam Turbine,140.33,16575,0.5,11.19,13.7,AZ_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
AZ_nuclear_1,1,0,1,1834.2,1,10.456,60023.763,0.076,0.0,0.0,0.0,21.0,AZ,Nuclear,187.48,60023,0.08,10.46,0.0,AZ_uranium,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6,48,48,1,0
AZ_other_peaker_1,1,0,1,182.0,1,10.745,3541.0,2.276,0.0,3.924,2879.75,10.0,AZ,Other_peaker,18.2,3541,2.28,10.74,0.0,AZ_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
CA_N_natural_gas_fired_combined_cycle_1,2,0,1,8580.7,1,7.64,8616.438,1.538,1.132,0.907,3037.162,77.0,CA_N,Natural Gas Fired Combined Cycle,111.44,8616,1.54,7.64,2.0,CA_N_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,0
CA_N_natural_gas_fired_combustion_turbine_1,2,0,1,3688.0,1,11.927,3539.548,3.175,2.634,2.97,3843.22,73.0,CA_N,Natural Gas Fired Combustion Turbine,50.52,3539,3.18,11.93,3.5,CA_N_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,0
CA_N_nuclear_1,2,0,1,0.0,1,10.456,60023.763,0.081,0.0,0.0,0.0,0.0,CA_N,Nuclear,1.0,60023,0.08,10.46,0.0,CA_N_uranium,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6,48,48,1,0
CA_N_other_peaker_1,2,0,1,472.4,1,10.639,4269.584,1.299,0.05,4.216,50385.464,65.0,CA_N,Other_peaker,7.27,4269,1.3,10.64,0.0,CA_N_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
CA_S_natural_gas_fired_combined_cycle_1,3,0,1,10812.1,1,7.617,7508.219,1.899,1.726,1.371,2782.683,89.0,CA_S,Natural Gas Fired Combined Cycle,121.48,7508,1.9,7.62,2.0,CA_S_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,0
CA_S_natural_gas_fired_combustion_turbine_1,3,0,1,6826.7,1,11.421,2439.206,2.314,1.167,2.483,3294.804,144.0,CA_S,Natural Gas Fired Combustion Turbine,47.41,2439,2.31,11.42,3.5,CA_S_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,0
CA_S_natural_gas_steam_turbine_1,3,0,1,444.3,1,11.908,11121.776,0.337,1.527,2.234,3544.141,3.0,CA_S,Natural Gas Steam Turbine,148.1,11121,0.34,11.91,13.7,CA_S_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
CA_S_other_peaker_1,3,0,1,28.1,1,12.263,878.769,1.78,6.039,3.385,373.478,35.0,CA_S,Other_peaker,0.8,878,1.78,12.26,0.0,CA_S_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,0
MT_WY_CO_conventional_steam_coal_1,4,0,1,6704.9,1,10.925,22629.473,0.727,0.539,0.758,8252.326,41.0,MT_WY_CO,Conventional Steam Coal,163.53,22629,0.73,10.92,16.5,MT_WY_CO_coal,129.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.2,24,12,1,0
MT_WY_CO_natural_gas_fired_combined_cycle_1,4,0,1,3545.5,1,8.216,8137.855,1.783,1.685,1.208,1888.029,42.0,MT_WY_CO,Natural Gas Fired Combined Cycle,84.42,8137,1.78,8.22,2.0,MT_WY_CO_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,0
MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,0,1,2900.3,1,11.956,5568.158,6.123,3.329,3.318,4068.294,57.0,MT_WY_CO,Natural Gas Fired Combustion Turbine,50.88,5568,6.12,11.96,3.5,MT_WY_CO_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,0
