Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3,TotalCosts_p4,TotalCosts_p5,TotalCosts_p6,TotalCosts_p7,TotalCosts_p8,TotalCosts_p9,TotalCosts_p10,TotalCosts_p11,TotalCosts_p12,TotalCosts_p13,TotalCosts_p14,TotalCosts_p15,TotalCosts_p16,TotalCosts_p17
cFix,1.3847840142451913e11,2.7383873269261627e11,2.855711031575321e11,2.7440969894958908e11,2.874841860159498e11,2.844957883575679e11,3.0612356653866223e11,2.850439222506668e11,3.070091629039981e11,2.830261526210362e11,2.948782586524213e11,2.832416539765103e11,2.9649245774577747e11,2.9152201978094543e11,3.14633638018117e11,2.949268279153374e11,3.164654240345215e11
cVar,3.3782872504877067e9,6.618014399707751e9,6.298371002193291e9,6.570546446822247e9,6.162831914601906e9,8.889004824097103e9,7.950176599505314e9,8.862468695239645e9,7.867903106306069e9,6.623913933686856e9,6.442645292932273e9,6.612220983465952e9,6.315020400063116e9,8.983881990629543e9,8.322832031551516e9,9.300372859194263e9,8.215044801551066e9
cFuel,6.93764617220025e9,5.286768880214674e9,6.86440726181703e9,5.295752538174045e9,6.767631244769339e9,7.010469356094458e9,9.413466451109148e9,7.042994598659697e9,9.437633137576303e9,5.291118948388616e9,6.959238003081195e9,5.334128277375115e9,6.867758620846291e9,7.05540990521401e9,9.671097222885899e9,7.014814054664869e9,9.660939323152636e9
cNSE,2.558276483262635e8,5.939323468649039e8,6.01525999445955e8,5.911711629270344e8,6.122950002922561e8,6.11693099677727e8,3.4068697673874635e8,6.08342791545632e8,3.4566299100613654e8,6.252142788699647e8,6.129554530308743e8,6.272398750840182e8,6.155914056849569e8,6.431095624533298e8,3.2484763933934414e8,6.28114796021914e8,3.235304033097988e8
cStart,17651.61188426768,8.136490950145175e8,1.5329297718863273e9,8.722731490090027e8,1.7223484673480804e9,2.0519461264687216e8,2.1049012359137921e9,2.0998460202093142e8,2.179040621928384e9,9.462656081523658e8,1.6582808356836183e9,9.594830619854189e8,1.825329755881754e9,6.919947009441307e7,2.286160837975152e9,1.7209901790712434e8,2.381808949798094e9
cUnmetRsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cCO2,-4.689380617151073e-12,2.991729636844036e6,1.0010476957559846e7,849974.2823273778,8.0988014415824665e6,-2.958859907626404e-13,4.060896070304258e7,-4.554364423917459e-12,4.019535289047777e7,3.9262582654100154e6,1.4733026314866481e7,3.472924779701431e6,1.3411384011978472e7,7.682459914946724e-11,5.507498817715246e7,2.7600038901691095e-10,5.480170989527635e7
