Fuel,AnnualSum
No_fuel,0.0
AZ_coal,0.0
AZ_naturalgas,2.9023746701847e8
AZ_uranium,3.531734205912006e8
CA_N_naturalgas,8.04138468789503e7
CA_N_uranium,1.7902724884778546e-7
CA_S_naturalgas,7.035886326051384e7
MT_WY_CO_coal,5.43938197317844e8
MT_WY_CO_naturalgas,1.6793820675602606e6
NM_coal,2.2172360483828247e7
NM_naturalgas,4.0267922846759157e6
PNW_coal,0.0
PNW_naturalgas,4.4521595279944277e8
PNW_uranium,1.0338989470371398e8
UT_NV_coal,2.9166694910748124e8
UT_NV_naturalgas,2.9858327282401323e8
CA_S_uranium,8.417078419082687e8
MT_WY_CO_uranium,1.0802069632652174e-8
NM_uranium,3.765049738646553e-8
UT_NV_uranium,2.9983506443945256e-7
None,0.0
