Time_Index,Hybrid_Wind_Test
1,0.343
2,0.402
3,0.407
4,0.405
5,0.399
6,0.365
7,0.335
8,0.289
9,0.266
10,0.235
11,0.259
12,0.304
13,0.326
14,0.348
15,0.355
16,0.4
17,0.413
18,0.462
19,0.537
20,0.64
21,0.742
22,0.784
23,0.839
24,0.88
25,0.898
26,0.913
27,0.913
28,0.914
29,0.915
30,0.907
31,0.908
32,0.902
33,0.911
34,0.918
35,0.933
36,0.932
37,0.927
38,0.912
39,0.91
40,0.917
41,0.93
42,0.949
43,0.949
44,0.947
45,0.946
46,0.935
47,0.902
48,0.898
49,0.91
50,0.918
51,0.921
52,0.902
53,0.888
54,0.895
55,0.912
56,0.915
57,0.911
58,0.881
59,0.865
60,0.893
61,0.909
62,0.886
63,0.842
64,0.81
65,0.795
66,0.798
67,0.843
68,0.856
69,0.862
70,0.847
71,0.83
72,0.834
73,0.827
74,0.831
75,0.853
76,0.881
77,0.899
78,0.916
79,0.887
80,0.801
81,0.746
82,0.763
83,0.787
84,0.769
85,0.73
86,0.654
87,0.551
88,0.473
89,0.436
90,0.392
91,0.415
92,0.493
93,0.503
94,0.449
95,0.377
96,0.338
97,0.317
98,0.287
99,0.336
100,0.329
101,0.295
102,0.286
103,0.301
104,0.343
105,0.3
106,0.283
107,0.271
108,0.217
109,0.172
110,0.118
111,0.089
112,0.111
113,0.143
114,0.17
115,0.239
116,0.293
117,0.367
118,0.545
119,0.748
120,0.875
121,0.94
122,0.975
123,0.973
124,0.932
125,0.857
126,0.826
127,0.8
128,0.679
129,0.655
130,0.639
131,0.633
132,0.649
133,0.683
134,0.728
135,0.776
136,0.812
137,0.829
138,0.875
139,0.92
140,0.986
141,0.988
142,0.97
143,0.953
144,0.937
145,0.878
146,0.853
147,0.85
148,0.867
149,0.93
150,0.961
151,0.979
152,0.989
153,0.991
154,0.996
155,0.995
156,0.973
157,0.906
158,0.817
159,0.719
160,0.6
161,0.515
162,0.443
163,0.401
164,0.401
165,0.403
166,0.399
167,0.39
168,0.391
169,0.397
170,0.393
171,0.418
172,0.44
173,0.46
174,0.465
175,0.456
176,0.455
177,0.534
178,0.639
179,0.722
180,0.739
181,0.711
182,0.699
183,0.742
184,0.79
185,0.767
186,0.767
187,0.795
188,0.793
189,0.708
190,0.59
191,0.494
192,0.46
193,0.445
194,0.454
195,0.528
196,0.597
197,0.607
198,0.603
199,0.68
200,0.718
201,0.736
202,0.764
203,0.819
204,0.857
205,0.859
206,0.823
207,0.803
208,0.788
209,0.786
210,0.752
211,0.696
212,0.639
213,0.638
214,0.669
215,0.713
216,0.763
217,0.786
218,0.787
219,0.773
220,0.806
221,0.883
222,0.865
223,0.812
224,0.692
225,0.654
226,0.722
227,0.757
228,0.8
229,0.855
230,0.861
231,0.839
232,0.856
233,0.888
234,0.919
235,0.92
236,0.864
237,0.763
238,0.622
239,0.551
240,0.548
241,0.55
242,0.619
243,0.564
244,0.488
245,0.428
246,0.451
247,0.497
248,0.488
249,0.453
250,0.419
251,0.459
252,0.458
253,0.47
254,0.498
255,0.493
256,0.48
257,0.468
258,0.463
259,0.453
260,0.443
261,0.406
262,0.365
263,0.335
264,0.309
265,0.279
266,0.259
267,0.239
268,0.226
269,0.225
270,0.228
271,0.233
272,0.241
273,0.248
274,0.238
275,0.237
276,0.238
277,0.242
278,0.241
279,0.23
280,0.236
281,0.242
282,0.224
283,0.215
284,0.216
285,0.213
286,0.201
287,0.2
288,0.19
289,0.157
290,0.136
291,0.117
292,0.084
293,0.064
294,0.045
295,0.03
296,0.024
297,0.022
298,0.023
299,0.026
300,0.039
301,0.064
302,0.089
303,0.107
304,0.159
305,0.162
306,0.147
307,0.146
308,0.183
309,0.206
310,0.22
311,0.185
312,0.151
313,0.145
314,0.148
315,0.149
316,0.156
317,0.163
318,0.146
319,0.136
320,0.138
321,0.193
322,0.205
323,0.211
324,0.234
325,0.278
326,0.329
327,0.332
328,0.348
329,0.403
330,0.354
331,0.277
332,0.294
333,0.408
334,0.592
335,0.691
336,0.733
337,0.768
338,0.814
339,0.85
340,0.893
341,0.927
342,0.951
343,0.967
344,0.98
345,0.981
346,0.982
347,0.977
348,0.973
349,0.965
350,0.956
351,0.968
352,0.971
353,0.97
354,0.986
355,0.986
356,0.985
357,0.991
358,0.981
359,0.972
360,0.971
361,0.971
362,0.939
363,0.913
364,0.897
365,0.867
366,0.835
367,0.813
368,0.76
369,0.686
370,0.62
371,0.578
372,0.55
373,0.531
374,0.506
375,0.511
376,0.535
377,0.501
378,0.45
379,0.396
380,0.374
381,0.363
382,0.351
383,0.35
384,0.374
385,0.428
386,0.539
387,0.67
388,0.743
389,0.796
390,0.832
391,0.863
392,0.896
393,0.945
394,0.969
395,0.969
396,0.953
397,0.936
398,0.9
399,0.867
400,0.877
401,0.866
402,0.837
403,0.786
404,0.772
405,0.777
406,0.773
407,0.809
408,0.861
409,0.878
410,0.926
411,0.893
412,0.772
413,0.69
414,0.7
415,0.842
416,0.885
417,0.892
418,0.929
419,0.946
420,0.94
421,0.92
422,0.891
423,0.865
424,0.848
425,0.862
426,0.88
427,0.879
428,0.89
429,0.901
430,0.914
431,0.919
432,0.918
433,0.907
434,0.891
435,0.878
436,0.867
437,0.861
438,0.846
439,0.807
440,0.718
441,0.662
442,0.613
443,0.528
444,0.458
445,0.429
446,0.412
447,0.43
448,0.447
449,0.434
450,0.405
451,0.374
452,0.326
453,0.29
454,0.274
455,0.272
456,0.29
457,0.295
458,0.301
459,0.303
460,0.302
461,0.297
462,0.294
463,0.314
464,0.329
465,0.323
466,0.27
467,0.19
468,0.158
469,0.134
470,0.136
471,0.166
472,0.253
473,0.353
474,0.422
475,0.475
476,0.522
477,0.51
478,0.495
479,0.474
480,0.456
481,0.409
482,0.406
483,0.427
484,0.454
485,0.488
486,0.551
487,0.655
488,0.683
489,0.683
490,0.723
491,0.742
492,0.749
493,0.722
494,0.611
495,0.458
496,0.377
497,0.328
498,0.243
499,0.194
500,0.192
501,0.295
502,0.525
503,0.665
504,0.775
505,0.852
506,0.863
507,0.893
508,0.926
509,0.946
510,0.962
511,0.97
512,0.977
513,0.983
514,0.981
515,0.979
516,0.979
517,0.979
518,0.979
519,0.98
520,0.979
521,0.975
522,0.972
523,0.972
524,0.971
525,0.966
526,0.962
