Sum Range ID,Index 1,MODEL_YEARS,Multiplier
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_48,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_48_Generic,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_55,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_55_Generic,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_62,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_62_Generic,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_77,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_77_Generic,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_90,2035,1.0
Arizona_Li_Battery_4hr_MinBuild,Arizona_Li_Battery_4hr_90_Generic,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_48,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_48_Generic,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_55,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_55_Generic,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_62,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_62_Generic,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_77,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_77_Generic,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_90,2035,1.0
Arizona_Li_Battery_8hr_MinBuild,Arizona_Li_Battery_8hr_90_Generic,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_48,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_48_Generic,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_55,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_55_Generic,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_62,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_62_Generic,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_77,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_77_Generic,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_90,2035,1.0
Arizona_Solar_MinBuild,Arizona_Solar_90_Generic,2035,1.0
Baja_California_Wind_MinBuild,Baja_California_Wind_133,2035,1.0
Baja_California_Wind_MinBuild,Baja_California_Wind_133_Generic,2035,1.0
Cape_Mendocino_Offshore_Wind_MinBuild,Cape_Mendocino_Offshore_Wind_Asset,2035,1.0
Central_Nevada_Geothermal_MinBuild,Central_Nevada_Geothermal_42,2035,1.0
Central_Nevada_Geothermal_MinBuild,Central_Nevada_Geothermal_42_Generic,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_125,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_125_Generic,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_154,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_154_Generic,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_162,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_162_Generic,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_17,2035,1.0
Central_Valley_North_Los_Banos_Wind_MinBuild,Central_Valley_North_Los_Banos_Wind_17_Generic,2035,1.0
Greater_Imperial_Geothermal_MinBuild,Greater_Imperial_Geothermal_20,2035,1.0
