Time_Index,CO2_tons_MWh_1
1,0.44
2,0.46
3,0.46
4,0.46
5,0.43
6,0.43
7,0.45
8,0.44
9,0.46
10,0.46
11,0.43
12,0.45
13,0.43
14,0.44
15,0.43
16,0.43
17,0.42
18,0.43
19,0.45
20,0.42
21,0.43
22,0.45
23,0.45
24,0.42
25,0.46
26,0.42
27,0.46
28,0.43
29,0.45
30,0.44
31,0.46
32,0.44
33,0.46
34,0.43
35,0.45
36,0.45
37,0.46
38,0.42
39,0.43
40,0.45
41,0.42
42,0.43
43,0.43
44,0.45
45,0.46
46,0.44
47,0.45
48,0.43
49,0.42
50,0.43
51,0.44
52,0.46
53,0.42
54,0.42
55,0.46
56,0.42
57,0.45
58,0.44
59,0.46
60,0.45
61,0.46
62,0.43
63,0.44
64,0.44
65,0.43
66,0.42
67,0.46
68,0.42
69,0.46
70,0.42
71,0.45
72,0.42
73,0.44
74,0.44
75,0.43
76,0.46
77,0.44
78,0.42
79,0.45
80,0.46
81,0.42
82,0.45
83,0.43
84,0.44
85,0.43
86,0.46
87,0.43
88,0.44
89,0.44
90,0.43
91,0.42
92,0.46
93,0.44
94,0.45
95,0.42
96,0.42
97,0.42
98,0.42
99,0.42
100,0.42
101,0.42
102,0.42
103,0.42
104,0.44
105,0.44
106,0.45
107,0.46
108,0.45
109,0.43
110,0.46
111,0.45
112,0.43
113,0.46
114,0.45
115,0.45
116,0.43
117,0.43
118,0.45
119,0.44
120,0.44
121,0.42
122,0.45
123,0.46
124,0.42
125,0.44
126,0.45
127,0.42
128,0.44
129,0.45
130,0.45
131,0.43
132,0.45
133,0.44
134,0.45
135,0.46
136,0.42
137,0.45
138,0.44
139,0.43
140,0.43
141,0.43
142,0.45
143,0.46
144,0.42
145,0.42
146,0.42
147,0.42
148,0.42
149,0.43
150,0.42
151,0.45
152,0.43
153,0.46
154,0.45
155,0.46
156,0.43
157,0.46
158,0.44
159,0.42
160,0.46
161,0.45
162,0.44
163,0.46
164,0.46
165,0.46
166,0.42
167,0.45
168,0.45
169,0.42
170,0.46
171,0.43
172,0.45
173,0.42
174,0.44
175,0.43
176,0.43
177,0.43
178,0.42
179,0.42
180,0.46
181,0.44
182,0.44
183,0.44
184,0.42
185,0.44
186,0.43
187,0.46
188,0.45
189,0.44
190,0.43
191,0.44
192,0.46
193,0.42
194,0.43
195,0.45
196,0.46
197,0.45
198,0.42
199,0.44
200,0.46
201,0.42
202,0.45
203,0.43
204,0.46
205,0.46
206,0.44
207,0.44
208,0.43
209,0.42
210,0.43
211,0.45
212,0.45
213,0.44
214,0.44
215,0.44
216,0.43
217,0.44
218,0.42
219,0.42
220,0.43
221,0.42
222,0.46
223,0.42
224,0.43
225,0.42
226,0.44
227,0.46
228,0.46
229,0.46
230,0.46
231,0.45
232,0.45
233,0.43
234,0.43
235,0.43
236,0.46
237,0.44
238,0.42
239,0.46
240,0.42
241,0.46
242,0.42
243,0.43
244,0.44
245,0.44
246,0.46
247,0.46
248,0.46
249,0.43
250,0.46
251,0.45
252,0.46
253,0.45
254,0.45
255,0.43
256,0.43
257,0.46
258,0.44
259,0.46
260,0.43
261,0.46
262,0.46
263,0.44
264,0.45
265,0.45
266,0.45
267,0.43
268,0.45
269,0.43
270,0.44
271,0.43
272,0.43
273,0.42
274,0.46
275,0.44
276,0.46
277,0.42
278,0.42
279,0.43
280,0.46
281,0.45
282,0.45
283,0.44
284,0.46
285,0.42
286,0.46
287,0.44
288,0.46
289,0.45
290,0.44
291,0.44
292,0.42
293,0.46
294,0.45
295,0.46
296,0.44
297,0.43
298,0.45
299,0.46
300,0.43
301,0.44
302,0.45
303,0.42
304,0.44
305,0.44
306,0.45
307,0.44
308,0.42
309,0.45
310,0.43
311,0.44
312,0.44
313,0.46
314,0.43
315,0.44
316,0.44
317,0.44
318,0.45
319,0.45
320,0.45
321,0.43
322,0.44
323,0.44
324,0.42
325,0.42
326,0.45
327,0.43
328,0.43
329,0.46
330,0.46
331,0.42
332,0.44
333,0.46
334,0.45
335,0.44
336,0.44
337,0.45
338,0.43
339,0.45
340,0.46
341,0.43
342,0.45
343,0.45
344,0.45
345,0.44
346,0.46
347,0.45
348,0.42
349,0.46
350,0.42
351,0.44
352,0.43
353,0.42
354,0.44
355,0.42
356,0.45
357,0.43
358,0.43
359,0.44
360,0.46
361,0.43
362,0.43
363,0.45
364,0.42
365,0.44
366,0.46
367,0.43
368,0.46
369,0.42
370,0.44
371,0.44
372,0.42
373,0.45
374,0.45
375,0.42
376,0.44
377,0.43
378,0.43
379,0.44
380,0.42
381,0.42
382,0.42
383,0.42
384,0.46
385,0.44
386,0.43
387,0.46
388,0.43
389,0.43
390,0.45
391,0.45
392,0.46
393,0.44
394,0.45
395,0.44
396,0.46
397,0.46
398,0.44
399,0.42
400,0.45
401,0.45
402,0.43
403,0.45
404,0.43
405,0.45
406,0.43
407,0.46
408,0.45
409,0.46
410,0.45
411,0.42
412,0.43
413,0.44
414,0.43
415,0.43
416,0.44
417,0.46
418,0.45
419,0.42
420,0.45
421,0.42
422,0.42
423,0.44
424,0.46
425,0.45
426,0.43
427,0.45
428,0.46
429,0.46
430,0.42
431,0.43
432,0.45
433,0.42
434,0.45
435,0.45
436,0.46
437,0.43
438,0.42
439,0.42
440,0.42
441,0.46
442,0.46
443,0.43
444,0.42
445,0.46
446,0.43
447,0.43
448,0.42
449,0.43
450,0.43
451,0.45
452,0.44
453,0.42
454,0.46
455,0.42
456,0.43
457,0.44
458,0.46
459,0.45
460,0.42
461,0.45
462,0.46
463,0.42
464,0.42
465,0.44
466,0.43
467,0.44
468,0.42
469,0.42
470,0.45
471,0.46
472,0.42
473,0.44
474,0.43
475,0.45
476,0.43
477,0.44
478,0.45
479,0.45
480,0.45
481,0.46
482,0.46
483,0.45
484,0.42
485,0.43
486,0.44
487,0.46
488,0.42
489,0.42
490,0.43
491,0.43
492,0.46
493,0.46
494,0.43
495,0.45
496,0.44
497,0.44
498,0.44
499,0.42
500,0.44
501,0.46
502,0.42
503,0.43
504,0.45
505,0.45
506,0.42
507,0.44
508,0.42
509,0.43
510,0.45
511,0.43
512,0.46
513,0.42
514,0.42
515,0.44
516,0.42
517,0.46
518,0.45
519,0.43
520,0.43
521,0.43
522,0.44
523,0.45
524,0.46
525,0.45
526,0.42
527,0.46
528,0.43
529,0.43
530,0.43
531,0.46
532,0.42
533,0.42
534,0.42
535,0.45
536,0.45
537,0.42
538,0.42
539,0.42
540,0.43
541,0.45
542,0.46
543,0.45
544,0.42
545,0.44
546,0.42
547,0.42
548,0.43
549,0.42
550,0.45
551,0.42
552,0.46
553,0.42
554,0.44
555,0.46
556,0.45
557,0.42
558,0.43
559,0.42
560,0.44
561,0.46
562,0.44
563,0.44
564,0.46
565,0.46
566,0.42
567,0.43
568,0.43
569,0.42
570,0.43
571,0.44
572,0.43
573,0.42
574,0.44
575,0.43
576,0.45
577,0.43
578,0.45
579,0.42
580,0.45
581,0.46
582,0.46
583,0.45
584,0.42
585,0.44
586,0.45
587,0.45
588,0.42
589,0.46
590,0.42
591,0.44
592,0.44
593,0.44
594,0.44
595,0.45
596,0.44
597,0.46
598,0.44
599,0.45
600,0.44
601,0.46
602,0.43
603,0.43
604,0.46
605,0.45
606,0.46
607,0.44
608,0.46
609,0.44
610,0.46
611,0.44
612,0.46
613,0.46
614,0.42
615,0.46
616,0.42
617,0.44
618,0.45
619,0.44
620,0.45
621,0.46
622,0.43
623,0.45
624,0.42
625,0.45
626,0.43
627,0.44
628,0.43
629,0.45
630,0.44
631,0.42
632,0.46
633,0.43
634,0.45
635,0.42
636,0.42
637,0.46
638,0.43
639,0.43
640,0.46
641,0.44
642,0.45
643,0.44
644,0.43
645,0.45
646,0.43
647,0.46
648,0.45
649,0.42
650,0.43
651,0.45
652,0.43
653,0.43
654,0.46
655,0.42
656,0.46
657,0.46
658,0.46
659,0.44
660,0.44
661,0.42
662,0.43
663,0.45
664,0.43
665,0.46
666,0.43
667,0.45
668,0.42
669,0.43
670,0.44
671,0.45
672,0.46
673,0.46
674,0.46
675,0.45
676,0.45
677,0.44
678,0.44
679,0.43
680,0.43
681,0.44
682,0.46
683,0.46
684,0.46
685,0.45
686,0.45
687,0.46
688,0.45
689,0.46
690,0.46
691,0.44
692,0.46
693,0.45
694,0.45
695,0.46
696,0.45
697,0.45
698,0.42
699,0.46
700,0.42
701,0.42
702,0.42
703,0.45
704,0.42
705,0.46
706,0.46
707,0.42
708,0.43
709,0.42
710,0.46
711,0.46
712,0.43
713,0.44
714,0.43
715,0.43
716,0.43
717,0.45
718,0.46
719,0.46
720,0.46
721,0.42
722,0.46
723,0.46
724,0.42
725,0.43
726,0.46
727,0.43
728,0.46
729,0.46
730,0.43
731,0.44
732,0.42
733,0.43
734,0.42
735,0.43
736,0.42
737,0.44
738,0.44
739,0.45
740,0.43
741,0.42
742,0.46
743,0.46
744,0.44
745,0.46
746,0.44
747,0.46
748,0.44
749,0.42
750,0.46
751,0.42
752,0.42
753,0.42
754,0.43
755,0.45
756,0.43
757,0.46
758,0.46
759,0.42
760,0.44
761,0.46
762,0.46
763,0.44
764,0.42
765,0.46
766,0.44
767,0.44
768,0.44
769,0.43
770,0.44
771,0.45
772,0.45
773,0.46
774,0.42
775,0.44
776,0.45
777,0.45
778,0.46
779,0.44
780,0.45
781,0.42
782,0.43
783,0.45
784,0.42
785,0.43
786,0.45
787,0.46
788,0.44
789,0.46
790,0.46
791,0.43
792,0.44
793,0.44
794,0.42
795,0.45
796,0.44
797,0.43
798,0.45
799,0.42
800,0.45
801,0.46
802,0.44
803,0.46
804,0.44
805,0.42
806,0.45
807,0.46
808,0.45
809,0.46
810,0.44
811,0.46
812,0.45
813,0.45
814,0.44
815,0.44
816,0.42
817,0.45
818,0.45
819,0.42
820,0.43
821,0.45
822,0.42
823,0.43
824,0.42
825,0.42
826,0.43
827,0.46
828,0.44
829,0.44
830,0.46
831,0.44
832,0.43
833,0.45
834,0.43
835,0.45
836,0.43
837,0.45
838,0.43
839,0.42
840,0.44
841,0.46
842,0.46
843,0.44
844,0.46
845,0.44
846,0.45
847,0.42
848,0.43
849,0.45
850,0.46
851,0.44
852,0.46
853,0.44
854,0.43
855,0.42
856,0.45
857,0.45
858,0.44
859,0.43
860,0.45
861,0.42
862,0.46
863,0.42
864,0.44
865,0.45
866,0.42
867,0.45
868,0.43
869,0.44
870,0.44
871,0.46
872,0.45
873,0.42
874,0.45
875,0.45
876,0.46
877,0.44
878,0.42
879,0.43
880,0.45
881,0.45
882,0.44
883,0.42
884,0.42
885,0.45
886,0.45
887,0.46
888,0.46
889,0.46
890,0.44
891,0.43
892,0.42
893,0.46
894,0.46
895,0.46
896,0.43
897,0.42
898,0.46
899,0.44
900,0.44
901,0.46
902,0.44
903,0.42
904,0.45
905,0.46
906,0.45
907,0.42
908,0.42
909,0.46
910,0.42
911,0.45
912,0.44
913,0.42
914,0.45
915,0.46
916,0.45
917,0.46
918,0.44
919,0.44
920,0.45
921,0.42
922,0.42
923,0.45
924,0.42
925,0.42
926,0.46
927,0.43
928,0.44
929,0.45
930,0.45
931,0.44
932,0.43
933,0.46
934,0.44
935,0.46
936,0.45
937,0.44
938,0.46
939,0.45
940,0.44
941,0.42
942,0.42
943,0.45
944,0.44
945,0.42
946,0.42
947,0.44
948,0.42
949,0.42
950,0.44
951,0.46
952,0.46
953,0.44
954,0.43
955,0.43
956,0.46
957,0.45
958,0.46
959,0.45
960,0.45
961,0.46
962,0.43
963,0.43
964,0.45
965,0.42
966,0.45
967,0.46
968,0.45
969,0.46
970,0.43
971,0.46
972,0.44
973,0.46
974,0.42
975,0.43
976,0.45
977,0.46
978,0.43
979,0.45
980,0.45
981,0.46
982,0.42
983,0.42
984,0.42
985,0.43
986,0.45
987,0.46
988,0.45
989,0.46
990,0.43
991,0.44
992,0.43
993,0.45
994,0.46
995,0.46
996,0.44
997,0.43
998,0.46
999,0.44
1000,0.43
1001,0.44
1002,0.44
1003,0.43
1004,0.42
1005,0.42
1006,0.42
1007,0.44
1008,0.43
1009,0.42
