Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.233903705561939e8
AZ_naturalgas,2.3146277655469432e8
AZ_uranium,3.3733112373038965e8
CA_N_naturalgas,2.6239384701118156e7
CA_N_uranium,8.616219976511574e7
CA_S_naturalgas,2.6709040596437627e6
MT_WY_CO_coal,3.8009098164812833e8
MT_WY_CO_naturalgas,27706.274790452328
NM_coal,1.8849713488902472e7
NM_naturalgas,1.155747477263318e6
PNW_coal,0.0
PNW_naturalgas,2.6946844383322316e8
PNW_uranium,1.0017432692999983e8
UT_NV_coal,2.7275080201954657e8
UT_NV_naturalgas,2.6005968664168867e8
CA_S_uranium,7.524702894661648e8
MT_WY_CO_uranium,-7.10032862838439e-9
NM_uranium,3.72701516315724e-8
UT_NV_uranium,-2.782760957587235e-8
None,0.0
