Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,curtailment_cost_per_mwh,region,cluster
Aquamarine_Westside,1,1,0,0,50,0,0,0,76232.2,0,1,1,0,0,5,CCA,1
Arizona_Solar,1,1,1,0,0,9999,0,31036.3,20253.1,0,1,1,0,0,5,CCA,1
Humboldt_Bay_Offshore_Wind,1,1,1,0,0,0,0,184772.3,86241.5,0,1,1,0,0,5,CCA,1
Morro_Bay_Offshore_Wind,1,1,1,0,0,0,0,189406.3,89774.5,0,1,1,0,0,5,CCA,1
New_Mexico_Wind,1,1,1,0,0,9999,0,136712,45863,0,1,1,0,0,5,CCA,1
Northern_California_Solar,1,1,1,0,0,9999,0,38330.8,20588.5,0,1,1,0,0,5,CCA,1
Northern_California_Wind,1,1,1,0,0,9999,0,52838.6,47060.7,0,1,1,0,0,5,CCA,1
NW_Ext_Tx_Wind,1,1,1,0,0,9999,0,79652.2,45867.9,0,1,1,0,0,5,CCA,1
Riverside_Palm_Springs_Wind,1,1,1,0,0,9999,0,42445.8,47060.7,0,1,1,0,0,5,CCA,1
Riverside_Solar,1,1,1,0,0,9999,0,29809.2,20637,0,1,1,0,0,5,CCA,1
Wyoming_Wind,1,1,1,0,0,9999,0,151044,45867.9,0,1,1,0,0,5,CCA,1
