Resource,Derating_factor_1,Derating_factor_3,Derating_factor_2,Derating_factor_4
AZ_biomass_1,0.0,0.9,0.0,0.0
AZ_conventional_hydroelectric_1,0.0,0.8,0.0,0.0
AZ_conventional_steam_coal_1,0.0,0.9,0.0,0.0
AZ_hydroelectric_pumped_storage_1,0.0,0.95,0.0,0.0
AZ_natural_gas_fired_combined_cycle_1,0.0,0.9,0.0,0.0
AZ_natural_gas_fired_combustion_turbine_1,0.0,0.9,0.0,0.0
AZ_natural_gas_steam_turbine_1,0.0,0.9,0.0,0.0
AZ_nuclear_1,0.0,0.9,0.0,0.0
AZ_onshore_wind_turbine_1,0.0,0.8,0.0,0.0
AZ_other_peaker_1,0.0,0.9,0.0,0.0
AZ_run_of_river_hydroelectric_1,0.0,0.8,0.0,0.0
AZ_solar_photovoltaic_1,0.0,0.8,0.0,0.0
CA_N_biomass_1,0.9,0.0,0.0,0.0
CA_N_conventional_hydroelectric_1,0.8,0.0,0.0,0.0
CA_N_geothermal_1,0.9,0.0,0.0,0.0
CA_N_hydroelectric_pumped_storage_1,0.95,0.0,0.0,0.0
CA_N_natural_gas_fired_combined_cycle_1,0.9,0.0,0.0,0.0
CA_N_natural_gas_fired_combustion_turbine_1,0.9,0.0,0.0,0.0
CA_N_nuclear_1,0.9,0.0,0.0,0.0
CA_N_onshore_wind_turbine_1,0.8,0.0,0.0,0.0
CA_N_other_peaker_1,0.9,0.0,0.0,0.0
CA_N_run_of_river_hydroelectric_1,0.8,0.0,0.0,0.0
CA_N_solar_photovoltaic_1,0.8,0.0,0.0,0.0
CA_S_biomass_1,0.9,0.0,0.0,0.0
CA_S_conventional_hydroelectric_1,0.8,0.0,0.0,0.0
CA_S_geothermal_1,0.9,0.0,0.0,0.0
CA_S_hydroelectric_pumped_storage_1,0.95,0.0,0.0,0.0
CA_S_natural_gas_fired_combined_cycle_1,0.9,0.0,0.0,0.0
CA_S_natural_gas_fired_combustion_turbine_1,0.9,0.0,0.0,0.0
CA_S_natural_gas_steam_turbine_1,0.9,0.0,0.0,0.0
CA_S_onshore_wind_turbine_1,0.8,0.0,0.0,0.0
CA_S_other_peaker_1,0.9,0.0,0.0,0.0
CA_S_run_of_river_hydroelectric_1,0.8,0.0,0.0,0.0
CA_S_solar_photovoltaic_1,0.8,0.0,0.0,0.0
MT_WY_CO_biomass_1,0.0,0.0,0.9,0.0
MT_WY_CO_conventional_hydroelectric_1,0.0,0.0,0.8,0.0
MT_WY_CO_conventional_steam_coal_1,0.0,0.0,0.9,0.0
MT_WY_CO_hydroelectric_pumped_storage_1,0.0,0.0,0.95,0.0
MT_WY_CO_natural_gas_fired_combined_cycle_1,0.0,0.0,0.9,0.0
MT_WY_CO_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.9,0.0
MT_WY_CO_natural_gas_steam_turbine_1,0.0,0.0,0.9,0.0
MT_WY_CO_onshore_wind_turbine_1,0.0,0.0,0.8,0.0
MT_WY_CO_other_peaker_1,0.0,0.0,0.9,0.0
MT_WY_CO_run_of_river_hydroelectric_1,0.0,0.0,0.8,0.0
MT_WY_CO_solar_photovoltaic_1,0.0,0.0,0.8,0.0
NM_biomass_1,0.0,0.0,0.0,0.9
NM_conventional_steam_coal_1,0.0,0.0,0.0,0.9
NM_geothermal_1,0.0,0.0,0.0,0.9
NM_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.9
NM_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.9
NM_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.9
NM_onshore_wind_turbine_1,0.0,0.0,0.0,0.8
NM_other_peaker_1,0.0,0.0,0.0,0.9
NM_run_of_river_hydroelectric_1,0.0,0.0,0.0,0.8
NM_solar_photovoltaic_1,0.0,0.0,0.0,0.8
PNW_biomass_1,0.0,0.0,0.9,0.0
PNW_conventional_hydroelectric_1,0.0,0.0,0.8,0.0
PNW_conventional_steam_coal_1,0.0,0.0,0.9,0.0
PNW_geothermal_1,0.0,0.0,0.9,0.0
PNW_hydroelectric_pumped_storage_1,0.0,0.0,0.95,0.0
PNW_natural_gas_fired_combined_cycle_1,0.0,0.0,0.9,0.0
PNW_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.9,0.0
PNW_nuclear_1,0.0,0.0,0.9,0.0
PNW_onshore_wind_turbine_1,0.0,0.0,0.8,0.0
PNW_other_peaker_1,0.0,0.0,0.9,0.0
PNW_run_of_river_hydroelectric_1,0.0,0.0,0.8,0.0
PNW_solar_photovoltaic_1,0.0,0.0,0.8,0.0
UT_NV_biomass_1,0.0,0.0,0.9,0.0
UT_NV_conventional_hydroelectric_1,0.0,0.0,0.8,0.0
UT_NV_conventional_steam_coal_1,0.0,0.0,0.9,0.0
UT_NV_geothermal_1,0.0,0.0,0.9,0.0
UT_NV_natural_gas_fired_combined_cycle_1,0.0,0.0,0.9,0.0
UT_NV_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.9,0.0
UT_NV_natural_gas_steam_turbine_1,0.0,0.0,0.9,0.0
UT_NV_onshore_wind_turbine_1,0.0,0.0,0.8,0.0
UT_NV_other_peaker_1,0.0,0.0,0.9,0.0
UT_NV_run_of_river_hydroelectric_1,0.0,0.0,0.8,0.0
UT_NV_solar_photovoltaic_1,0.0,0.0,0.8,0.0
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.0,0.9,0.0,0.0
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.0,0.9,0.0,0.0
AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.0,0.9,0.0,0.0
AZ_utilityscale_battery_storage_lithium_ion_conservative_0,0.0,0.95,0.0,0.0
AZ_nuclear_nuclear__large_advanced_0,0.0,0.9,0.0,0.0
AZ_landbasedwind_class3_conservative_0,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_1,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_2,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_3,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_4,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_5,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_6,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_7,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_8,0.0,0.8,0.0,0.0
AZ_landbasedwind_class3_conservative_9,0.0,0.8,0.0,0.0
AZ_utilitypv_class1_conservative_1,0.0,0.8,0.0,0.0
AZ_utilitypv_class1_conservative_2,0.0,0.8,0.0,0.0
AZ_utilitypv_class1_conservative_3,0.0,0.8,0.0,0.0
AZ_utilitypv_class1_conservative_4,0.0,0.8,0.0,0.0
AZ_utilitypv_class1_conservative_5,0.0,0.8,0.0,0.0
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.9,0.0,0.0,0.0
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.9,0.0,0.0,0.0
CA_N_naturalgas_combustion_turbine_fframe_moderate_0,0.9,0.0,0.0,0.0
CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,0.95,0.0,0.0,0.0
CA_N_nuclear_nuclear__large_advanced_0,0.9,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_0,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_1,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_2,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_3,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_4,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_5,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_6,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_7,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_8,0.8,0.0,0.0,0.0
CA_N_landbasedwind_class3_conservative_9,0.8,0.0,0.0,0.0
CA_N_utilitypv_class1_conservative_1,0.8,0.0,0.0,0.0
CA_N_utilitypv_class1_conservative_2,0.8,0.0,0.0,0.0
CA_N_utilitypv_class1_conservative_3,0.8,0.0,0.0,0.0
CA_N_utilitypv_class1_conservative_4,0.8,0.0,0.0,0.0
CA_N_utilitypv_class1_conservative_5,0.8,0.0,0.0,0.0
CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,0.9,0.0,0.0,0.0
CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0.9,0.0,0.0,0.0
CA_S_naturalgas_combustion_turbine_fframe_moderate_0,0.9,0.0,0.0,0.0
CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,0.95,0.0,0.0,0.0
CA_S_nuclear_nuclear__large_advanced_0,0.9,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_0,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_1,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_2,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_3,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_4,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_5,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_6,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_7,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_8,0.8,0.0,0.0,0.0
CA_S_landbasedwind_class3_conservative_9,0.8,0.0,0.0,0.0
CA_S_utilitypv_class1_conservative_1,0.8,0.0,0.0,0.0
CA_S_utilitypv_class1_conservative_2,0.8,0.0,0.0,0.0
CA_S_utilitypv_class1_conservative_3,0.8,0.0,0.0,0.0
