ELCC_Surface,Facet,Axis_0,Axis_1,Axis_2
In-State_Wind,1,0.0,0.136,0.0
In-State_Wind,2,153.9178522867,0.108,0.0
In-State_Wind,3,99.5939044208,0.114,0.0
Offshore_Wind,1,0.0,0.5,0.0
Offshore_Wind,2,199.1878088416,0.4266666667,0.0
Out-of-State_Wind,1,172.0258349086,0.1933333333,0.0
Out-of-State_Wind,2,0.0,0.2333333333,0.0
Out-of-State_Wind,3,45.2699565549,0.2166666667,0.0
Solar_Storage,1,17695.0101155747,0.0094897919,0.3571428571
Solar_Storage,10,0.0,0.2583225108,0.92
Solar_Storage,11,0.0,0.2706773308,0.8705807203
Solar_Storage,12,6547.5878932804,0.2478321204,0.3251756155
Solar_Storage,13,5422.4712926042,0.015,0.9482254706
Solar_Storage,14,11530.1696384817,0.0419134846,0.5192613208
Solar_Storage,15,11521.020396305,0.0421300247,0.5190808707
Solar_Storage,16,11157.2853455511,0.0593474535,0.4903851561
Solar_Storage,17,4867.9513585937,0.0324372141,0.8968044564
Solar_Storage,18,4766.3804997385,0.0436555658,0.8687585771
Solar_Storage,19,2495.8221174338,0.132847393,0.8705807203
Solar_Storage,2,11764.1527100675,0.3969751652,0.0753333333
Solar_Storage,20,4001.2161912461,0.132847393,0.7043121629
Solar_Storage,21,3043.4386557731,0.0925250998,0.9109030135
Solar_Storage,22,17042.4553929907,0.1406666667,0.1092038492
Solar_Storage,23,16915.8737660155,0.0365354799,0.3202623735
Solar_Storage,24,16915.8737660155,0.1364724404,0.1203884525
Solar_Storage,25,4739.2265512319,0.030092675,0.9167098642
Solar_Storage,26,4723.4254725812,0.0306744103,0.9159826951
Solar_Storage,27,4816.8780452703,0.0306744103,0.9073812793
Solar_Storage,28,4786.1214378396,0.0290567808,0.9162782416
Solar_Storage,29,6999.3487675249,0.0421300247,0.7460863112
Solar_Storage,3,7074.1852109796,0.3969751652,0.2233333333
Solar_Storage,30,5345.4970879323,0.0436555658,0.8332238138
Solar_Storage,31,6990.5262839974,0.0419134846,0.7471690116
Solar_Storage,32,6921.4055423633,0.0593474535,0.7030427393
Solar_Storage,33,4701.7115636062,0.0472268602,0.8628064198
Solar_Storage,34,4273.8282605766,0.0472268602,0.9021889868
Solar_Storage,35,3860.9141105948,0.06242878,0.8958548536
Solar_Storage,36,6792.3338983768,0.1169729897,0.5733779591
Solar_Storage,37,4515.5974661066,0.1356169461,0.6618211385
Solar_Storage,38,4130.8841006485,0.1271187412,0.7043121629
Solar_Storage,39,5190.806342589,0.1169729897,0.6618211385
Solar_Storage,4,0.0,0.3122176909,0.7875
Solar_Storage,40,15643.1107359268,0.179,0.0876482936
Solar_Storage,41,15969.0544231221,0.173,0.0876482936
Solar_Storage,42,5582.5430184715,0.037788102,0.8366069679
Solar_Storage,43,5999.1252689354,0.0391413636,0.8095417351
Solar_Storage,44,5570.2905993402,0.0391413636,0.8332238138
Solar_Storage,45,4630.3352174601,0.0629936847,0.8233893585
Solar_Storage,46,5064.1655724903,0.0889984168,0.7317575708
Solar_Storage,47,15327.2609340956,0.0616011866,0.3202623735
Solar_Storage,48,14361.0294534162,0.0853164851,0.3033228746
Solar_Storage,49,11157.2853455511,0.0616011866,0.4847508234
Solar_Storage,5,2593.3080793583,0.2883487695,0.5488107864
Solar_Storage,50,10816.5499735991,0.0821286701,0.4505383508
Solar_Storage,51,10830.9811982937,0.0853164851,0.4425688133
Solar_Storage,52,14250.3727412438,0.1364724404,0.204502927
Solar_Storage,53,14087.2378537245,0.1004364245,0.2817229611
Solar_Storage,54,12620.8667656676,0.1878943073,0.1677730221
Solar_Storage,55,8889.8796830768,0.2090267189,0.2734350801
Solar_Storage,56,9006.0067311059,0.1577224735,0.3696305402
Solar_Storage,57,10648.4534651659,0.1004364245,0.4173689143
Solar_Storage,58,4227.203252626,0.1100974477,0.7362270882
Solar_Storage,59,4418.2336956885,0.0889984168,0.7713921398
Solar_Storage,6,4712.6024773654,0.3117560639,0.35375
Solar_Storage,60,4345.9849387771,0.0838589233,0.788704137
Solar_Storage,61,4347.6994929134,0.0838048176,0.788704137
Solar_Storage,62,5146.0442066114,0.086988778,0.7317575708
Solar_Storage,63,6876.612375226,0.0602469697,0.7030427393
Solar_Storage,64,5270.3878745468,0.0602469697,0.7917453041
Solar_Storage,65,5146.0442066114,0.0629936847,0.7917453041
Solar_Storage,66,6876.612375226,0.0821286701,0.6483384884
Solar_Storage,67,6656.5955022646,0.086988778,0.6483384884
Solar_Storage,7,4952.6456818542,0.3091048221,0.3404937909
Solar_Storage,8,14972.0358953815,0.1878943073,0.0935778318
Solar_Storage,9,2919.8926004075,0.0970735931,0.92
