region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,Total
AZ,AZ_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0
CA_N,CA_N_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0
CA_S,CA_S_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0
PNW,PNW_conventional_hydroelectric_1,6,1,5,0.0,0.0,0.0
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,6,0.0,0.0,0.0
AZ,AZ_conventional_steam_coal_1,1,1,7,0.0,0.0,0.0
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,8,0.0,0.0,0.0
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,9,0.0,0.0,0.0
AZ,AZ_natural_gas_steam_turbine_1,1,1,10,0.0,0.0,0.0
AZ,AZ_nuclear_1,1,1,11,0.0,0.0,0.0
AZ,AZ_other_peaker_1,1,1,12,0.0,0.0,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,13,0.0,0.0,0.0
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,14,0.0,0.0,0.0
CA_N,CA_N_nuclear_1,2,1,15,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,16,0.0,0.0,0.0
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,17,0.0,0.0,0.0
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,18,0.0,0.0,0.0
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,0.0
CA_S,CA_S_other_peaker_1,3,1,20,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,21,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,23,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,24,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,25,0.0,0.0,0.0
NM,NM_conventional_steam_coal_1,5,1,26,0.0,0.0,0.0
NM,NM_natural_gas_fired_combined_cycle_1,5,1,27,0.0,0.0,0.0
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,28,0.0,0.0,0.0
NM,NM_natural_gas_steam_turbine_1,5,1,29,0.0,0.0,0.0
NM,NM_other_peaker_1,5,1,30,0.0,0.0,0.0
PNW,PNW_conventional_steam_coal_1,6,1,31,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,32,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,33,0.0,0.0,0.0
PNW,PNW_nuclear_1,6,1,34,0.0,0.0,0.0
PNW,PNW_other_peaker_1,6,1,35,0.0,0.0,0.0
UT_NV,UT_NV_conventional_steam_coal_1,7,1,36,0.0,0.0,0.0
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,37,0.0,0.0,0.0
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,38,0.0,0.0,0.0
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,39,0.0,0.0,0.0
UT_NV,UT_NV_other_peaker_1,7,1,40,0.0,0.0,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,41,0.0,0.0,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,1,0,42,0.0,0.0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,43,0.0,0.0,0.0
