BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
t9,17564.441921580994,0.0,-5024.601921580992,0.0,0.0,0.0,0.0,4600.0,-208.84,-16931.0,27176.021301146655,0.0,-2818.0,0.0,0.0,0.0,0.0,-1142.5736962672572,-38.447604879393204,-23177.0,19003.7737211646,0.0,-4703.720625853266,0.0,0.0,0.0,0.0,17461.562523555072,-835.6156188664131,-30926.0,23244.001979826964,0.0,-594.7105940855976,0.0,0.0,0.0,0.0,-5423.18234505574,-251.1090406856248,-16975.0,9729.969944325432,0.0,-72.8186721582922,0.0,0.0,0.0,0.0,-4300.366453342309,-258.78481882483175,-5098.0,37489.774272212744,0.0,-0.0,0.0,0.0,0.0,0.0,-4400.175701601951,-404.5985706107931,-32685.0,22114.30832118911,0.0,-797.3011427642705,0.0,0.0,0.0,0.0,-6795.264327287816,-657.7428511370199,-13864.0
t10,18864.089580183674,0.0,-6282.10148059398,0.0,0.0,0.0,0.0,4509.754766824121,-204.74286641381514,-16887.0,30306.28283402715,0.0,-5587.588427115619,0.0,0.0,0.0,0.0,-1713.0502654781924,-57.644141433341176,-22948.0,20145.010521167926,0.0,-5677.104053755518,0.0,0.0,0.0,0.0,17693.16464973615,-840.0711171485625,-31321.0,21573.19847938384,0.0,-578.5,0.0,0.0,0.0,0.0,-3795.8026725730915,-166.89580681074546,-17032.0,9513.418297007793,0.0,-136.00377373220292,0.0,0.0,0.0,0.0,-4020.49809425103,-213.9164290245606,-5143.0,38225.752,0.0,-64.6,0.0,0.0,0.0,0.0,-5560.0,-329.152,-32272.0,23299.865604173177,0.0,-1630.3,0.0,0.0,0.0,0.0,-7113.56838425796,-610.9972199152213,-13945.0
t11,18068.292119264413,0.0,-4955.014354786931,0.0,0.0,0.0,0.0,4071.5715855044177,-184.8493499819006,-17000.0,31844.329646164275,0.0,-6158.688427115619,0.0,0.0,0.0,0.0,-2642.7138964336614,-88.9273226149927,-22954.0,20254.956731184066,0.0,-5677.104053755518,0.0,0.0,0.0,0.0,17906.334125134956,-840.186802563499,-31644.0,21578.898022643025,0.0,-578.5,0.0,0.0,0.0,0.0,-3567.777684361249,-162.62033828177343,-17270.0,9360.978281431642,0.0,-165.89093622479692,0.0,0.0,0.0,0.0,-3810.3399011431684,-189.747444063674,-5195.0,38055.75200000001,0.0,-64.6,0.0,0.0,0.0,0.0,-5560.0,-329.152,-32102.0,22806.203952849803,0.0,-1630.3,0.0,0.0,0.0,0.0,-6397.074228701293,-579.8297241485062,-14199.0
t12,18024.749267481548,0.0,-3861.6572033423795,0.0,0.0,0.0,0.0,3268.288221098717,-148.38028523788176,-17283.0,31478.74335429573,0.0,-6046.857718562293,0.0,0.0,0.0,0.0,-2498.800982666704,-84.08465306673459,-22849.0,20238.819540442368,0.0,-4760.9,0.0,0.0,0.0,0.0,18769.22035533546,-879.1398957778254,-33368.0,21329.02581687482,0.0,-578.5,0.0,0.0,0.0,0.0,-2987.0438263575656,-142.4819905172559,-17621.0,8813.010411378855,0.0,-132.34190504225546,0.0,0.0,0.0,0.0,-3268.288221098717,-148.38028523788176,-5264.0,38218.152,0.0,-0.0,0.0,0.0,0.0,0.0,-5560.0,-329.152,-32329.0,22859.760779539538,0.0,-0.0,0.0,0.0,0.0,0.0,-7723.375546311188,-608.3852332283467,-14528.0
t13,18284.773953955253,0.0,-97.3,0.0,0.0,0.0,0.0,7.3570729072848735,-282.8310268625381,-17912.0,30603.0680335421,0.0,-4111.488954622064,0.0,0.0,0.0,0.0,-3171.846446011739,-106.73263290829502,-23213.0,18334.810674104814,0.0,-2581.204053755519,0.0,0.0,0.0,0.0,20969.118509210108,-974.725129559406,-35748.0,20411.456283873526,0.0,-385.6666666662251,0.0,0.0,0.0,0.0,-1644.3539345302095,-78.435682677091,-18303.0,8668.214010331747,0.0,-62.22204425169037,0.0,0.0,0.0,0.0,-3111.719883374838,-141.27208270521766,-5353.0,39324.152,0.0,-0.0,0.0,0.0,0.0,0.0,-5560.0,-329.152,-33435.0,22883.27255337149,0.0,-0.0,0.0,0.0,0.0,0.0,-7488.555318200607,-475.7172351708815,-14919.0
t14,18165.33566451032,0.0,-97.3,0.0,0.0,0.0,0.0,535.9542670434175,-249.98993155373842,-18354.0,29837.700667052122,0.0,-5143.700667052118,0.0,0.0,0.0,0.0,0.0,-0.0,-24694.0,16695.346635580114,0.0,-1665.0,0.0,0.0,0.0,0.0,24482.125298146897,-1157.4719337270046,-38355.0,19472.564591251357,0.0,-0.0,0.0,0.0,0.0,0.0,-1081.0008506741963,-51.56374057715916,-18340.0,8478.49304172413,0.0,-27.871690237735315,0.0,0.0,0.0,0.0,-3015.70819924086,-136.91315224553503,-5298.0,40915.152,0.0,-0.0,0.0,0.0,0.0,0.0,-5560.0,-329.152,-35026.0,31557.177410271215,0.0,-0.0,0.0,0.0,0.0,0.0,-15361.370515275257,-766.8068949959603,-15429.0
t15,19611.452939107636,0.0,-97.3,0.0,0.0,0.0,0.0,-1217.8669190163314,-270.2860200913027,-18026.0,27808.580382231125,0.0,-2246.9,0.0,0.0,0.0,0.0,-452.6858890110102,-333.99449322010935,-24775.0,14725.574919320125,0.0,-1665.0,0.0,0.0,0.0,0.0,27973.63545280932,-1269.2103721294422,-39765.0,18015.579563018615,0.0,-0.0,0.0,0.0,0.0,0.0,68.70872558612406,-1.288288604739826,-18083.0,7657.04093821151,0.0,-0.0,0.0,0.0,0.0,0.0,-2428.6129957417065,-108.42794246980327,-5120.0,44947.75248819706,0.0,-99.85418336247892,0.0,0.0,0.0,0.0,-9416.764828250318,-518.1334765842656,-34913.0,30555.31253564344,0.0,-0.0,0.0,0.0,0.0,0.0,-14526.413546376078,-631.8989892673593,-15397.0
t16,21414.839332978227,0.0,-0.0,0.0,0.0,0.0,0.0,-3875.133256482618,-176.7060764956074,-17363.0,24822.921257305734,0.0,-2246.9,0.0,0.0,0.0,0.0,2182.89819276474,-745.9194500704723,-24013.0,11155.648772462575,0.0,-1665.0,0.0,0.0,0.0,0.0,32148.07298980767,-1417.7217622702472,-40221.0,16139.86358692493,0.0,-0.0,0.0,0.0,0.0,0.0,1468.67405154148,-27.537638466402747,-17581.0,6589.645372243134,0.0,-0.0,0.0,0.0,0.0,0.0,-1656.9392200694208,-36.70615217371347,-4896.0,51104.596425320145,0.0,-0.0,0.0,0.0,0.0,0.0,-16266.116828433856,-869.4795968862909,-33969.0,29954.896275425763,0.0,-0.0,0.0,0.0,0.0,0.0,-14001.455929127995,-715.440346297769,-15238.0
t17,21418.25880517717,822.2160032857191,-0.0,0.0,0.0,0.0,0.0,-5259.530397470482,-454.9444109924086,-16526.0,19557.307129889876,0.0,-2246.9,0.0,0.0,0.0,0.0,6128.969405708048,-663.3765355979241,-22776.0,5190.125112440528,0.0,-0.0,0.0,0.0,0.0,0.0,37154.111692652325,-1676.236805092852,-40668.0,16070.655105369016,578.5,-0.0,0.0,0.0,0.0,0.0,921.6929450937937,-443.84805046280644,-17127.0,6836.944720042573,208.49089879543723,-0.0,0.0,0.0,0.0,0.0,-2231.6382283081675,-109.79739052984235,-4704.0,56416.24672442053,0.0,-0.0,0.0,0.0,0.0,0.0,-22629.29844610161,-1278.9482783189096,-32508.0,30229.260936862367,0.0,-0.0,0.0,0.0,0.0,0.0,-14084.306971573906,-1159.9539652884646,-14985.0
t18,22047.1947275904,1259.4146018004449,-0.0,0.0,0.0,0.0,0.0,-6971.550121607933,-758.0592077829077,-15577.0,10180.850117278738,533.8369883212619,-0.0,0.0,0.0,0.0,0.0,11288.988,-562.6751055999999,-21441.0,2796.548693917464,3035.152427832541,-0.0,0.0,0.0,0.0,0.0,36601.6005,-1701.3016217499999,-40732.0,15727.628553818631,622.2897356928964,-0.0,0.0,0.0,0.0,0.0,751.0356604083395,-576.9539499198663,-16524.0,8016.433015077687,203.2797454202163,-0.0,0.0,0.0,0.0,0.0,-3404.123384125252,-275.58937637265154,-4540.0,56340.02989519811,44.248637957199996,-0.0,0.0,0.0,0.0,0.0,-24179.490276283086,-1379.7882568722146,-30825.0,30147.776433249976,0.0,-0.0,0.0,0.0,0.0,0.0,-14086.460378392068,-1360.3160548579074,-14701.0
