Zone,1,2,3,4,5,6,7,Total
CO2_Price_1,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
AnnualSum,4.786594368630165e7,1.8715803095298829e6,137329.5796478117,4.9819918278115824e7,2.116270103184093e6,3.607225768385201e7,5.761839720667041e7,1.9550169684730166e8
t1,8818.573154515268,378.1159939533456,0.0,6741.996904111103,428.11252354709893,8019.534420224203,12476.141756578734,36862.47475292975
t2,8818.573154515268,378.1159939533456,0.0,5460.211417534777,383.03595212948386,8019.534420224203,12476.141756578734,35535.612694935815
t3,8818.57315451527,378.11599395334514,0.0,5530.112111190196,375.57628573626596,8019.534420224203,12476.141756578734,35598.05372219801
t4,8818.573154515268,378.11599395334514,0.0,5373.398450421,334.006338068133,8019.534420224203,12476.141756578734,35399.770113760685
t5,8818.573154515268,378.11599395334514,0.0,5220.848395936298,338.34565148068674,7952.581094089078,12476.141756578734,35184.60604655341
t6,8818.573154515268,378.11599395334713,0.0,4988.428002525546,331.9154002489984,7537.140287063788,12476.141756578736,34530.31459488568
t7,8818.573154515267,188.64740724135777,0.0,4478.468868342579,299.61904860953894,7085.049240515601,12050.280055304624,32920.637774528965
t8,6366.009001257634,0.0,0.0,6936.095679839999,331.91540024899837,5797.912805327615,9287.921504536935,28719.85439121118
t9,6366.009001257634,0.0,0.0,6936.095679839999,331.91540024899837,4009.7672101121016,7545.659224135947,25189.44651559468
t10,6366.009001257634,0.0,0.0,6936.095679839999,331.91540024899837,4009.7672101121016,7986.631632924456,25630.418924383186
t11,6366.009001257634,0.0,0.0,6936.095679839999,331.91540024899837,4009.7672101121016,7755.939368602132,25399.726660060864
t12,6366.009001257634,0.0,0.0,6936.095679839999,331.91540024899837,4009.7672101121016,7814.484831195226,25458.272122653958
t13,6366.009001257634,0.0,0.0,6936.095679839999,331.91540024899837,4009.7672101121016,7545.659224135947,25189.44651559468
t14,6366.009001257634,0.0,0.0,6936.095679839999,331.91540024899837,5067.910139034939,10123.060573746774,28824.99079412834
t15,6941.865314551143,0.0,0.0,6936.095679839999,331.91540024899837,7866.194725168401,10174.143282571895,32250.214402380436
t16,8124.239417652102,0.0,0.0,6936.095679839999,331.91540024899837,7952.581094089078,10567.703106415516,33912.5346982457
t17,8818.573154515268,0.0,0.0,7059.237366510212,720.1514816632993,8019.534420224203,11715.479455311894,36332.975878224875
t18,8818.573154515267,478.27917115952994,0.0,7167.0317499893745,650.5392917301051,8019.534420224203,12134.636517997205,37268.59430561568
