Zone,1,2,3,4,5,6,7
t1,27.333312345157292,95.65476368442744,89.42677007347405,10.906885496230299,27.685081370849947,24.135584638312505,42.56658585332313
t2,27.333312345157292,95.65476368442744,89.42677007347406,10.906885496230299,27.685081370849947,24.135584638312505,42.56658585332313
t3,27.333312345157292,95.65476368442744,89.42677007347406,10.906885496230299,27.685081370849947,24.135584638312505,42.56658585332313
t4,27.333312345157292,95.65476368442744,89.42677007347406,10.906885496230299,27.685081370849947,24.135584638312505,42.56658585332313
t5,27.333312345157292,95.65476368442746,89.42677007347406,10.906885496230299,27.685081370849947,20.68253397289555,43.07009781507632
t6,27.333312345157292,95.65476368442744,89.42677007347406,10.906885496230299,18.35435323827256,20.68253397289555,43.07009781507632
t7,27.333312345157292,90.40890388626534,41.770571005114455,10.906885496230299,10.394232158873423,20.68253397289555,38.28802220066313
t8,21.287330435279006,24.945683246686873,23.321492773604078,18.156082003623013,18.35435323827256,20.68253397289555,21.377103821708005
t9,21.28733043527901,21.80305184711682,23.321492773604078,18.156082003623013,18.35435323827256,20.68253397289555,21.377103821708005
t10,21.28733043527901,21.80305184711682,23.321492773604078,18.791120366411935,18.354353238272555,20.68253397289555,21.377103821708005
t11,21.28733043527901,21.80305184711682,23.321492773604078,18.79112036641193,18.354353238272555,20.68253397289555,21.377103821708005
t12,21.287330435279006,21.80305184711682,23.321492773604078,19.430577426183575,18.35435323827255,20.68253397289555,21.377103821708005
t13,21.287330435279006,21.80305184711682,23.321492773604078,19.43057742618357,18.354353238272555,20.68253397289555,21.377103821708
t14,21.287330435279006,21.80305184711682,23.321492773604078,19.430577426183575,19.43838304334928,20.68253397289555,21.377103821708005
t15,22.274226506922016,22.81385713729488,24.402694085957318,21.116868620865958,20.33956057347212,20.68253397289555,22.36816185262882
t16,26.086444997594576,25.304314023543967,28.57919833349213,23.73737431608441,23.847896398533187,21.98442014112722,25.235512503725317
t17,27.333312345157292,69.51136092077832,74.35237565660734,27.754313211533844,51.5864806482601,24.364015902655808,32.80062360337728
t18,27.333312345157292,95.65476368442745,89.42677007347406,28.44043814416115,54.80135721204655,24.966328006087476,38.28802220066313
t19,27.333312345157292,95.65476368442746,89.42677007347406,29.889094432906983,27.685081370849947,26.23802529463066,38.28802220066313
t20,27.333312345157292,95.65476368442746,89.42677007347406,34.63038808202189,27.685081370849947,30.40015148329784,42.78415619557696
t21,27.333312345157292,95.65476368442744,89.42677007347406,34.89310352334842,27.685081370849947,30.400151483297826,43.07009781507632
t22,27.333312345157292,95.65476368442744,89.42677007347406,39.14828113896839,27.685081370849947,24.639096600065724,43.07009781507632
t23,27.333312345157292,95.65476368442744,89.42677007347405,39.14828113896839,27.685081370849947,24.586731356043394,43.07009781507632
t24,27.333312345157292,95.65476368442744,89.42677007347405,39.14828113896839,27.685081370849947,24.586731356043394,43.07009781507632
t25,26.740221925776684,94.95531571133915,88.77286251405465,10.906885496230299,10.5054050485163,26.979650148689874,25.235512503725317
